General parameters 

40 161 720 750


Customer schedules 

0 0	0 [0,720]	
1 50	1 [0,720]	
2 44	2 [0,245]	3 [293,333]	4 [381,720]	
3 39	5 [0,53]	6 [58,431]	7 [463,473]	8 [510,720]	
4 68	9 [0,720]	
5 60	10 [0,11]	11 [22,62]	12 [82,120]	13 [143,146]	14 [182,409]	15 [437,720]	
6 39	16 [0,720]	
7 66	17 [0,45]	18 [64,94]	19 [118,325]	20 [366,476]	21 [514,720]	
8 60	22 [0,6]	23 [43,54]	24 [111,383]	25 [430,720]	
9 54	26 [0,62]	27 [66,70]	28 [79,278]	29 [301,509]	30 [527,720]	
10 61	31 [0,720]	
11 25	32 [0,106]	33 [112,125]	34 [171,476]	35 [516,720]	
12 47	36 [0,129]	37 [154,275]	38 [318,421]	39 [443,509]	40 [522,720]	
13 55	41 [0,198]	42 [228,337]	43 [392,415]	44 [457,463]	45 [489,539]	46 [558,720]	
14 88	47 [0,720]	
15 84	48 [0,39]	49 [45,103]	50 [130,293]	51 [300,323]	52 [342,720]	
16 36	53 [0,182]	54 [195,333]	55 [379,392]	56 [441,522]	57 [565,720]	
17 32	58 [0,41]	59 [51,186]	60 [216,343]	61 [365,394]	62 [418,442]	63 [466,720]	
18 46	64 [0,720]	
19 17	65 [0,158]	66 [178,239]	67 [279,336]	68 [366,505]	69 [513,589]	70 [599,720]	
20 44	71 [0,109]	72 [118,307]	73 [360,473]	74 [518,720]	
21 46	75 [0,78]	76 [101,337]	77 [360,720]	
22 53	78 [0,32]	79 [38,50]	80 [61,165]	81 [200,502]	82 [543,720]	
23 61	83 [0,180]	84 [232,238]	85 [311,399]	86 [425,720]	
24 48	87 [0,210]	88 [221,281]	89 [297,351]	90 [388,500]	91 [543,609]	92 [643,720]	
25 66	93 [0,60]	94 [78,198]	95 [222,377]	96 [416,472]	97 [500,624]	98 [629,720]	
26 62	99 [0,168]	100 [208,335]	101 [374,405]	102 [407,720]	
27 50	103 [0,336]	104 [380,393]	105 [446,459]	106 [488,720]	
28 53	107 [0,314]	108 [340,370]	109 [396,563]	110 [573,720]	
29 50	111 [0,195]	112 [212,387]	113 [422,483]	114 [515,519]	115 [538,720]	
30 34	116 [0,188]	117 [214,214]	118 [268,377]	119 [415,417]	120 [427,457]	121 [472,720]	
31 56	122 [0,328]	123 [334,336]	124 [342,720]	
32 58	125 [0,120]	126 [151,194]	127 [253,275]	128 [306,720]	
33 79	129 [0,720]	
34 19	130 [0,167]	131 [256,479]	132 [568,720]	
35 54	133 [0,138]	134 [184,320]	135 [366,720]	
36 62	136 [0,720]	
37 50	137 [0,16]	138 [19,88]	139 [111,168]	140 [222,271]	141 [326,649]	142 [682,720]	
38 38	143 [0,36]	144 [59,217]	145 [242,314]	146 [356,541]	147 [550,720]	
39 53	148 [0,80]	149 [91,148]	150 [166,229]	151 [272,423]	152 [454,527]	153 [544,720]	
40 73	154 [0,33]	155 [48,109]	156 [132,347]	157 [365,559]	158 [566,676]	159 [679,720]	
41 0	160 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 15.619653595 -1.04632746805
2 	 -14.1146778606 29.1684361917
3 	 -5.98638172093 6.36163252273
4 	 -14.1146778606 29.1684361917
5 	 37.952106248 -47.8040071395
6 	 38.6500191855 -50.2166880676
7 	 47.6862676809 -63.3370943705
8 	 37.952106248 -47.8040071395
9 	 -131.449110849 -101.513929737
10 	 71.3097063159 68.2555170764
11 	 75.2549060282 72.1023547339
12 	 80.2823444947 80.8481676245
13 	 70.3948024777 75.1466443087
14 	 58.8267997205 61.4804544373
15 	 71.3097063159 68.2555170764
16 	 87.3510775401 43.3279873381
17 	 -102.921370183 -32.0428896265
18 	 -98.4239021798 -40.3153584039
19 	 -86.643124618 -41.6867299027
20 	 -104.981903762 -51.0290992928
21 	 -102.921370183 -32.0428896265
22 	 -68.8784189478 -83.9970781334
23 	 -65.0694920128 -102.344919775
24 	 -45.7131353542 -81.2376478675
25 	 -68.8784189478 -83.9970781334
26 	 -60.8960458326 164.848398044
27 	 -58.727846606 164.915440946
28 	 -57.8520706176 169.180734578
29 	 -55.2733247611 158.075824614
30 	 -60.8960458326 164.848398044
31 	 76.5992377182 60.2022957382
32 	 12.2425736482 163.478415348
33 	 15.0514749691 163.697322685
34 	 -7.94804378168 163.727140206
35 	 12.2425736482 163.478415348
36 	 78.8065312527 127.274017778
37 	 74.2911922363 115.497629348
38 	 70.6322817364 136.488638985
39 	 81.0960948541 133.350648453
40 	 78.8065312527 127.274017778
41 	 -147.540344467 13.3109634515
42 	 -162.734118124 13.3054938105
43 	 -138.799620477 26.878705424
44 	 -131.829210723 6.95865702858
45 	 -139.117619239 17.6109016401
46 	 -147.540344467 13.3109634515
47 	 -112.478385309 93.9432924315
48 	 18.5438585521 56.5323455337
49 	 16.8179624101 58.8221199794
50 	 27.3384378741 50.3664745351
51 	 24.1415901399 49.078687899
52 	 18.5438585521 56.5323455337
53 	 -72.0794278364 -106.287196937
54 	 -75.9709716784 -100.892067769
55 	 -66.1959725214 -121.562043922
56 	 -51.2112298753 -102.220729996
57 	 -72.0794278364 -106.287196937
58 	 63.2844602156 5.31907644728
59 	 67.3510105305 8.15045204023
60 	 58.3401582831 -3.90089767721
61 	 63.6354887801 5.58190847124
62 	 62.743054103 -6.6028683167
63 	 63.2844602156 5.31907644728
64 	 -8.15555639854 67.2958700704
65 	 -4.86988064947 -28.3092970538
66 	 0.783275092844 -19.924714491
67 	 -18.8221059429 -24.5060751632
68 	 -4.63091010811 -29.5137184841
69 	 -0.667172836223 -30.6915201976
70 	 -4.86988064947 -28.3092970538
71 	 -34.1000505948 83.4422712068
72 	 -30.681510092 80.2835811348
73 	 -43.0944483759 103.875419503
74 	 -34.1000505948 83.4422712068
75 	 -23.3831671371 -5.80165927946
76 	 -12.2111259194 -3.5463902963
77 	 -23.3831671371 -5.80165927946
78 	 58.6101949592 5.17484201622
79 	 56.4524989862 7.04774676119
80 	 51.1734223509 8.36802863481
81 	 54.9507457458 25.2335127218
82 	 58.6101949592 5.17484201622
83 	 35.8418934186 -149.723783126
