General parameters 

30 104 720 750


Customer schedules 

0 0	0 [0,720]	
1 45	1 [0,3]	2 [155,156]	3 [297,298]	4 [550,555]	5 [708,720]	
2 39	6 [0,720]	
3 42	7 [0,43]	8 [210,270]	9 [537,557]	10 [652,677]	11 [694,720]	
4 48	12 [0,41]	13 [105,147]	14 [266,378]	15 [517,542]	16 [635,720]	
5 41	17 [0,720]	
6 53	18 [0,5]	19 [128,179]	20 [426,522]	21 [636,643]	22 [661,720]	
7 70	23 [0,25]	24 [25,63]	25 [272,316]	26 [525,720]	
8 57	27 [0,57]	28 [179,228]	29 [350,720]	
9 57	30 [0,720]	
10 46	31 [0,71]	32 [78,291]	33 [298,720]	
11 42	34 [0,149]	35 [167,228]	36 [312,495]	37 [589,622]	38 [625,720]	
12 56	39 [0,183]	40 [240,374]	41 [431,720]	
13 34	42 [0,43]	43 [265,341]	44 [581,625]	45 [669,720]	
14 26	46 [0,720]	
15 58	47 [0,46]	48 [79,169]	49 [206,327]	50 [379,541]	51 [603,720]	
16 72	52 [0,49]	53 [319,387]	54 [657,720]	
17 37	55 [0,95]	56 [271,323]	57 [545,622]	58 [669,720]	
18 72	59 [0,720]	
19 41	60 [0,33]	61 [55,163]	62 [221,358]	63 [523,562]	64 [686,720]	
20 61	65 [0,72]	66 [79,203]	67 [270,313]	68 [372,377]	69 [509,720]	
21 54	70 [0,84]	71 [127,166]	72 [259,348]	73 [388,446]	74 [474,557]	75 [594,720]	
22 79	76 [0,144]	77 [358,407]	78 [621,720]	
23 31	79 [0,66]	80 [171,221]	81 [339,633]	82 [650,720]	
24 68	83 [0,102]	84 [324,377]	85 [599,720]	
25 52	86 [0,136]	87 [180,215]	88 [410,428]	89 [583,720]	
26 42	90 [0,720]	
27 42	91 [0,31]	92 [60,98]	93 [180,187]	94 [417,417]	95 [556,720]	
28 38	96 [0,23]	97 [106,366]	98 [449,720]	
29 37	99 [0,72]	100 [270,468]	101 [666,720]	
30 27	102 [0,720]	
31 0	103 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 43.270685505 -15.481097586
2 	 -31.7445275936 -3.20056783826
3 	 13.0547363301 -57.9029780015
4 	 61.9783086181 58.4777084482
5 	 43.270685505 -15.481097586
6 	 -143.945738313 -18.5200013678
7 	 26.3950215851 24.3823428656
8 	 75.2082032066 -43.1814062197
9 	 -4.53350075788 63.6507456768
10 	 18.3277400556 21.778524888
11 	 26.3950215851 24.3823428656
12 	 -158.558193436 -60.2801901926
13 	 -183.612937699 -80.309419465
14 	 -156.270309227 -27.6525657136
15 	 -199.964002073 -81.9594833178
16 	 -158.558193436 -60.2801901926
17 	 -44.2871237746 42.9497117132
18 	 -19.9123082215 -0.543411155772
19 	 -2.03299068907 58.6159188589
20 	 -64.9287195961 -47.5118809433
21 	 -23.1177693498 -8.93196681822
22 	 -19.9123082215 -0.543411155772
23 	 25.675979409 -142.246798893
24 	 25.7370037383 -142.437775586
25 	 121.091226065 -99.6989554517
26 	 25.675979409 -142.246798893
27 	 -84.9011276055 103.090906345
28 	 -65.4844561792 160.655146221
29 	 -84.9011276055 103.090906345
30 	 40.2869632622 -20.9979032849
31 	 45.8084780621 41.3690458019
32 	 48.4317458573 43.3558253846
33 	 45.8084780621 41.3690458019
34 	 163.374959119 3.34008682634
35 	 154.288725718 3.45655851249
36 	 137.919957758 42.1118220079
37 	 162.53468938 2.23702787472
38 	 163.374959119 3.34008682634
39 	 174.430387081 -22.7865792097
40 	 147.386849824 -14.5920409334
41 	 174.430387081 -22.7865792097
42 	 133.713425827 -23.0237405371
43 	 31.7148834446 -66.681106279
44 	 132.196781468 -0.953499650405
45 	 133.713425827 -23.0237405371
46 	 4.97009466016 14.3433280507
47 	 -17.0879844621 28.0145006399
48 	 -6.46343212962 40.4176998476
49 	 -10.3981681821 22.2205855121
50 	 -17.9922421567 -2.86757127946
51 	 -17.0879844621 28.0145006399
52 	 -115.401649603 37.6594041339
53 	 -24.020100257 -61.3730092303
54 	 -115.401649603 37.6594041339
55 	 31.2895533019 16.2778593223
56 	 113.204009466 -15.2540406528
57 	 9.45705585411 24.8107430698
58 	 31.2895533019 16.2778593223
59 	 -80.7436734885 72.4923753987
60 	 0.914460997307 -7.51914284411
61 	 11.3719012707 -3.63484970687
62 	 -13.7605827766 10.7864833152
63 	 5.83886320405 -69.1269967736
64 	 0.914460997307 -7.51914284411
65 	 -86.0980651482 120.141944182
66 	 -86.6694016599 116.859024702
67 	 -81.6506075759 83.8381657999
68 	 -78.9412654177 54.2314545459
69 	 -86.0980651482 120.141944182
70 	 -10.3195911783 -48.799160788
71 	 9.2278707966 -39.7707339036
72 	 -8.38753058508 -82.784814121
73 	 -4.5630886551 -62.9744489926
74 	 7.00036026577 -55.3604589863
75 	 -10.3195911783 -48.799160788
76 	 -46.8933192463 -47.9169199292
77 	 -114.30299589 35.0576896401
78 	 -46.8933192463 -47.9169199292
79 	 -80.2471307534 -105.404158203
80 	 -32.0692621214 -83.9456190839
81 	 -82.8521038869 -113.527206649
82 	 -80.2471307534 -105.404158203
83 	 -58.3115678688 71.5712045416
84 	 34.0700069587 133.233554004
85 	 -58.3115678688 71.5712045416
86 	 71.0412435304 -79.9816920777
87 	 78.4482605729 -59.3086101672
88 	 15.7854100074 -134.132469969
89 	 71.0412435304 -79.9816920777
90 	 129.848517815 -52.6489913454
91 	 -0.454046142139 2.4257523624
92 	 11.7988597279 10.276560726
