General parameters 

30 114 720 750


Customer schedules 

0 0	0 [0,720]	
1 62	1 [0,26]	2 [208,287]	3 [469,720]	
2 55	4 [0,720]	
3 45	5 [0,3]	6 [79,82]	7 [238,253]	8 [437,440]	9 [599,623]	10 [649,720]	
4 56	11 [0,129]	12 [153,188]	13 [381,398]	14 [598,720]	
5 46	15 [0,720]	
6 5	16 [0,7]	17 [136,195]	18 [350,372]	19 [418,420]	20 [477,720]	
7 34	21 [0,252]	22 [306,329]	23 [383,720]	
8 45	24 [0,720]	
9 27	25 [0,15]	26 [131,155]	27 [269,411]	28 [553,558]	29 [642,720]	
10 34	30 [0,122]	31 [202,445]	32 [525,720]	
11 32	33 [0,39]	34 [62,83]	35 [169,203]	36 [318,344]	37 [511,529]	38 [558,720]	
12 36	39 [0,720]	
13 52	40 [0,116]	41 [222,244]	42 [470,474]	43 [653,720]	
14 41	44 [0,99]	45 [183,186]	46 [294,312]	47 [411,453]	48 [554,574]	49 [635,720]	
15 21	50 [0,60]	51 [229,231]	52 [418,426]	53 [445,720]	
16 43	54 [0,39]	55 [180,210]	56 [367,390]	57 [572,578]	58 [716,720]	
17 55	59 [0,85]	60 [128,139]	61 [214,272]	62 [350,382]	63 [548,570]	64 [694,720]	
18 42	65 [0,7]	66 [85,264]	67 [383,498]	68 [573,587]	69 [614,720]	
19 33	70 [0,26]	71 [49,81]	72 [201,289]	73 [372,458]	74 [497,602]	75 [607,720]	
20 31	76 [0,36]	77 [200,368]	78 [532,720]	
21 45	79 [0,88]	80 [131,199]	81 [279,337]	82 [399,433]	83 [530,633]	84 [707,720]	
22 65	85 [0,177]	86 [215,239]	87 [277,720]	
23 73	88 [0,1]	89 [352,354]	90 [705,720]	
24 52	91 [0,2]	92 [126,198]	93 [479,497]	94 [718,720]	
25 46	95 [0,720]	
26 36	96 [0,720]	
27 66	97 [0,25]	98 [201,231]	99 [511,518]	100 [636,661]	101 [699,720]	
28 31	102 [0,1]	103 [359,361]	104 [719,720]	
29 57	105 [0,2]	106 [154,217]	107 [369,720]	
30 60	108 [0,23]	109 [184,283]	110 [375,412]	111 [493,552]	112 [623,720]	
31 0	113 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 91.4010845045 1.81143911322
2 	 0.821591854633 -8.59503334937
3 	 91.4010845045 1.81143911322
4 	 -59.2989409891 27.3843539534
5 	 -13.3375588598 -33.9868912602
6 	 9.74175334542 -3.8460314388
7 	 -62.2472069407 -33.908551343
8 	 -1.511144761 -103.062838895
9 	 -23.8330071363 -26.530774178
10 	 -13.3375588598 -33.9868912602
11 	 78.5377380697 -9.39006666205
12 	 66.6845258697 -9.55037059452
13 	 45.0556105991 84.5737902052
14 	 78.5377380697 -9.39006666205
15 	 -98.1041115352 20.0592030091
16 	 5.95528353118 -45.1120743766
17 	 30.9570462247 14.3356139648
18 	 0.594972748929 -56.748721522
19 	 -21.7468262469 -50.9451870928
20 	 5.95528353118 -45.1120743766
21 	 67.229349235 124.655336253
22 	 81.8921945594 147.248375238
23 	 67.229349235 124.655336253
24 	 18.4927144185 -33.2167100404
25 	 -25.9101200819 15.7440137963
26 	 31.5152160949 27.8775209124
27 	 -19.5872208835 53.2766841699
28 	 3.58013335315 -14.0622867644
29 	 -25.9101200819 15.7440137963
30 	 99.2913278532 18.0316403019
31 	 119.97695829 52.5285510434
32 	 99.2913278532 18.0316403019
33 	 -25.4949337522 -45.403864275
34 	 -26.564994215 -56.9239361843
35 	 -18.5177999391 -14.8707204582
36 	 -72.6575907145 4.7356317163
37 	 -17.5986691219 -58.038154446
38 	 -25.4949337522 -45.403864275
39 	 -26.8991187194 47.0942884577
40 	 -13.1015819327 16.1581457566
41 	 -29.1825109137 -34.1747007951
42 	 75.9320664387 8.24062187093
43 	 -13.1015819327 16.1581457566
44 	 127.964529665 45.1791998079
45 	 109.195338007 7.35107822287
46 	 162.531454137 15.999314496
47 	 113.312508292 23.2160004787
48 	 158.590213391 45.8419723404
49 	 127.964529665 45.1791998079
50 	 -0.440051728186 20.4857896757
51 	 -18.4449965532 -61.9038371075
52 	 3.31012999383 29.1282515576
53 	 -0.440051728186 20.4857896757
54 	 23.0928108544 26.2699622014
55 	 48.7455277625 91.8459033973
56 	 58.1716233569 13.8860355694
57 	 16.3303618841 94.7011385289
58 	 23.0928108544 26.2699622014
59 	 -19.7112316424 -47.4370179158
60 	 -33.3831491871 -30.612095715
61 	 -21.8700230667 5.04569945832
62 	 -6.47174810655 -30.8616675955
63 	 -47.6137751962 -103.077646515
64 	 -19.7112316424 -47.4370179158
65 	 19.2879059769 23.1942853275
66 	 57.3198139796 32.8026034286
67 	 -2.18412740729 35.0518308971
68 	 32.5181445556 20.9474150378
69 	 19.2879059769 23.1942853275
70 	 -10.5087802119 18.933980675
71 	 -14.7537636706 8.0680539194
72 	 20.3724347283 56.9572784054
73 	 9.46346031891 16.7109219219
74 	 -9.78309947622 16.2930560402
75 	 -10.5087802119 18.933980675
76 	 98.4040518865 -70.628693153
77 	 93.1695202536 -152.527866133
78 	 98.4040518865 -70.628693153
79 	 21.798227503 14.6080344484
80 	 31.0087005099 -4.87516820679
81 	 45.0295691457 32.8483423688
82 	 32.1053446827 4.68719867505
83 	 19.0791864897 51.7441236844
84 	 21.798227503 14.6080344484
85 	 136.976272324 3.39428764371
86 	 137.821276472 -15.737281637
87 	 136.976272324 3.39428764371
88 	 -147.274562204 -35.9230993282
89 	 -11.6470338295 75.144667515
90 	 -147.274562204 -35.9230993282
91 	 -25.8615771902 -49.0274048831
92 	 -85.5468017859 -65.4851919956
93 	 -26.3750896308 61.75846383
94 	 -25.8615771902 -49.0274048831
95 	 -22.9209739399 148.018646511
96 	 59.6596403431 146.413284484
97 	 -15.9550368721 -27.7033775888
98 	 -103.891016212 -27.3627608172
99 	 17.4165867504 42.3043672758
100 	 -11.2946632605 -9.14890762432
101 	 -15.9550368721 -27.7033775888
102 	 174.249491934 3.43738756525
103 	 84.8661227597 158.439313962
104 	 174.249491934 3.43738756525
105 	 -37.2058472462 -79.4554969466
106 	 37.3726814864 -95.2103768499
107 	 -37.2058472462 -79.4554969466
108 	 91.7715345934 46.5833053125
109 	 16.6478188115 17.5514178974
110 	 30.586340028 61.4483657693
111 	 58.9625653288 32.8836189707
112 	 91.7715345934 46.5833053125
113 	 0.0 0.0


Travel time matrix 

(53, 53) 0
(111, 93) 180
(57, 50) 152
(39, 70) 65
(43, 3) 211
(100, 112) 234
(63, 76) 299
(29, 44) 312
(112, 26) 126
(33, 41) 24
(90, 42) 455
(110, 41) 225
(80, 12) 72
(9, 0) 71
(86, 22) 345
(52, 98) 242
(15, 30) 394
(56, 101) 170
(19, 91) 9
(113, 84) 52
(76, 88) 496
(42, 88) 455
(5, 84) 120
(62, 31) 303
(66, 66) 0
(52, 17) 63
(109, 32) 165
(113, 37) 121
(8, 87) 349
(104, 46) 34
(28, 10) 52
(85, 87) 0
(32, 77) 341
(14, 77) 288
(71, 100) 35
(18, 112) 276
(75, 97) 94
(4, 35) 117
(8, 38) 125
(65, 11) 135
(85, 56) 159
(41, 34) 46
(61, 63) 222
(88, 67) 323
(17, 57) 163
(37, 54) 187
(94, 57) 299
(98, 36) 90
(13, 13) 0
(74, 13) 175
(3, 11) 34
(60, 104) 420
(23, 84) 238
(64, 107) 73
(104, 88) 648
(84, 102) 305
(50, 18) 154
(103, 0) 358
(70, 81) 114
(40, 4) 95
(93, 15) 166
(46, 30) 127
(12, 90) 431
(16, 29) 137
(81, 112) 97
(73, 92) 251
(36, 80) 208
(2, 64) 88
(22, 7) 463
(79, 82) 29
(26, 74) 85
(83, 23) 175
(12, 41) 198
(69, 40) 66
(103, 95) 217
(73, 45) 200
(59, 14) 211
(93, 106) 338
(45, 47) 33
(49, 52) 251
(31, 108) 58
(35, 105) 134
(92, 78) 368
(96, 9) 384
(25, 3) 236
(82, 52) 75
(45, 64) 280
(102, 51) 407
(1, 58) 145
(21, 55) 75
(97, 18) 67
(78, 56) 187
(93, 69) 120
(7, 4) 123
(11, 65) 135
(72, 113) 121
(54, 33) 173
(58, 44) 213
(44, 15) 455
(105, 15) 233
(34, 21) 408
(0, 109) 48
(20, 96) 398
(77, 81) 383
(24, 99) 151
(6, 87) 255
(10, 26) 153
(67, 71) 59
(30, 89) 250
(87, 24) 248
(0, 28) 29
(77, 34) 306
(63, 19) 116
(33, 68) 176
(53, 9) 105
(110, 90) 405
(57, 78) 369
(39, 106) 312
(80, 89) 181
(43, 111) 147
(100, 20) 80
(63, 96) 542
(29, 48) 373
(33, 53) 141
(90, 14) 455
(19, 6) 113
(5, 39) 164
(9, 60) 21
(66, 55) 119
(86, 50) 286
(52, 70) 34
(56, 1) 71
(113, 112) 206
(42, 60) 232
(5, 72) 194
(62, 59) 42
(109, 4) 153
(38, 0) 104
(4, 112) 304
(81, 104) 265
(99, 50) 56
(65, 102) 312
(28, 110) 160
(85, 107) 386
(32, 105) 335
(14, 41) 221
(71, 72) 120
(18, 84) 149
(75, 13) 172
(91, 28) 91
(4, 7) 123
(106, 6) 191
(65, 23) 224
(51, 36) 172
(37, 89) 266
(41, 30) 277
(98, 89) 276
(61, 67) 72
(27, 95) 190
(47, 16) 255
(88, 95) 444
(51, 85) 337
(111, 89) 165
(17, 37) 174
(37, 42) 229
(99, 22) 246
(94, 21) 393
(23, 11) 269
(84, 11) 123
(89, 41) 221
(13, 49) 184
(70, 34) 155
(74, 33) 127
(40, 81) 121
(3, 103) 314
(60, 12) 204
(106, 9) 184
(50, 54) 48
(107, 43) 197
(106, 76) 132
(26, 63) 306
(83, 66) 85
(46, 58) 280
(89, 12) 231
(2, 36) 149
(95, 7) 372
(22, 35) 381
(79, 54) 23
(83, 51) 239
(69, 12) 115
(55, 41) 296
(99, 64) 194
(59, 42) 221
(25, 110) 145
(45, 19) 286
(102, 76) 212
(49, 80) 218
(31, 64) 344
(35, 5) 40
(92, 82) 274
(55, 94) 318
(96, 21) 46
(95, 98) 386
(93, 85) 347
(25, 31) 300
(82, 24) 81
(11, 28) 150
(111, 99) 85
(72, 30) 176
(1, 6) 164
(58, 81) 46
(21, 75) 262
(78, 20) 192
(44, 92) 480
(7, 104) 478
(48, 103) 269
(11, 109) 135
(105, 90) 237
(68, 106) 233
(72, 109) 79
(54, 13) 125
(95, 73) 270
(30, 42) 51
(87, 79) 231
(34, 57) 315
(0, 73) 38
(20, 4) 195
(6, 51) 129
(10, 62) 15
(67, 35) 105
(87, 60) 347
(43, 58) 75
(63, 55) 434
(29, 99) 102
(33, 96) 419
(53, 109) 35
(57, 106) 382
(39, 14) 239
(80, 69) 61
(43, 75) 8
(100, 8) 189
(29, 20) 137
(112, 33) 298
(15, 33) 196
(19, 34) 15
(76, 17) 217
(5, 27) 175
(62, 68) 130
(9, 88) 248
(66, 27) 159
(86, 94) 334
(52, 90) 328
(15, 86) 477
(109, 87) 242
(56, 29) 167
(112, 15) 383
(113, 28) 29
(76, 96) 441
(42, 16) 176
(32, 6) 184
(18, 41) 75
(75, 88) 295
(38, 44) 356
(4, 84) 164
(8, 111) 298
(65, 66) 78
(85, 15) 471
(14, 5) 190
(71, 44) 294
(75, 41) 112
(47, 71) 258
(51, 0) 129
(17, 112) 138
(112, 50) 191
(94, 102) 414
(61, 103) 373
(27, 59) 201
(47, 52) 220
(88, 59) 256
(17, 1) 123
(3, 50) 187
(23, 47) 223
(64, 36) 149
(84, 47) 184
(50, 75) 20
(13, 85) 245
(70, 14) 187
(101, 14) 193
(74, 69) 60
(40, 77) 399
(3, 67) 199
(60, 16) 84
(111, 100) 164
(64, 83) 213
(107, 23) 457
(36, 25) 96
(81, 36) 241
(22, 92) 541
(103, 37) 478
(79, 101) 113
(26, 19) 190
(83, 94) 221
(46, 86) 80
(12, 98) 343
(69, 95) 264
(16, 101) 56
(73, 20) 124
(36, 104) 494
(2, 8) 189
(79, 10) 120
(91, 104) 414
(35, 80) 101
(55, 13) 16
(96, 66) 227
(59, 54) 170
(25, 74) 32
(82, 109) 40
(111, 101) 193
(102, 104) 0
(31, 36) 396
(35, 33) 63
(92, 54) 284
(96, 49) 244
(7, 63) 141
(91, 79) 159
(11, 56) 62
(68, 63) 295
(72, 58) 62
(1, 98) 395
(81, 82) 62
(21, 111) 184
(78, 112) 235
(44, 64) 349
(7, 76) 330
(48, 3) 161
(105, 54) 243
(68, 78) 226
(24, 44) 269
(10, 67) 140
(30, 6) 184
(87, 83) 255
(34, 93) 237
(0, 85) 274
(20, 24) 35
(77, 25) 412
(24, 91) 94
(6, 31) 248
(67, 31) 247
