General parameters 

30 119 720 750


Customer schedules 

0 0	0 [0,720]	
1 58	1 [0,12]	2 [297,301]	3 [586,720]	
2 70	4 [0,5]	5 [37,232]	6 [431,447]	7 [618,720]	
3 66	8 [0,6]	9 [77,127]	10 [189,309]	11 [383,391]	12 [506,539]	13 [672,720]	
4 57	14 [0,68]	15 [309,344]	16 [585,720]	
5 28	17 [0,68]	18 [171,357]	19 [460,720]	
6 75	20 [0,84]	21 [244,261]	22 [475,553]	23 [619,720]	
7 55	24 [0,25]	25 [89,139]	26 [228,276]	27 [311,448]	28 [590,720]	
8 55	29 [0,40]	30 [45,136]	31 [218,287]	32 [410,477]	33 [518,720]	
9 65	34 [0,163]	35 [249,455]	36 [499,524]	37 [597,720]	
10 59	38 [0,385]	39 [427,485]	40 [546,562]	41 [595,720]	
11 48	42 [0,2]	43 [137,144]	44 [467,475]	45 [706,720]	
12 51	46 [0,720]	
13 40	47 [0,25]	48 [113,120]	49 [307,311]	50 [556,559]	51 [707,720]	
14 37	52 [0,97]	53 [200,202]	54 [392,495]	55 [597,720]	
15 49	56 [0,16]	57 [138,161]	58 [334,358]	59 [430,461]	60 [612,720]	
16 50	61 [0,5]	62 [32,91]	63 [231,275]	64 [445,450]	65 [538,595]	66 [684,720]	
17 60	67 [0,720]	
18 34	68 [0,76]	69 [239,282]	70 [363,518]	71 [619,624]	72 [640,720]	
19 66	73 [0,7]	74 [103,105]	75 [276,279]	76 [549,557]	77 [651,652]	78 [713,720]	
20 53	79 [0,85]	80 [184,203]	81 [325,343]	82 [502,720]	
21 66	83 [0,720]	
22 42	84 [0,720]	
23 56	85 [0,720]	
24 34	86 [0,29]	87 [112,119]	88 [185,252]	89 [306,349]	90 [400,511]	91 [557,720]	
25 69	92 [0,14]	93 [235,313]	94 [413,423]	95 [589,720]	
26 46	96 [0,9]	97 [43,95]	98 [181,236]	99 [451,520]	100 [654,720]	
27 32	101 [0,138]	102 [184,238]	103 [285,503]	104 [530,720]	
28 16	105 [0,29]	106 [202,218]	107 [391,720]	
29 56	108 [0,81]	109 [146,147]	110 [229,248]	111 [321,373]	112 [423,522]	113 [604,720]	
30 75	114 [0,198]	115 [258,431]	116 [499,691]	117 [711,720]	
31 0	118 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 1.31666920002 -41.9840249447
2 	 -140.993151409 -33.4023189564
3 	 1.31666920002 -41.9840249447
4 	 33.0931320726 92.7095222551
5 	 34.5227112879 108.569308206
6 	 -16.632921987 23.2374373116
7 	 33.0931320726 92.7095222551
8 	 -160.543355817 -15.2189764604
9 	 -126.78240613 -25.7210901274
10 	 -137.930822465 3.2964773794
11 	 -160.346653924 -26.2531910937
12 	 -122.296435471 -69.5705664738
13 	 -160.543355817 -15.2189764604
14 	 14.4404933001 -40.6853908127
15 	 1.32556486937 79.4031640128
16 	 14.4404933001 -40.6853908127
17 	 20.4784596343 -7.28210230338
18 	 60.9856646397 -38.8019967348
19 	 20.4784596343 -7.28210230338
20 	 40.903637326 -1.95622522397
21 	 -36.4188184316 18.3043995888
22 	 59.7831734426 -29.3090422705
23 	 40.903637326 -1.95622522397
24 	 0.479216545271 42.6695457077
25 	 -16.2377093798 69.9039044984
26 	 -48.559676976 100.275245518
27 	 -56.8729920248 84.624664902
28 	 0.479216545271 42.6695457077
29 	 -23.4749800348 -64.7000920164
30 	 -23.275744821 -66.9889498165
31 	 -60.4675421599 -84.7499078953
32 	 -10.6717582659 -48.4875924418
33 	 -23.4749800348 -64.7000920164
34 	 101.306348931 36.8180740967
35 	 82.6538922028 -2.0873664075
36 	 104.432941992 0.216947152905
37 	 101.306348931 36.8180740967
38 	 -28.288446969 -0.239346168961
39 	 -29.1358399568 20.6886996298
40 	 -43.6940486365 -6.26499297067
41 	 -28.288446969 -0.239346168961
42 	 -24.102991778 -49.3296313179
43 	 43.1997362176 -56.2863056235
44 	 -73.6100322464 55.0563514836
45 	 -24.102991778 -49.3296313179
46 	 132.488720966 17.9976927603
47 	 6.29678594893 -42.8238306394
48 	 -28.7496417156 -69.5223719262
49 	 32.3013921918 1.42709561248
50 	 -1.62671858974 -116.405654076
51 	 6.29678594893 -42.8238306394
52 	 -6.85257129494 -32.4141245466
53 	 29.1678568261 4.60898541919
54 	 -57.8130486083 -33.0561839082
55 	 -6.85257129494 -32.4141245466
56 	 14.5898462919 10.673944906
57 	 67.1789867023 -20.6959999289
58 	 -19.115474968 -20.9995940614
59 	 -54.8666231266 -18.5194835045
60 	 14.5898462919 10.673944906
61 	 -114.623174726 -106.11430787
62 	 -124.559783647 -97.2529914501
63 	 -100.215299816 -162.713208579
64 	 -89.1041429855 -78.5683763873
65 	 -130.758088258 -64.728392084
66 	 -114.623174726 -106.11430787
67 	 -130.4949965 -109.965626817
68 	 46.3614714283 -139.234819501
69 	 128.066584569 -137.711064083
70 	 89.2069667729 -126.80395138
71 	 42.2190018361 -145.881680626
72 	 46.3614714283 -139.234819501
73 	 -15.8337960569 4.80159484546
74 	 -63.8844179612 5.48434612708
75 	 -5.10063409897 67.7923245717
76 	 -25.4524832922 -65.9776050819
77 	 -33.6087063314 -19.693579404
78 	 -15.8337960569 4.80159484546
79 	 83.0550875963 8.487481426
80 	 35.9622659808 -6.02426740828
81 	 16.1120791534 51.6722446422
82 	 83.0550875963 8.487481426
83 	 12.074832054 -3.56850721018
84 	 -84.198344511 102.626187815
85 	 -37.5410584953 27.9199792108
86 	 39.3873551469 -101.050889766
87 	 19.2554737613 -64.8982090879
88 	 14.6294829681 -97.6465543353
89 	 40.8666980911 -103.100846267
90 	 21.7186533486 -86.281603836
91 	 39.3873551469 -101.050889766
92 	 -8.74682406322 63.5170355197
93 	 -38.3356101274 170.217945715
94 	 4.7264075882 145.256957206
95 	 -8.74682406322 63.5170355197
96 	 27.6819532063 4.23559471995
97 	 16.0640279195 16.7680561208
98 	 55.2891628768 34.5225905634
99 	 -3.83244317824 -55.0380364121
100 	 27.6819532063 4.23559471995
101 	 -13.4024816975 25.1521400085
102 	 -35.8411917443 20.8841816661
103 	 -19.2897778297 37.4618738776
104 	 -13.4024816975 25.1521400085
105 	 2.94736889065 -0.369982143354
106 	 88.6799027065 12.2379010024
107 	 2.94736889065 -0.369982143354
108 	 -78.8602660048 129.082123095
109 	 -69.4182156986 160.247082802
110 	 -105.856526425 141.486216364
111 	 -82.7846514145 113.023238542
112 	 -91.5449383119 89.8607093233
113 	 -78.8602660048 129.082123095
114 	 47.0030366535 20.741143254
115 	 59.5239579144 -6.31677417242
116 	 37.0663868604 19.4351540123
117 	 47.0030366535 20.741143254
118 	 0.0 0.0


Travel time matrix 

(53, 53) 0
(111, 93) 145
(57, 50) 236
(39, 70) 378
(114, 49) 49
(43, 3) 89
(100, 112) 294
(63, 76) 245
(29, 44) 260
(112, 26) 88
(33, 41) 129
(90, 42) 118
(103, 50) 310
(110, 41) 323
(106, 48) 286
(80, 12) 341
(9, 0) 259
(86, 22) 149
(52, 98) 182
(15, 30) 297
(56, 101) 63
(19, 91) 191
(113, 84) 54
(76, 88) 102
(42, 88) 124
(5, 84) 238
(62, 31) 131
(66, 66) 0
(52, 17) 74
(114, 5) 177
(109, 32) 434
(113, 37) 405
(8, 87) 373
(104, 46) 292
(28, 10) 288
(85, 87) 217
(32, 77) 74
