General parameters 

30 108 720 750


Customer schedules 

0 0	0 [0,720]	
1 54	1 [0,14]	2 [48,60]	3 [207,214]	4 [345,371]	5 [472,591]	6 [693,720]	
2 34	7 [0,27]	8 [39,50]	9 [145,172]	10 [348,381]	11 [494,494]	12 [523,720]	
3 81	13 [0,72]	14 [234,241]	15 [476,506]	16 [663,720]	
4 39	17 [0,720]	
5 39	18 [0,720]	
6 57	19 [0,720]	
7 42	20 [0,60]	21 [284,317]	22 [541,720]	
8 46	23 [0,94]	24 [110,176]	25 [327,334]	26 [493,494]	27 [524,720]	
9 35	28 [0,59]	29 [101,115]	30 [277,399]	31 [522,720]	
10 60	32 [0,33]	33 [48,128]	34 [185,273]	35 [432,554]	36 [679,720]	
11 57	37 [0,35]	38 [102,193]	39 [358,465]	40 [656,720]	
12 55	41 [0,147]	42 [237,306]	43 [464,485]	44 [576,607]	45 [608,615]	46 [620,720]	
13 57	47 [0,68]	48 [72,101]	49 [223,322]	50 [411,426]	51 [470,543]	52 [644,720]	
14 53	53 [0,720]	
15 48	54 [0,66]	55 [188,328]	56 [450,720]	
16 48	57 [0,720]	
17 50	58 [0,7]	59 [14,106]	60 [144,290]	61 [416,498]	62 [625,720]	
18 62	63 [0,69]	64 [129,243]	65 [303,720]	
19 61	66 [0,0]	67 [43,60]	68 [190,214]	69 [529,537]	70 [680,720]	
20 60	71 [0,113]	72 [339,400]	73 [626,720]	
21 42	74 [0,89]	75 [214,353]	76 [478,720]	
22 51	77 [0,48]	78 [167,308]	79 [427,720]	
23 36	80 [0,13]	81 [43,72]	82 [193,222]	83 [388,454]	84 [535,552]	85 [652,720]	
24 36	86 [0,37]	87 [88,204]	88 [279,361]	89 [454,484]	90 [606,614]	91 [639,720]	
25 42	92 [0,720]	
26 55	93 [0,25]	94 [101,110]	95 [260,274]	96 [521,534]	97 [613,720]	
27 35	98 [0,53]	99 [208,216]	100 [472,475]	101 [628,720]	
28 37	102 [0,156]	103 [186,256]	104 [286,720]	
29 39	105 [0,720]	
30 3	106 [0,720]	
31 0	107 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -128.041686398 -16.2886845941
2 	 -130.562042268 -32.9000497809
3 	 -57.9004645356 -20.7684522603
4 	 -123.06160084 -16.1687481742
5 	 -121.119285758 -66.5795444701
6 	 -128.041686398 -16.2886845941
7 	 -37.7433407075 28.3880206213
8 	 -42.601116265 25.2507733123
9 	 -51.7267070454 71.9162291182
10 	 -78.2997891264 -11.8552389429
11 	 -49.4492828875 36.9945843574
12 	 -37.7433407075 28.3880206213
13 	 -53.5089991338 -154.197225802
14 	 -73.7729443116 -75.715071091
15 	 23.8748151288 -141.511725609
16 	 -53.5089991338 -154.197225802
17 	 29.9241391689 1.56043893601
18 	 -18.7485949629 -38.9995534545
19 	 3.98239926812 -46.5193955214
20 	 -136.893089844 26.9458448677
21 	 -29.9103783445 60.0075847952
22 	 -136.893089844 26.9458448677
23 	 59.1350987619 -39.4918801246
24 	 51.1795743915 -40.4953645935
25 	 119.747574999 -72.2261192269
26 	 55.6869669593 -24.9185119122
27 	 59.1350987619 -39.4918801246
28 	 13.4967962122 6.76501680674
29 	 34.3255854058 8.97339764664
30 	 -44.7617842645 26.9491056744
31 	 13.4967962122 6.76501680674
32 	 -26.7773468005 -4.05685028541
33 	 -25.6032567309 3.56888594958
34 	 -28.0893275708 -25.0781848818
35 	 18.7750685814 39.2818950319
36 	 -26.7773468005 -4.05685028541
37 	 -62.0439442374 72.5785818243
38 	 -29.0764620434 78.5468391525
39 	 1.84019238429 1.8655156735
40 	 -62.0439442374 72.5785818243
41 	 -4.74652449374 19.5649718953
42 	 20.295142629 56.9329635257
43 	 17.8562294826 -22.1581471118
44 	 -5.02448924855 17.6216160429
45 	 -5.13653555288 17.0249376654
46 	 -4.74652449374 19.5649718953
47 	 -120.322056747 -25.972111085
48 	 -122.141189407 -26.6515531932
49 	 -119.766094845 34.2778279284
50 	 -144.896448381 -2.2312290456
51 	 -166.542227425 -5.57390196139
52 	 -120.322056747 -25.972111085
53 	 62.3278696971 -49.3839916371
54 	 82.2181710091 36.3837425428
55 	 44.7764571183 84.6399041164
56 	 82.2181710091 36.3837425428
57 	 -58.4207815174 86.071737801
58 	 -82.6608158165 -43.6291736972
59 	 -82.2201816344 -39.9080129783
60 	 -99.390588781 -31.7841288738
61 	 -55.9304248519 13.9424149781
62 	 -82.6608158165 -43.6291736972
63 	 -124.200830561 5.9819198512
64 	 -133.641047264 34.4458528681
65 	 -124.200830561 5.9819198512
66 	 33.7712620814 -83.8423513689
67 	 13.0926574699 -78.3826245113
68 	 -51.0724794592 -67.6457361516
69 	 105.349504367 -85.0300750521
