General parameters 

30 125 720 750


Customer schedules 

0 0	0 [0,720]	
1 46	1 [0,65]	2 [123,255]	3 [313,720]	
2 70	4 [0,51]	5 [227,326]	6 [502,720]	
3 88	7 [0,130]	8 [261,407]	9 [538,720]	
4 36	10 [0,720]	
5 43	11 [0,11]	12 [68,160]	13 [313,442]	14 [558,619]	15 [630,634]	16 [644,720]	
6 53	17 [0,79]	18 [147,187]	19 [206,225]	20 [317,337]	21 [455,474]	22 [612,720]	
7 50	23 [0,13]	24 [154,155]	25 [346,370]	26 [605,637]	27 [704,720]	
8 53	28 [0,720]	
9 49	29 [0,150]	30 [182,223]	31 [327,430]	32 [466,519]	33 [599,610]	34 [657,720]	
10 66	35 [0,1]	36 [216,218]	37 [465,480]	38 [709,720]	
11 57	39 [0,7]	40 [83,90]	41 [254,321]	42 [504,521]	43 [593,633]	44 [637,720]	
12 47	45 [0,14]	46 [109,144]	47 [258,288]	48 [369,432]	49 [568,625]	50 [646,720]	
13 48	51 [0,15]	52 [103,133]	53 [274,296]	54 [328,409]	55 [548,580]	56 [702,720]	
14 44	57 [0,66]	58 [294,341]	59 [569,720]	
15 49	60 [0,113]	61 [320,362]	62 [569,720]	
16 53	63 [0,17]	64 [145,181]	65 [306,306]	66 [376,384]	67 [533,562]	68 [690,720]	
17 89	69 [0,316]	70 [428,564]	71 [676,720]	
18 39	72 [0,720]	
19 53	73 [0,11]	74 [23,43]	75 [175,176]	76 [327,368]	77 [506,551]	78 [657,720]	
20 38	79 [0,24]	80 [185,310]	81 [466,472]	82 [490,720]	
21 51	83 [0,130]	84 [142,272]	85 [281,667]	86 [673,720]	
22 61	87 [0,3]	88 [60,73]	89 [156,179]	90 [251,273]	91 [379,382]	92 [478,720]	
23 71	93 [0,54]	94 [233,256]	95 [459,492]	96 [544,720]	
24 30	97 [0,119]	98 [250,307]	99 [438,720]	
25 35	100 [0,40]	101 [219,254]	102 [414,443]	103 [648,720]	
26 59	104 [0,49]	105 [82,125]	106 [260,339]	107 [527,617]	108 [669,704]	109 [706,720]	
27 31	110 [0,30]	111 [93,121]	112 [215,223]	113 [244,350]	114 [455,720]	
28 51	115 [0,169]	116 [253,293]	117 [377,720]	
29 60	118 [0,58]	119 [62,150]	120 [175,203]	121 [306,443]	122 [562,720]	
30 72	123 [0,720]	
31 0	124 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 53.1812022814 108.45971535
2 	 81.2187455664 116.657486812
3 	 53.1812022814 108.45971535
4 	 7.00782531518 -5.64896518966
5 	 -57.8315317392 53.5239512669
6 	 7.00782531518 -5.64896518966
7 	 7.2278727784 -73.660194957
8 	 -34.9033933404 -123.708128945
9 	 7.2278727784 -73.660194957
10 	 76.0867283107 70.3442258635
11 	 -128.690370291 -22.5425973866
12 	 -154.790823464 -34.2369077568
13 	 -109.146209869 27.0933323292
14 	 -129.320561739 -27.5445470633
15 	 -133.629598983 -23.9372432403
16 	 -128.690370291 -22.5425973866
17 	 1.73779644185 2.79430944919
18 	 -17.774359658 30.531485147
19 	 -11.8884800659 37.7768054033
20 	 10.0171148371 -2.83934469426
21 	 64.7283861749 -24.8063762727
22 	 1.73779644185 2.79430944919
23 	 -24.2619095242 -14.6665723514
24 	 44.643871837 -30.6813209061
25 	 -22.0871808209 -98.9422209453
26 	 -22.7351515826 18.8644662345
27 	 -24.2619095242 -14.6665723514
28 	 63.5330134491 -19.8393291304
29 	 -54.8320290074 -6.08205449023
30 	 -69.5479134113 0.00380775454639
31 	 -76.4397657911 51.5644859766
32 	 -85.2098086847 35.8125111
33 	 -50.1203783064 16.8165894717
34 	 -54.8320290074 -6.08205449023
35 	 124.379820297 125.072279825
36 	 41.4450225274 56.702206158
37 	 157.769580934 15.5118625378
38 	 124.379820297 125.072279825
39 	 114.894844337 -21.6493181336
40 	 144.273535457 -45.4974541636
41 	 67.4206855048 -73.9492756784
42 	 98.9933791822 11.8057497515
43 	 115.888348885 -20.0781225344
44 	 114.894844337 -21.6493181336
45 	 -18.5730608262 -94.0495431289
46 	 -61.6940521907 -73.8959901298
47 	 -22.3817365256 -115.450806686
48 	 -54.8051698328 -139.626525172
49 	 -9.3763256113 -88.7353024419
50 	 -18.5730608262 -94.0495431289
51 	 94.5807308388 130.346622661
52 	 113.607966358 170.176384345
53 	 96.4464271151 101.650327161
54 	 82.1701310134 108.629999476
55 	 151.772403978 108.449741629
56 	 94.5807308388 130.346622661
57 	 -37.1783735941 -46.6958202532
58 	 -129.591144947 20.2449974561
59 	 -37.1783735941 -46.6958202532
60 	 -37.7572985362 -139.883724304
61 	 -86.0215354439 -48.4182603874
62 	 -37.7572985362 -139.883724304
63 	 4.67315809421 -4.64709554623
64 	 68.6402743743 -3.49802523611
65 	 7.18918621233 7.41019809829
66 	 41.5610815627 15.0765265977
67 	 -22.6861688929 53.0625090954
68 	 4.67315809421 -4.64709554623
69 	 55.4230846161 53.5941790213
70 	 52.6506997996 -2.36347474307
71 	 55.4230846161 53.5941790213
72 	 43.4250608732 -9.82691080466
73 	 -16.5772158396 -87.8225748736
74 	 -21.2880298943 -84.3122519719
75 	 -2.56900681984 -147.574623899
76 	 -1.22415671602 -71.9961776239
77 	 -69.4426460749 -82.4748352949
78 	 -16.5772158396 -87.8225748736
79 	 -106.173154291 -4.41310838658
80 	 -186.071287595 -13.5235977545
81 	 -108.135630922 -13.3239432048
82 	 -106.173154291 -4.41310838658
