General parameters 

30 120 720 750


Customer schedules 

0 0	0 [0,720]	
1 48	1 [0,62]	2 [281,445]	3 [664,720]	
2 56	4 [0,720]	
3 48	5 [0,720]	
4 35	6 [0,108]	7 [196,198]	8 [392,488]	9 [640,720]	
5 56	10 [0,124]	11 [145,299]	12 [319,391]	13 [470,534]	14 [610,720]	
6 48	15 [0,53]	16 [54,89]	17 [256,380]	18 [546,720]	
7 42	19 [0,152]	20 [196,322]	21 [386,533]	22 [567,615]	23 [650,660]	24 [698,720]	
8 55	25 [0,54]	26 [230,252]	27 [394,396]	28 [507,544]	29 [651,720]	
9 42	30 [0,51]	31 [181,242]	32 [379,389]	33 [419,456]	34 [533,581]	35 [651,720]	
10 64	36 [0,720]	
11 44	37 [0,28]	38 [226,258]	39 [466,471]	40 [674,720]	
12 31	41 [0,173]	42 [249,373]	43 [449,720]	
13 36	44 [0,362]	45 [363,366]	46 [388,502]	47 [524,720]	
14 33	48 [0,38]	49 [54,98]	50 [249,361]	51 [503,720]	
15 11	52 [0,1]	53 [32,55]	54 [99,108]	55 [281,394]	56 [562,720]	
16 64	57 [0,2]	58 [352,353]	59 [703,720]	
17 67	60 [0,70]	61 [106,324]	62 [348,413]	63 [490,546]	64 [616,720]	
18 62	65 [0,88]	66 [244,335]	67 [491,720]	
19 61	68 [0,23]	69 [95,132]	70 [204,222]	71 [249,268]	72 [431,453]	73 [592,720]	
20 40	74 [0,36]	75 [149,265]	76 [359,383]	77 [414,499]	78 [532,539]	79 [573,720]	
21 49	80 [0,80]	81 [180,244]	82 [380,395]	83 [455,485]	84 [657,720]	
22 63	85 [0,25]	86 [102,243]	87 [277,343]	88 [420,437]	89 [479,580]	90 [612,720]	
23 41	91 [0,9]	92 [168,306]	93 [465,720]	
24 69	94 [0,720]	
25 44	95 [0,49]	96 [85,92]	97 [206,269]	98 [394,441]	99 [578,600]	100 [653,720]	
26 19	101 [0,29]	102 [141,205]	103 [453,512]	104 [666,720]	
27 70	105 [0,720]	
28 42	106 [0,89]	107 [89,249]	108 [324,363]	109 [419,485]	110 [557,645]	111 [658,720]	
29 82	112 [0,39]	113 [137,144]	114 [269,329]	115 [438,481]	116 [584,652]	117 [711,720]	
30 47	118 [0,720]	
31 0	119 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -37.596379906 1.08868757419
2 	 -145.49082226 -17.2603807423
3 	 -37.596379906 1.08868757419
4 	 -0.13058533378 -15.7101322648
5 	 33.6803693557 112.361559378
6 	 90.6280876851 -21.0777425297
7 	 122.97151451 8.45893882457
8 	 126.137961642 -88.2856609246
9 	 90.6280876851 -21.0777425297
10 	 4.22069220383 -3.203221265
11 	 4.93515325813 -13.4964836715
12 	 2.49356448458 -4.02839520441
13 	 40.8264870329 -12.5787177579
14 	 4.22069220383 -3.203221265
15 	 8.16795576824 158.120540932
16 	 7.73600989715 158.586550136
17 	 1.09912910241 75.3334338219
18 	 8.16795576824 158.120540932
19 	 8.23255256073 -2.44081642368
20 	 9.39599685322 -24.2079361094
21 	 -18.4547695388 -8.34049622866
22 	 -20.1088889704 -25.2227798755
23 	 -7.8909907991 -12.4416204556
24 	 8.23255256073 -2.44081642368
25 	 28.6513906487 -10.4447126363
26 	 -19.9201564971 63.1167816931
27 	 31.031488132 13.8217400676
28 	 -23.5039394769 2.25620320521
29 	 28.6513906487 -10.4447126363
30 	 -96.25166261 -28.9215864704
31 	 -142.000557497 -75.0756434578
32 	 -104.677064474 -17.7910495996
33 	 -116.544978233 -26.5832076405
34 	 -104.41266894 -63.0074208462
35 	 -96.25166261 -28.9215864704
36 	 60.147093429 148.403483519
37 	 -38.7574187354 -19.3027993045
38 	 30.9652265501 51.0790303725
39 	 58.1790407449 -49.5133150058
40 	 -38.7574187354 -19.3027993045
41 	 -79.8520370053 -93.7407644331
42 	 -50.9582807453 -69.31215263
43 	 -79.8520370053 -93.7407644331
44 	 43.6769904307 -28.9166275913
45 	 43.8493199965 -29.2987376372
46 	 32.8357396587 -30.5705870082
47 	 43.6769904307 -28.9166275913
48 	 -115.138656754 43.019859543
49 	 -122.357273364 40.1659005959
50 	 -97.6289723885 111.707373281
51 	 -115.138656754 43.019859543
52 	 26.5845361895 23.9351551159
53 	 39.781231502 32.0783770491
54 	 20.169192111 21.5992341446
55 	 79.3729257274 -41.6786948725
56 	 26.5845361895 23.9351551159
57 	 3.02586373923 4.85505244079
58 	 130.73087222 -115.06696086
59 	 3.02586373923 4.85505244079
60 	 -144.69123301 -39.0773988939
61 	 -160.527670134 -30.6026704696
62 	 -152.188828959 -39.1765275313
63 	 -132.625744277 -72.0759746207
64 	 -144.69123301 -39.0773988939
65 	 11.9275563281 19.2560531919
66 	 -44.4607975882 72.8268732906
67 	 11.9275563281 19.2560531919
68 	 3.92556565013 -0.44259805403
69 	 37.0542860993 -15.1079154261
70 	 4.52066270247 0.557789472112
71 	 -3.9864213851 -10.392212548
72 	 65.9549591627 31.2063791729
73 	 3.92556565013 -0.44259805403
74 	 2.82592926875 -81.6028785214
75 	 25.1395039981 -133.33515604
76 	 -3.14809720562 -96.0281297345
77 	 3.34525128493 -82.2118417804
78 	 19.9388641517 -82.1641932097
79 	 2.82592926875 -81.6028785214
80 	 -1.33811048012 1.03273990483
