General parameters 

30 131 720 750


Customer schedules 

0 0	0 [0,720]	
1 44	1 [0,80]	2 [269,329]	3 [518,720]	
2 29	4 [0,30]	5 [182,189]	6 [262,265]	7 [496,525]	8 [690,720]	
3 79	9 [0,23]	10 [52,135]	11 [240,274]	12 [375,420]	13 [520,538]	14 [582,720]	
4 69	15 [0,46]	16 [124,177]	17 [335,490]	18 [611,720]	
5 40	19 [0,7]	20 [79,127]	21 [246,265]	22 [330,379]	23 [428,497]	24 [559,720]	
6 29	25 [0,20]	26 [189,198]	27 [423,442]	28 [598,720]	
7 16	29 [0,36]	30 [251,292]	31 [507,720]	
8 54	32 [0,339]	33 [354,396]	34 [416,423]	35 [435,720]	
9 91	36 [0,32]	37 [41,43]	38 [129,291]	39 [395,403]	40 [436,469]	41 [528,720]	
10 60	42 [0,31]	43 [181,182]	44 [339,354]	45 [425,472]	46 [543,720]	
11 32	47 [0,40]	48 [134,184]	49 [346,357]	50 [451,720]	
12 54	51 [0,41]	52 [141,254]	53 [375,555]	54 [596,720]	
13 48	55 [0,42]	56 [186,282]	57 [448,539]	58 [618,720]	
14 38	59 [0,38]	60 [99,141]	61 [255,259]	62 [307,357]	63 [482,509]	64 [643,720]	
15 32	65 [0,0]	66 [105,114]	67 [208,234]	68 [297,357]	69 [483,568]	70 [690,720]	
16 43	71 [0,109]	72 [313,456]	73 [660,720]	
17 74	74 [0,88]	75 [381,393]	76 [686,720]	
18 35	77 [0,311]	78 [319,472]	79 [504,520]	80 [560,720]	
19 58	81 [0,720]	
20 49	82 [0,21]	83 [90,220]	84 [282,642]	85 [660,720]	
21 47	86 [0,8]	87 [159,163]	88 [359,379]	89 [571,584]	90 [710,720]	
22 32	91 [0,720]	
23 79	92 [0,60]	93 [75,376]	94 [417,591]	95 [626,720]	
24 48	96 [0,53]	97 [98,115]	98 [272,295]	99 [491,533]	100 [656,720]	
25 50	101 [0,0]	102 [55,128]	103 [183,720]	
26 41	104 [0,42]	105 [156,320]	106 [413,460]	107 [538,623]	108 [677,720]	
27 41	109 [0,8]	110 [198,219]	111 [538,560]	112 [709,720]	
28 44	113 [0,80]	114 [122,143]	115 [265,303]	116 [416,475]	117 [636,720]	
29 27	118 [0,0]	119 [81,179]	120 [230,297]	121 [401,448]	122 [538,564]	123 [648,720]	
30 68	124 [0,37]	125 [67,91]	126 [199,250]	127 [343,367]	128 [528,538]	129 [656,720]	
31 0	130 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 79.8421715544 -10.880016388
2 	 174.596150541 -8.88735965968
3 	 79.8421715544 -10.880016388
4 	 45.4099807155 62.1843848578
5 	 33.8858988457 -12.8499394657
6 	 23.690957982 22.3525674884
7 	 126.914012582 74.6105363136
8 	 45.4099807155 62.1843848578
9 	 67.2226906913 -108.717475513
10 	 79.3782934412 -116.352230044
11 	 131.320909119 -107.520572892
12 	 92.869449161 -75.0739292668
13 	 48.1655362143 -97.8242464218
14 	 67.2226906913 -108.717475513
15 	 83.3079449543 -42.8953403541
16 	 55.2345610984 -15.5009830268
17 	 133.955753969 -9.78287250481
18 	 83.3079449543 -42.8953403541
19 	 -90.0629317207 2.36163829674
20 	 -96.2684671937 37.991555367
21 	 -97.2765434223 -21.2613194662
22 	 -91.9557330189 10.6595838885
23 	 -113.438827382 22.5039557518
24 	 -90.0629317207 2.36163829674
25 	 -119.270147117 -62.5133109882
26 	 -185.428763879 -114.732013084
27 	 -73.3726591021 -125.771291789
28 	 -119.270147117 -62.5133109882
29 	 -0.17053327225 -68.6175869664
30 	 67.1499776874 15.2261555401
31 	 -0.17053327225 -68.6175869664
32 	 15.6617724725 -140.468518646
33 	 8.70404850403 -143.00760202
34 	 14.1969426332 -134.495234228
35 	 15.6617724725 -140.468518646
36 	 -95.5661236737 -77.1290052834
37 	 -98.5978243625 -74.0112319495
38 	 -129.679249943 -103.420633312
39 	 -95.2630852511 -64.2040431342
40 	 -96.211916791 -47.6932423499
41 	 -95.5661236737 -77.1290052834
42 	 -52.2899384869 -60.3594588514
43 	 19.9801650418 -40.4080152347
44 	 -53.9925314738 -66.8048937206
45 	 -87.6451778715 -55.0663699936
46 	 -52.2899384869 -60.3594588514
47 	 1.59516230957 -0.282473334957
48 	 -43.3213386774 -13.3152405484
49 	 12.2541126879 45.6316372355
50 	 1.59516230957 -0.282473334957
51 	 10.973200083 1.10317426197
52 	 30.1812146843 47.3813082814
53 	 26.0495016786 -13.1442289417
54 	 10.973200083 1.10317426197
55 	 159.814927865 4.61765594258
56 	 135.033292842 -62.8240683958
57 	 123.162855328 19.3293008517
58 	 159.814927865 4.61765594258
59 	 140.640983129 -69.371341481
60 	 116.188668792 -87.9573870812
61 	 155.116910536 -46.4232168993
62 	 155.279650519 -22.2832109828
63 	 92.9622916403 -22.4886339573
64 	 140.640983129 -69.371341481
65 	 6.62429839514 -57.6163036423
66 	 50.022013136 -27.9503575859
67 	 2.86460669199 -29.4970473906
68 	 5.83600551107 -60.7047094853
69 	 63.1610337609 -34.111920273
70 	 6.62429839514 -57.6163036423
71 	 -3.22491446152 10.5528952891
72 	 95.7028187797 -15.1925235228
73 	 -3.22491446152 10.5528952891
74 	 -27.9110625992 -47.2149146932
75 	 -81.4626226291 89.6637156899
76 	 -27.9110625992 -47.2149146932
77 	 3.48161514209 -3.11970642618
78 	 1.66478443425 0.495797540353
79 	 -2.52538189995 15.9639692902
80 	 3.48161514209 -3.11970642618
81 	 90.9462345246 -56.2275457466
82 	 96.4941999255 -102.981009856
83 	 78.8031573994 -132.715693688
84 	 87.5043608955 -103.121374272
85 	 96.4941999255 -102.981009856
86 	 8.09656015973 23.1158890429
87 	 -34.605443924 -39.301848318
88 	 -8.95972030816 55.6025595175
89 	 63.0197970483 -7.81040763835
90 	 8.09656015973 23.1158890429
91 	 48.1506012772 0.453249479303
92 	 -0.268184851709 56.8726488666
93 	 2.32076640984 63.9816796404
94 	 -17.5745647456 59.8302278816
95 	 -0.268184851709 56.8726488666
96 	 -74.5867842234 -2.88310909272
97 	 -96.4499700508 -8.30536290042
98 	 -26.652434296 27.6083193535
99 	 -124.304846319 33.0126737644
100 	 -74.5867842234 -2.88310909272
101 	 63.4676625812 12.8841256427
102 	 84.4733501671 30.2454185337
103 	 63.4676625812 12.8841256427
104 	 -20.784675624 2.70487516741
105 	 20.2022341037 42.6734278843
106 	 -25.3127876218 33.3919987737
107 	 -47.9297527488 1.71516635602
108 	 -20.784675624 2.70487516741
109 	 -65.6193739151 -108.037061579
110 	 -0.380131466457 -39.2391007604
111 	 -139.343764684 -117.888813967
112 	 -65.6193739151 -108.037061579
113 	 100.937158526 11.3934653014
114 	 91.5328458978 -7.25089520962
115 	 46.1123651744 33.9072272832
116 	 69.4440637986 85.6256948665
117 	 100.937158526 11.3934653014
118 	 141.484427692 85.2614749184
119 	 101.822382634 77.8787787884
120 	 93.0850619235 101.967868215
121 	 140.940578001 81.7693618533
122 	 124.277555608 123.634477686
123 	 141.484427692 85.2614749184
124 	 -98.1759127543 118.948604164
125 	 -99.2735933167 103.943907817
126 	 -66.0350560279 61.569248547
127 	 -95.555926658 97.307057977
128 	 -92.6536656833 177.916655274
129 	 -98.1759127543 118.948604164
130 	 0.0 0.0


Travel time matrix 

(53, 53) 0
(111, 93) 461
(57, 50) 246
(39, 70) 204
(80, 125) 296
(43, 3) 133
(100, 112) 211
(63, 76) 247
(29, 44) 108
(112, 26) 240
(33, 41) 247
(90, 42) 206
(103, 50) 127
(110, 41) 205
(122, 42) 509
(106, 48) 100
(80, 12) 230
(9, 0) 256
(104, 130) 42
(86, 22) 202
(52, 98) 120
(15, 30) 121
(56, 101) 208
(19, 91) 276
(113, 84) 231
(76, 88) 209
(42, 88) 248
(5, 84) 210
(124, 20) 162
(62, 31) 324
(119, 90) 217
(66, 66) 0
(123, 31) 418
(86, 129) 286
(52, 17) 237
(114, 5) 116
(109, 32) 175
(113, 37) 434
(8, 87) 258
(104, 46) 141
(28, 10) 412
(85, 87) 291
(32, 77) 276
(14, 77) 247
(71, 100) 145
(18, 112) 325
(75, 97) 198
(38, 119) 588
(4, 35) 410
(8, 38) 481
(118, 129) 484
(65, 11) 269
(85, 56) 111
(107, 11) 420
(129, 117) 453
(114, 94) 256
(41, 34) 248
(61, 63) 133
(27, 115) 399
(84, 128) 667
(47, 124) 311
(88, 67) 171
(51, 121) 306
(17, 57) 62
(37, 54) 266
(116, 93) 141
(94, 57) 292
(98, 36) 251
(124, 110) 372
(13, 13) 0
(114, 123) 210
(74, 13) 183
(40, 117) 412
(3, 11) 219
(60, 104) 328
(23, 84) 474
(117, 105) 173
(64, 107) 403
(104, 88) 108
(121, 110) 371
(84, 102) 267
(50, 18) 184
(103, 0) 129
(70, 81) 169
(89, 87) 205
(40, 4) 358
(124, 125) 30
(108, 119) 288
(93, 15) 268
(117, 26) 626
(99, 109) 306
(46, 30) 282
(12, 90) 259
(16, 29) 154
(81, 112) 330
(73, 92) 93
(36, 80) 247
(2, 64) 139
(130, 13) 218
(22, 7) 456
(97, 52) 277
(79, 82) 309
(26, 74) 343
(83, 23) 493
(12, 41) 377
(69, 40) 319
(103, 95) 155
(73, 45) 214
(59, 14) 167
