General parameters 

30 107 720 750


Customer schedules 

0 0	0 [0,720]	
1 56	1 [0,1]	2 [359,361]	3 [719,720]	
2 30	4 [0,58]	5 [160,217]	6 [354,518]	7 [557,720]	
3 77	8 [0,144]	9 [344,424]	10 [624,720]	
4 50	11 [0,69]	12 [152,327]	13 [459,476]	14 [583,720]	
5 33	15 [0,211]	16 [339,482]	17 [610,720]	
6 53	18 [0,18]	19 [167,185]	20 [334,720]	
7 74	21 [0,53]	22 [271,283]	23 [501,720]	
8 59	24 [0,61]	25 [172,173]	26 [294,337]	27 [438,483]	28 [619,661]	29 [697,720]	
9 48	30 [0,720]	
10 70	31 [0,720]	
11 39	32 [0,36]	33 [168,223]	34 [368,403]	35 [473,545]	36 [632,720]	
12 28	37 [0,720]	
13 33	38 [0,52]	39 [88,204]	40 [294,319]	41 [436,573]	42 [589,720]	
14 80	43 [0,75]	44 [129,130]	45 [250,259]	46 [503,523]	47 [684,720]	
15 53	48 [0,14]	49 [80,108]	50 [241,346]	51 [473,481]	52 [491,546]	53 [555,720]	
16 55	54 [0,2]	55 [119,316]	56 [430,518]	57 [617,720]	
17 48	58 [0,720]	
18 83	59 [0,36]	60 [214,448]	61 [626,720]	
19 58	62 [0,107]	63 [270,288]	64 [451,624]	65 [641,720]	
20 33	66 [0,8]	67 [83,84]	68 [169,361]	69 [526,527]	70 [614,616]	71 [678,720]	
21 69	72 [0,59]	73 [79,106]	74 [222,249]	75 [368,438]	76 [550,565]	77 [663,720]	
22 37	78 [0,6]	79 [111,230]	80 [384,466]	81 [529,720]	
23 84	82 [0,720]	
24 79	83 [0,43]	84 [187,241]	85 [527,531]	86 [676,720]	
25 86	87 [0,720]	
26 36	88 [0,720]	
27 52	89 [0,720]	
28 69	90 [0,15]	91 [54,60]	92 [202,213]	93 [467,486]	94 [588,590]	95 [673,720]	
29 58	96 [0,128]	97 [214,238]	98 [369,421]	99 [468,499]	100 [600,720]	
30 53	101 [0,15]	102 [63,200]	103 [212,391]	104 [523,558]	105 [656,720]	
31 0	106 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -16.9509892776 126.488256595
2 	 62.6934353446 -33.7614348521
3 	 -16.9509892776 126.488256595
4 	 20.0033523568 84.3692507281
5 	 62.8114669367 56.5610784988
6 	 0.373192722138 84.3784047093
7 	 20.0033523568 84.3692507281
8 	 -7.44063021231 29.7799194245
9 	 -107.61798944 30.7919291447
10 	 -7.44063021231 29.7799194245
11 	 -71.0350596239 -79.8410950318
12 	 -90.6041448776 -43.1170269118
13 	 -119.849856927 -102.308221948
14 	 -71.0350596239 -79.8410950318
15 	 27.5224958977 -105.064176214
16 	 -36.0670130005 -97.2080073991
17 	 27.5224958977 -105.064176214
18 	 -0.125694556973 19.8934526551
19 	 74.1281359906 22.5697235204
20 	 -0.125694556973 19.8934526551
21 	 -24.2365053737 -36.8941407007
22 	 6.67821734789 -141.519764604
23 	 -24.2365053737 -36.8941407007
24 	 10.5394960077 -13.1430737894
25 	 -43.8827473681 -1.31320308318
26 	 15.6191212474 -13.632613751
27 	 21.8682274208 -63.8756798059
28 	 16.3703313911 3.72896255408
29 	 10.5394960077 -13.1430737894
30 	 -111.907441193 -13.9601418687
31 	 -97.1266009646 -70.5397915356
32 	 -26.2877774612 -59.1949143772
33 	 -90.4458245994 -75.4364662272
34 	 -18.706666412 -63.5415156625
35 	 5.90864515067 -88.1759218163
36 	 -26.2877774612 -59.1949143772
37 	 -24.4328765406 90.0399483686
38 	 70.4186361875 -27.7609079471
39 	 87.3262893691 -21.5076948892
40 	 125.593379214 1.98299867474
41 	 77.6856418092 -31.3937362514
42 	 70.4186361875 -27.7609079471
43 	 -46.3806246208 -109.19214686
44 	 -32.7681646803 -132.403381321
45 	 -13.4463581273 -75.5323131812
46 	 -125.768239289 -123.291175939
47 	 -46.3806246208 -109.19214686
48 	 76.0705766299 40.9736342272
49 	 81.2798724654 8.30054640139
50 	 133.910734045 48.7956036978
51 	 71.2108323164 38.1649023005
52 	 71.8045958543 42.9102935959
53 	 76.0705766299 40.9736342272
54 	 -34.1456119011 18.0619226932
55 	 -86.7176559497 -7.1063487184
56 	 -73.6376883263 48.2867736846
57 	 -34.1456119011 18.0619226932
58 	 -30.0398075249 83.4842241579
59 	 -67.7616148491 -108.270671954
60 	 17.253609314 -82.0192712271
