General parameters 

30 99 720 750


Customer schedules 

0 0	0 [0,720]	
1 37	1 [0,720]	
2 53	2 [0,34]	3 [99,111]	4 [218,316]	5 [332,422]	6 [485,504]	7 [532,720]	
3 43	8 [0,35]	9 [249,250]	10 [561,580]	11 [677,720]	
4 33	12 [0,32]	13 [75,110]	14 [126,246]	15 [261,396]	16 [446,720]	
5 50	17 [0,30]	18 [128,177]	19 [306,324]	20 [455,497]	21 [560,566]	22 [682,720]	
6 25	23 [0,69]	24 [165,180]	25 [351,354]	26 [454,720]	
7 44	27 [0,141]	28 [252,270]	29 [420,470]	30 [551,720]	
8 39	31 [0,26]	32 [286,293]	33 [553,720]	
9 75	34 [0,720]	
10 64	35 [0,421]	36 [499,527]	37 [605,720]	
11 25	38 [0,29]	39 [182,347]	40 [368,376]	41 [546,720]	
12 63	42 [0,22]	43 [146,147]	44 [470,475]	45 [693,720]	
13 40	46 [0,14]	47 [114,115]	48 [231,281]	49 [526,531]	50 [661,720]	
14 63	51 [0,114]	52 [220,329]	53 [435,720]	
15 65	54 [0,65]	55 [153,346]	56 [434,720]	
16 68	57 [0,720]	
17 30	58 [0,720]	
18 39	59 [0,12]	60 [212,356]	61 [556,720]	
19 31	62 [0,720]	
20 53	63 [0,2]	64 [192,277]	65 [457,520]	66 [573,720]	
21 37	67 [0,169]	68 [335,411]	69 [577,720]	
22 82	70 [0,720]	
23 32	71 [0,1]	72 [54,419]	73 [472,720]	
24 70	74 [0,74]	75 [137,177]	76 [258,262]	77 [377,403]	78 [462,720]	
25 40	79 [0,17]	80 [227,274]	81 [484,720]	
26 32	82 [0,141]	83 [175,187]	84 [391,394]	85 [579,592]	86 [661,720]	
27 46	87 [0,17]	88 [104,207]	89 [229,418]	90 [513,574]	91 [583,720]	
28 68	92 [0,720]	
29 38	93 [0,720]	
30 34	94 [0,120]	95 [276,370]	96 [508,513]	97 [636,720]	
31 0	98 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 62.3651962365 -30.0086956252
2 	 -98.5928837349 60.7352059828
3 	 -67.6147299731 51.199511288
4 	 -108.305648438 85.8783124147
5 	 -100.677919425 83.1010159521
6 	 -85.8042529308 55.1280248899
7 	 -98.5928837349 60.7352059828
8 	 55.5320789464 -87.7985858382
9 	 114.910405865 -176.700064306
10 	 32.5756204021 -44.9268726871
11 	 55.5320789464 -87.7985858382
12 	 -55.1653911989 -146.477973572
13 	 -73.2203074218 -134.769223921
14 	 -74.9114008924 -142.524322868
15 	 -80.3318431847 -148.0545387
16 	 -55.1653911989 -146.477973572
17 	 -101.379271519 -98.9728444146
18 	 -140.153926071 -69.2714020957
19 	 -76.5252916824 -78.1923632521
20 	 -133.338411918 -111.011635859
21 	 -140.748085033 -141.434900391
22 	 -101.379271519 -98.9728444146
23 	 35.2121394928 5.27307272487
24 	 72.3688022124 -25.4863432828
25 	 -11.8507010875 -10.9272573991
26 	 35.2121394928 5.27307272487
27 	 72.597121452 -80.859285222
28 	 127.918023333 -82.4980570396
29 	 63.2062520773 -120.369573644
30 	 72.597121452 -80.859285222
31 	 9.21630793655 -82.2409050087
32 	 68.5365530754 -198.063917585
33 	 9.21630793655 -82.2409050087
34 	 93.5657368533 127.288221716
35 	 80.2506741467 61.5597741854
36 	 70.7424928069 99.1935930448
37 	 80.2506741467 61.5597741854
38 	 -10.2469872431 24.8292152481
39 	 56.1922190067 -13.3265695123
40 	 66.6245598098 -11.3981746445
41 	 -10.2469872431 24.8292152481
42 	 47.6910669577 60.6962543691
43 	 40.4452446075 -1.125981257
44 	 127.441451576 134.647834423
45 	 47.6910669577 60.6962543691
46 	 0.0945874712602 11.9099459192
47 	 7.32890796819 61.3877345683
48 	 62.0074862903 41.7250320309
49 	 -19.0094831484 -50.1399127683
50 	 0.0945874712602 11.9099459192
51 	 80.1282140112 -85.1413294986
52 	 109.41623941 -129.275892863
53 	 80.1282140112 -85.1413294986
54 	 -20.2358892853 30.0855258386
55 	 -60.6955812136 13.2715714504
56 	 -20.2358892853 30.0855258386
57 	 14.4786760848 48.0486021943
58 	 41.3435617756 -4.89639581543
59 	 -178.584504632 -13.3880065681
60 	 -81.11083545 8.98799636083
61 	 -178.584504632 -13.3880065681
62 	 47.8358033465 56.1757378229
63 	 20.0929319586 4.62828703063
64 	 101.726457016 -43.6714179575
65 	 40.2542097663 21.8788370194
66 	 20.0929319586 4.62828703063
67 	 -43.0880136137 37.4596770683
68 	 6.34314199952 104.332547752
69 	 -43.0880136137 37.4596770683
70 	 -8.25486573421 25.3200296994
71 	 -110.3536733 27.2091241595
72 	 -135.840521626 33.5970179398
73 	 -110.3536733 27.2091241595
74 	 -120.915510898 43.898901402
75 	 -91.3636490834 55.3797154851
76 	 -113.939807894 88.8968741818
77 	 -150.377103414 44.4687514361
78 	 -120.915510898 43.898901402
79 	 -68.5110591263 26.7638700344
80 	 25.7242852896 73.0715376671
81 	 -68.5110591263 26.7638700344
82 	 5.0416682087 -30.8166209838
83 	 19.3831799656 -21.2606759861
84 	 -64.1667426011 -79.9390357837
85 	 25.6633921992 -58.3896539956
86 	 5.0416682087 -30.8166209838
87 	 -21.7813594748 9.54048971586
88 	 9.08941390371 40.4265833128
89 	 16.0314516413 32.1733460115
90 	 -23.0876646525 5.33780473097
91 	 -21.7813594748 9.54048971586
92 	 -11.3528517093 -143.558213566
93 	 97.3216847916 102.102778471
94 	 -14.0123200473 -17.8670377491
95 	 -25.5461826739 59.4644161883
