General parameters 

40 164 720 750


Customer schedules 

0 0	0 [0,720]	
1 57	1 [0,5]	2 [27,45]	3 [75,84]	4 [112,258]	5 [279,510]	6 [528,720]	
2 37	7 [0,136]	8 [144,304]	9 [343,373]	10 [423,542]	11 [565,720]	
3 45	12 [0,264]	13 [269,282]	14 [287,720]	
4 33	15 [0,88]	16 [115,218]	17 [244,310]	18 [331,423]	19 [442,720]	
5 83	20 [0,156]	21 [198,349]	22 [379,527]	23 [586,720]	
6 75	24 [0,139]	25 [184,253]	26 [296,324]	27 [347,645]	28 [650,720]	
7 35	29 [0,111]	30 [129,209]	31 [237,261]	32 [271,720]	
8 55	33 [0,157]	34 [164,307]	35 [314,657]	36 [659,720]	
9 37	37 [0,720]	
10 64	38 [0,49]	39 [94,267]	40 [312,720]	
11 84	41 [0,10]	42 [51,420]	43 [461,720]	
12 54	44 [0,181]	45 [194,269]	46 [277,319]	47 [324,720]	
13 48	48 [0,222]	49 [234,292]	50 [297,307]	51 [329,400]	52 [454,463]	53 [498,720]	
14 53	54 [0,150]	55 [230,276]	56 [356,720]	
15 39	57 [0,2]	58 [22,389]	59 [406,492]	60 [498,540]	61 [559,571]	62 [591,720]	
16 68	63 [0,55]	64 [55,311]	65 [311,720]	
17 36	66 [0,340]	67 [345,419]	68 [459,531]	69 [568,697]	70 [699,720]	
18 54	71 [0,720]	
19 34	72 [0,138]	73 [226,248]	74 [336,720]	
20 57	75 [0,8]	76 [44,298]	77 [342,436]	78 [449,541]	79 [572,595]	80 [630,720]	
21 82	81 [0,145]	82 [155,170]	83 [189,412]	84 [434,503]	85 [533,622]	86 [656,720]	
22 28	87 [0,2]	88 [31,67]	89 [95,303]	90 [336,545]	91 [561,611]	92 [638,720]	
23 60	93 [0,61]	94 [61,173]	95 [175,302]	96 [340,472]	97 [509,720]	
24 47	98 [0,29]	99 [45,45]	100 [81,125]	101 [160,217]	102 [241,486]	103 [511,720]	
25 67	104 [0,5]	105 [36,215]	106 [231,475]	107 [494,720]	
26 61	108 [0,28]	109 [30,101]	110 [143,452]	111 [489,615]	112 [622,720]	
27 38	113 [0,8]	114 [31,86]	115 [118,490]	116 [513,577]	117 [591,650]	118 [664,720]	
28 37	119 [0,63]	120 [83,164]	121 [180,312]	122 [335,403]	123 [434,473]	124 [504,720]	
29 16	125 [0,163]	126 [197,286]	127 [311,486]	128 [516,533]	129 [541,568]	130 [576,720]	
30 69	131 [0,98]	132 [115,246]	133 [247,346]	134 [362,720]	
31 60	135 [0,61]	136 [83,220]	137 [242,720]	
32 12	138 [0,35]	139 [86,417]	140 [468,720]	
33 38	141 [0,720]	
34 38	142 [0,720]	
35 80	143 [0,307]	144 [321,497]	145 [520,563]	146 [600,720]	
36 29	147 [0,94]	148 [104,153]	149 [188,388]	150 [414,450]	151 [470,551]	152 [579,720]	
37 56	153 [0,338]	154 [392,394]	155 [451,551]	156 [587,720]	
38 74	157 [0,481]	158 [518,566]	159 [599,688]	160 [696,720]	
39 64	161 [0,720]	
40 25	162 [0,720]	
41 0	163 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 142.181504986 -68.2881114167
2 	 144.959030136 -57.3888598202
3 	 131.512410649 -63.7059678761
4 	 145.146114735 -66.2919467761
5 	 134.911207737 -63.1904272876
6 	 142.181504986 -68.2881114167
7 	 37.6896258306 -167.243635582
8 	 34.0165104597 -166.095964646
9 	 52.9081200709 -171.37215519
10 	 32.3524208346 -157.236719492
11 	 37.6896258306 -167.243635582
12 	 52.592674244 101.061257724
13 	 53.8999710313 99.1623685693
14 	 52.592674244 101.061257724
15 	 13.6061475492 14.1729876081
16 	 8.45785714338 1.53592974661
17 	 13.6215689099 13.3244025705
18 	 11.5288991679 23.461621411
19 	 13.6061475492 14.1729876081
20 	 -13.1934359627 75.6894269724
21 	 -27.514316629 91.1408322422
22 	 -41.2145981408 85.4200723106
23 	 -13.1934359627 75.6894269724
24 	 25.917676088 84.190133495
25 	 40.3926622484 101.382958069
26 	 38.9586050851 79.7166647146
27 	 28.305509998 83.9146006552
28 	 25.917676088 84.190133495
29 	 -34.7692044922 12.6370372941
30 	 -43.3751393953 15.951982195
31 	 -31.0230712956 9.23710642026
32 	 -34.7692044922 12.6370372941
33 	 -121.115372616 80.6218129701
34 	 -121.177916637 84.2820732863
35 	 -122.058584207 81.028081418
36 	 -121.115372616 80.6218129701
37 	 -160.025766052 -60.9649324445
38 	 14.6352054605 -13.0636310023
39 	 11.9316762407 -35.483971976
40 	 14.6352054605 -13.0636310023
41 	 -27.9038515516 65.0314639319
42 	 -35.1601193536 84.3811954754
43 	 -27.9038515516 65.0314639319
44 	 22.8531148523 60.1765062776
45 	 28.7202238328 62.3651030532
46 	 25.1017637187 61.3606711435
47 	 22.8531148523 60.1765062776
48 	 -92.9449973518 87.8928295533
49 	 -98.5902605946 86.0181766191
50 	 -96.0476005247 86.6514112931
51 	 -87.7896219681 79.7495549962
52 	 -101.08449475 103.163175431
53 	 -92.9449973518 87.8928295533
54 	 24.3961323593 74.0589822916
55 	 19.6631257227 34.4381939334
56 	 24.3961323593 74.0589822916
57 	 39.9666189137 -103.866754767
58 	 48.2581868977 -98.3602496237
59 	 40.8777142192 -102.393304242
60 	 42.0822528234 -105.114322964
61 	 37.5824795868 -113.69691119
62 	 39.9666189137 -103.866754767
63 	 -42.6810842989 -50.1108132934
64 	 -42.6070309518 -50.1687466973
65 	 -42.6810842989 -50.1108132934
66 	 19.7770200303 32.0010598602
67 	 18.6928560194 29.9017637085
68 	 24.3293246901 49.0268771562
69 	 20.1018754787 31.1073956933
70 	 19.7770200303 32.0010598602
71 	 4.89777977328 -127.677400313
72 	 -7.65353781797 23.977677146
73 	 36.2500160256 25.6193842703
74 	 -7.65353781797 23.977677146
75 	 50.7409038202 5.9956732805
76 	 47.5092087684 23.6223872288
77 	 51.7631490022 2.07300701588
78 	 51.7635740678 8.33788675323
79 	 66.70933036 12.9225979743
80 	 50.7409038202 5.9956732805
81 	 19.5916564615 -33.0117052207
82 	 21.01247755 -28.0393644944
83 	 29.6958483821 -31.4843509105
84 	 18.8510823808 -29.2425396162
85 	 3.98632317649 -26.4745430783
86 	 19.5916564615 -33.0117052207
