General parameters 

60 226 720 750


Customer schedules 

0 0	0 [0,720]	
1 34	1 [0,48]	2 [142,187]	3 [315,345]	4 [413,533]	5 [629,720]	
2 40	6 [0,4]	7 [121,232]	8 [364,436]	9 [551,583]	10 [671,720]	
3 39	11 [0,720]	
4 51	12 [0,15]	13 [76,87]	14 [255,269]	15 [430,445]	16 [593,608]	17 [712,720]	
5 62	18 [0,229]	19 [379,503]	20 [584,605]	21 [685,720]	
6 81	22 [0,7]	23 [81,180]	24 [220,249]	25 [307,316]	26 [441,550]	27 [617,720]	
7 46	28 [0,76]	29 [368,393]	30 [685,720]	
8 43	31 [0,15]	32 [121,162]	33 [343,359]	34 [520,525]	35 [589,634]	36 [706,720]	
9 57	37 [0,720]	
10 54	38 [0,92]	39 [220,260]	40 [389,443]	41 [478,720]	
11 56	42 [0,0]	43 [265,399]	44 [664,720]	
12 20	45 [0,169]	46 [221,428]	47 [480,720]	
13 66	48 [0,9]	49 [64,110]	50 [168,261]	51 [308,384]	52 [434,437]	53 [444,720]	
14 26	54 [0,39]	55 [149,233]	56 [370,469]	57 [592,720]	
15 69	58 [0,11]	59 [22,190]	60 [284,293]	61 [370,377]	62 [405,720]	
16 46	63 [0,7]	64 [7,102]	65 [208,277]	66 [369,435]	67 [502,525]	68 [578,720]	
17 36	69 [0,0]	70 [120,122]	71 [266,275]	72 [520,552]	73 [641,651]	74 [684,720]	
18 30	75 [0,117]	76 [173,366]	77 [474,493]	78 [635,639]	79 [639,720]	
19 41	80 [0,94]	81 [99,604]	82 [609,720]	
20 60	83 [0,23]	84 [81,228]	85 [292,382]	86 [526,545]	87 [689,720]	
21 44	88 [0,1]	89 [229,247]	90 [369,467]	91 [573,720]	
22 56	92 [0,13]	93 [13,150]	94 [163,165]	95 [281,330]	96 [477,543]	97 [576,720]	
23 65	98 [0,1]	99 [334,351]	100 [684,720]	
24 36	101 [0,62]	102 [69,99]	103 [199,241]	104 [402,430]	105 [557,567]	106 [619,720]	
25 72	107 [0,720]	
26 47	108 [0,10]	109 [168,175]	110 [296,425]	111 [505,640]	112 [682,720]	
27 52	113 [0,720]	
28 27	114 [0,15]	115 [73,157]	116 [218,247]	117 [329,426]	118 [562,609]	119 [687,720]	
29 13	120 [0,57]	121 [92,429]	122 [482,538]	123 [570,720]	
30 38	124 [0,14]	125 [124,198]	126 [284,293]	127 [451,454]	128 [466,720]	
31 51	129 [0,52]	130 [162,227]	131 [325,527]	132 [614,617]	133 [625,720]	
32 58	134 [0,720]	
33 52	135 [0,88]	136 [147,149]	137 [314,340]	138 [434,550]	139 [609,720]	
34 50	140 [0,720]	
35 27	141 [0,720]	
36 22	142 [0,720]	
37 54	143 [0,720]	
38 51	144 [0,181]	145 [232,270]	146 [321,720]	
39 53	147 [0,59]	148 [185,231]	149 [382,384]	150 [426,550]	151 [569,720]	
40 58	152 [0,720]	
41 61	153 [0,24]	154 [160,166]	155 [313,329]	156 [538,548]	157 [655,658]	158 [695,720]	
42 76	159 [0,55]	160 [108,200]	161 [384,393]	162 [538,569]	163 [660,720]	
43 79	164 [0,32]	165 [289,342]	166 [599,720]	
44 35	167 [0,23]	168 [84,116]	169 [195,249]	170 [351,355]	171 [390,600]	172 [611,720]	
45 51	173 [0,720]	
46 71	174 [0,720]	
47 57	175 [0,7]	176 [224,317]	177 [534,720]	
48 50	178 [0,89]	179 [223,260]	180 [351,366]	181 [421,563]	182 [626,646]	183 [695,720]	
49 52	184 [0,1]	185 [340,356]	186 [695,720]	
50 10	187 [0,126]	188 [244,317]	189 [473,552]	190 [641,720]	
51 74	191 [0,14]	192 [65,106]	193 [172,200]	194 [222,306]	195 [417,466]	196 [539,720]	
52 66	197 [0,720]	
53 78	198 [0,720]	
54 18	199 [0,720]	
55 70	200 [0,71]	201 [219,227]	202 [404,472]	203 [503,720]	
56 55	204 [0,11]	205 [203,211]	206 [554,557]	207 [712,720]	
57 58	208 [0,25]	209 [167,169]	210 [360,361]	211 [456,473]	212 [533,611]	213 [618,720]	
58 22	214 [0,80]	215 [104,166]	216 [254,346]	217 [429,720]	
59 54	218 [0,109]	219 [117,384]	220 [424,485]	221 [529,720]	
60 37	222 [0,72]	223 [288,369]	224 [585,720]	
61 0	225 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -86.3612570054 -132.71560807
2 	 -101.607161394 -177.217026182
3 	 -90.2446402798 -114.141026349
4 	 -67.7561876238 -88.4560672647
5 	 -86.3612570054 -132.71560807
6 	 -93.6427107597 -76.0391005795
7 	 -35.4701796946 -82.4664201445
8 	 -98.3008817558 -62.208870936
9 	 -94.8521592662 -119.776888769
10 	 -93.6427107597 -76.0391005795
11 	 -1.02831333735 -3.63027821639
12 	 -48.6230765934 77.3778773579
13 	 -27.0176131756 99.0195129469
14 	 -93.8836310946 48.4041450098
15 	 -20.0957507264 80.9624243578
16 	 -77.6617326821 34.2973395449
17 	 -48.6230765934 77.3778773579
18 	 -46.4707329785 -8.39629719953
19 	 -34.3366630862 -82.2259157377
20 	 -25.1869353507 -42.5545473232
21 	 -46.4707329785 -8.39629719953
22 	 -70.728782521 11.4400138837
23 	 -97.8397647227 36.4916349001
24 	 -107.152141342 54.2614804324
25 	 -92.5037227037 79.3274836327
26 	 -103.501494306 17.8319670577
27 	 -70.728782521 11.4400138837
28 	 16.3338986649 0.341078401398
29 	 -62.0137071853 123.857848969
30 	 16.3338986649 0.341078401398
31 	 -12.3671227181 -91.6843843387
32 	 13.4903405762 -44.9611773238
33 	 -18.6820247947 -129.587539027
34 	 -72.0659247666 -69.5348663937
35 	 -48.1792440263 -91.1544210844
36 	 -12.3671227181 -91.6843843387
37 	 30.7555319685 1.69710552797
38 	 56.0012828276 -71.4848678623
39 	 -4.1017883547 -49.7073281203
40 	 60.4588423147 -54.4375112159
41 	 56.0012828276 -71.4848678623
42 	 57.9190808856 103.764888606
43 	 -70.7334437284 71.28419124
44 	 57.9190808856 103.764888606
45 	 -37.3231735656 52.4885145242
46 	 -19.2468749718 70.9338632173
47 	 -37.3231735656 52.4885145242
48 	 -42.7945572393 69.2571590167
49 	 -69.223666396 61.8765939803
50 	 -40.8738277447 69.0028613882
51 	 -51.4878620801 48.1507717235
52 	 -39.2336594669 70.0344496649
53 	 -42.7945572393 69.2571590167
54 	 -3.1221401108 -88.4949457023
55 	 46.2228008846 -113.162240604
56 	 40.5211989102 -44.8544879376
57 	 -3.1221401108 -88.4949457023
58 	 -3.47871926907 -17.678226935
59 	 1.16817509827 -14.3573112871
60 	 -23.495486602 -54.2821667013
61 	 -17.3709397207 -16.5165597168
62 	 -3.47871926907 -17.678226935
63 	 -63.3636751349 -58.3275549898
64 	 -63.3196563367 -58.169558179
65 	 -92.561963601 -13.9970960556
66 	 -64.1369823863 -49.8831578736
67 	 -79.5287236526 -79.8507938683
68 	 -63.3636751349 -58.3275549898
69 	 -0.0930215020971 -97.4991739757
70 	 -23.2933532883 -152.616975511
71 	 -61.4349791131 -91.6462085549
72 	 59.4964595772 -109.708830885
73 	 15.6113884154 -103.176223775
74 	 -0.0930215020971 -97.4991739757
75 	 -121.507984178 -74.9004396996
76 	 -95.722039623 -85.1841771694
77 	 -55.557968389 -49.0579608791
78 	 -121.511810537 -74.9012994335
79 	 -121.507984178 -74.9004396996
80 	 -140.782128015 -35.1126091274
81 	 -143.232818112 -34.4923873761
82 	 -140.782128015 -35.1126091274
83 	 87.3876088081 83.9239568816
84 	 60.2596727483 93.7157391452
85 	 88.5702108338 78.7636263384
86 	 157.223636032 101.325098536
87 	 87.3876088081 83.9239568816
88 	 56.6984131973 84.5457492573
89 	 164.233166229 47.3339775118
90 	 107.505268975 70.2757250383
91 	 56.6984131973 84.5457492573
92 	 -10.8117460589 -36.6912252088
93 	 -11.0019146893 -36.6408088223
94 	 -5.31407673707 -39.9532523548
95 	 51.0261001588 -26.2567044693
96 	 -22.3424456561 -24.6893540859
97 	 -10.8117460589 -36.6912252088
98 	 -7.39066682357 4.89193783005
99 	 -172.804516638 26.3033304712
100 	 -7.39066682357 4.89193783005
101 	 -31.8741219663 -17.7496400409
102 	 -31.6328969116 -21.2243975443
103 	 -80.4300384211 -11.3235256401
104 	 -25.698539322 47.8705862712
105 	 -55.7918936307 -7.98651552451
106 	 -31.8741219663 -17.7496400409
107 	 5.38761580166 82.2008405875
108 	 -23.1254648009 -16.6694598848
109 	 54.0816548654 -33.4376024459
110 	 -6.09094627138 -26.7535455663
111 	 -43.7174257235 -13.7606677083
112 	 -23.1254648009 -16.6694598848
113 	 3.40660470061 -40.5466466448
