General parameters 

60 214 720 750


Customer schedules 

0 0	0 [0,720]	
1 30	1 [0,14]	2 [110,135]	3 [286,350]	4 [512,521]	5 [549,720]	
2 48	6 [0,720]	
3 71	7 [0,4]	8 [21,26]	9 [183,209]	10 [470,542]	11 [671,720]	
4 58	12 [0,34]	13 [214,373]	14 [553,567]	15 [577,720]	
5 36	16 [0,1]	17 [99,120]	18 [209,221]	19 [346,450]	20 [580,599]	21 [613,720]	
6 50	22 [0,720]	
7 32	23 [0,4]	24 [132,147]	25 [299,351]	26 [500,511]	27 [671,720]	
8 70	28 [0,720]	
9 62	29 [0,720]	
10 65	30 [0,38]	31 [212,245]	32 [445,454]	33 [554,575]	34 [706,720]	
11 65	35 [0,720]	
12 53	36 [0,1]	37 [138,142]	38 [325,327]	39 [603,604]	40 [718,720]	
13 39	41 [0,720]	
14 73	42 [0,720]	
15 42	43 [0,67]	44 [215,300]	45 [446,605]	46 [618,720]	
16 78	47 [0,9]	48 [209,227]	49 [415,440]	50 [457,720]	
17 56	51 [0,12]	52 [114,361]	53 [463,720]	
18 66	54 [0,720]	
19 35	55 [0,15]	56 [154,157]	57 [425,437]	58 [583,720]	
20 72	59 [0,51]	60 [179,287]	61 [415,720]	
21 25	62 [0,40]	63 [60,97]	64 [172,224]	65 [430,450]	66 [608,635]	67 [668,720]	
22 64	68 [0,9]	69 [62,68]	70 [181,188]	71 [356,374]	72 [567,572]	73 [707,720]	
23 45	74 [0,34]	75 [113,172]	76 [265,267]	77 [360,415]	78 [555,563]	79 [616,720]	
24 41	80 [0,66]	81 [123,137]	82 [166,247]	83 [281,720]	
25 33	84 [0,86]	85 [170,225]	86 [274,338]	87 [367,369]	88 [440,442]	89 [495,720]	
26 59	90 [0,720]	
27 55	91 [0,207]	92 [223,368]	93 [423,479]	94 [520,720]	
28 72	95 [0,94]	96 [282,316]	97 [507,536]	98 [620,720]	
29 54	99 [0,6]	100 [125,174]	101 [435,445]	102 [579,585]	103 [640,720]	
30 34	104 [0,121]	105 [144,167]	106 [244,264]	107 [360,390]	108 [493,497]	109 [533,720]	
31 54	110 [0,44]	111 [168,180]	112 [277,298]	113 [458,505]	114 [670,720]	
32 67	115 [0,7]	116 [207,216]	117 [416,720]	
33 68	118 [0,720]	
34 57	119 [0,720]	
35 37	120 [0,88]	121 [235,266]	122 [419,488]	123 [506,589]	124 [601,720]	
36 76	125 [0,6]	126 [73,133]	127 [177,194]	128 [299,363]	129 [443,720]	
37 48	130 [0,720]	
38 56	131 [0,4]	132 [239,289]	133 [417,446]	134 [682,720]	
39 26	135 [0,20]	136 [289,365]	137 [634,720]	
40 64	138 [0,22]	139 [321,364]	140 [663,720]	
41 48	141 [0,10]	142 [94,145]	143 [277,293]	144 [396,400]	145 [561,569]	146 [707,720]	
42 22	147 [0,720]	
43 47	148 [0,27]	149 [67,79]	150 [265,314]	151 [578,585]	152 [702,720]	
44 43	153 [0,3]	154 [94,192]	155 [351,391]	156 [498,499]	157 [566,574]	158 [664,720]	
45 13	159 [0,2]	160 [126,130]	161 [343,344]	162 [454,471]	163 [595,612]	164 [710,720]	
46 66	165 [0,40]	166 [76,143]	167 [347,488]	168 [622,630]	169 [669,720]	
47 55	170 [0,82]	171 [147,155]	172 [294,303]	173 [459,488]	174 [597,658]	175 [701,720]	
48 41	176 [0,720]	
49 58	177 [0,33]	178 [106,110]	179 [319,322]	180 [534,545]	181 [618,652]	182 [656,720]	
50 39	183 [0,30]	184 [226,230]	185 [510,536]	186 [625,720]	
51 45	187 [0,720]	
52 56	188 [0,5]	189 [161,184]	190 [340,720]	
53 51	191 [0,720]	
54 46	192 [0,720]	
55 69	193 [0,720]	
56 43	194 [0,152]	195 [199,418]	196 [465,720]	
57 36	197 [0,720]	
58 27	198 [0,55]	199 [84,97]	200 [153,229]	201 [384,391]	202 [484,562]	203 [646,720]	
59 57	204 [0,14]	205 [147,147]	206 [245,247]	207 [342,355]	208 [591,595]	209 [706,720]	
60 56	210 [0,209]	211 [275,276]	212 [342,720]	
61 0	213 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 87.0990295127 95.2102082729
2 	 42.911111514 76.9617849253
3 	 99.771295333 27.3905298955
4 	 93.1455986687 107.972434196
5 	 87.0990295127 95.2102082729
6 	 9.62911047758 2.90623002568
7 	 106.334862077 55.6156477003
8 	 110.644651695 62.68036157
9 	 117.952675961 -15.3135756349
10 	 61.0454853195 101.870621209
11 	 106.334862077 55.6156477003
12 	 30.0658398275 12.9182608456
13 	 86.2087192185 83.3142348412
14 	 25.9911946443 16.1062839493
15 	 30.0658398275 12.9182608456
16 	 6.51538034276 26.0262742445
17 	 -24.6973669164 63.9175254783
18 	 -1.70084797663 25.9085595617
19 	 -44.2650757276 71.938617039
20 	 7.46746455731 32.7563135668
21 	 6.51538034276 26.0262742445
22 	 -60.7667948882 10.6489626819
23 	 62.4737707188 20.3672084399
24 	 12.398338097 -19.6512410668
25 	 82.8437839673 -48.3386350064
26 	 8.75897584501 -38.781440732
27 	 62.4737707188 20.3672084399
28 	 1.20545338959 -46.7227297227
29 	 -51.9995764532 -64.361073884
30 	 -15.2478084383 14.8917679607
31 	 -102.272522166 13.892926062
32 	 -2.57819300732 1.8431209054
33 	 47.3124496794 -3.71673708808
34 	 -15.2478084383 14.8917679607
35 	 25.6076252339 -115.707093355
36 	 135.091309699 17.4555465819
37 	 161.650685861 -45.8759253004
38 	 70.8692042617 -32.5331017427
39 	 177.29638434 55.5849762663
40 	 135.091309699 17.4555465819
41 	 -7.94484079627 -101.725703221
42 	 -86.9310024718 -61.4649934615
43 	 49.8251960348 -30.5418875361
44 	 66.3305244006 41.7826543301
45 	 56.2269581194 -30.4483700556
46 	 49.8251960348 -30.5418875361
47 	 -4.52034575567 95.0726955383
48 	 34.0988020604 2.92861260753
49 	 3.03962266451 91.5512354322
50 	 -4.52034575567 95.0726955383
51 	 19.6560487241 63.9029159781
52 	 -29.161817799 78.799637233
53 	 19.6560487241 63.9029159781
54 	 5.46354190748 22.7598741209
55 	 44.8145723546 32.3152342256
56 	 23.6074479596 -33.6772954995
57 	 105.632294732 72.4515085608
58 	 44.8145723546 32.3152342256
59 	 -40.7232487875 139.578582388
60 	 9.31878778211 99.3944931933
61 	 -40.7232487875 139.578582388
62 	 92.6336183845 5.11326544091
63 	 94.1607858219 15.1867521194
64 	 104.444387297 51.0305721587
65 	 36.243251087 -26.1351952616
66 	 108.903060876 5.28072922994
67 	 92.6336183845 5.11326544091
68 	 -7.93571477698 -60.5550222051
69 	 15.98376207 -72.5081716741
70 	 39.4093517092 -20.794197169
71 	 -39.9803081086 -49.6174937302
72 	 56.0507168458 -39.5204758111
73 	 -7.93571477698 -60.5550222051
74 	 -27.3294120736 -18.8686306458
75 	 -31.1514501905 -58.4038221831
76 	 -34.6254066146 -11.9878904302
77 	 -7.909474876 26.3424218071
78 	 -16.3911018641 -43.2573944591
79 	 -27.3294120736 -18.8686306458
80 	 -68.2644950048 155.960911127
81 	 -42.0357176458 167.455933416
82 	 -51.4281145568 156.340570726
83 	 -68.2644950048 155.960911127
84 	 16.3087955077 -2.85109723751
85 	 -12.7531135818 27.7342564362
86 	 -2.21312070282 5.36835261849
87 	 8.71868653656 15.1144833322
88 	 -6.4009573743 -16.9565183289
89 	 16.3087955077 -2.85109723751
90 	 79.6625618768 -30.756468748
91 	 14.6027969915 -70.1455402735
92 	 21.6273023668 -66.4225161334
93 	 2.89143552943 -86.8183631733
94 	 14.6027969915 -70.1455402735
95 	 -0.0348869166117 95.3966371712
96 	 -85.0017351377 54.6084653014
97 	 -25.33675497 129.025125181
98 	 -0.0348869166117 95.3966371712
99 	 136.793449157 -32.1454259171
100 	 194.774032106 -19.8448749846
101 	 67.1824132157 7.39196606831
102 	 133.175055292 -4.69940437066
103 	 136.793449157 -32.1454259171
104 	 78.0042786437 -55.6334062156
105 	 81.835553746 -45.0533542258
106 	 43.3437348507 -40.7971956596
107 	 48.34597831 6.91849353101
108 	 73.8563930767 -38.0842781895
109 	 78.0042786437 -55.6334062156
110 	 -6.26682983277 51.2586007241
111 	 -47.1211851716 4.73596921295
112 	 -7.08436466691 32.0578221035
