General parameters 

60 236 720 750


Customer schedules 

0 0	0 [0,720]	
1 19	1 [0,68]	2 [83,215]	3 [342,368]	4 [419,443]	5 [513,569]	6 [617,720]	
2 23	7 [0,19]	8 [96,160]	9 [299,353]	10 [502,593]	11 [646,650]	12 [692,720]	
3 55	13 [0,22]	14 [32,119]	15 [247,494]	16 [628,720]	
4 44	17 [0,2]	18 [171,184]	19 [393,442]	20 [656,720]	
5 43	21 [0,40]	22 [148,155]	23 [193,227]	24 [468,527]	25 [649,662]	26 [680,720]	
6 61	27 [0,4]	28 [96,137]	29 [268,281]	30 [381,515]	31 [599,720]	
7 55	32 [0,720]	
8 70	33 [0,39]	34 [230,438]	35 [629,720]	
9 65	36 [0,191]	37 [349,487]	38 [645,720]	
10 45	39 [0,36]	40 [193,211]	41 [368,720]	
11 54	42 [0,720]	
12 70	43 [0,720]	
13 50	44 [0,298]	45 [379,461]	46 [542,720]	
14 17	47 [0,31]	48 [149,152]	49 [315,317]	50 [413,424]	51 [579,592]	52 [613,720]	
15 39	53 [0,720]	
16 43	54 [0,4]	55 [95,151]	56 [239,319]	57 [406,469]	58 [537,587]	59 [665,720]	
17 70	60 [0,19]	61 [29,64]	62 [112,243]	63 [278,293]	64 [364,391]	65 [408,720]	
18 71	66 [0,83]	67 [87,224]	68 [292,312]	69 [482,500]	70 [587,619]	71 [681,720]	
19 42	72 [0,101]	73 [138,184]	74 [240,290]	75 [449,507]	76 [646,683]	77 [702,720]	
20 58	78 [0,720]	
21 66	79 [0,29]	80 [170,194]	81 [410,440]	82 [592,592]	83 [666,720]	
22 65	84 [0,47]	85 [58,227]	86 [253,299]	87 [310,381]	88 [408,720]	
23 61	89 [0,128]	90 [134,217]	91 [345,347]	92 [449,449]	93 [530,557]	94 [621,720]	
24 54	95 [0,6]	96 [88,120]	97 [307,410]	98 [537,537]	99 [620,622]	100 [660,720]	
25 50	101 [0,75]	102 [141,197]	103 [326,419]	104 [525,596]	105 [642,720]	
26 51	106 [0,720]	
27 61	107 [0,21]	108 [111,116]	109 [274,300]	110 [476,486]	111 [593,595]	112 [640,720]	
28 60	113 [0,0]	114 [154,210]	115 [371,393]	116 [561,579]	117 [677,720]	
29 36	118 [0,11]	119 [127,174]	120 [408,432]	121 [609,641]	122 [697,720]	
30 56	123 [0,16]	124 [90,143]	125 [201,331]	126 [428,444]	127 [579,581]	128 [594,720]	
31 43	129 [0,109]	130 [150,449]	131 [490,720]	
32 55	132 [0,13]	133 [107,120]	134 [415,423]	135 [656,720]	
33 55	136 [0,42]	137 [112,163]	138 [297,323]	139 [577,595]	140 [696,720]	
34 53	141 [0,22]	142 [97,107]	143 [379,455]	144 [661,720]	
35 40	145 [0,6]	146 [231,235]	147 [479,497]	148 [717,720]	
36 54	149 [0,720]	
37 29	150 [0,40]	151 [337,338]	152 [635,720]	
38 42	153 [0,13]	154 [192,195]	155 [370,411]	156 [595,602]	157 [698,720]	
39 55	158 [0,117]	159 [120,162]	160 [279,283]	161 [475,487]	162 [624,720]	
40 17	163 [0,10]	164 [18,50]	165 [51,166]	166 [225,235]	167 [393,494]	168 [588,720]	
41 54	169 [0,141]	170 [300,349]	171 [537,561]	172 [601,692]	173 [712,720]	
42 29	174 [0,720]	
43 77	175 [0,61]	176 [100,101]	177 [199,219]	178 [298,720]	
44 58	179 [0,67]	180 [238,250]	181 [405,407]	182 [555,563]	183 [710,720]	
45 71	184 [0,114]	185 [136,143]	186 [192,341]	187 [479,491]	188 [593,594]	189 [615,720]	
46 49	190 [0,58]	191 [149,176]	192 [458,491]	193 [682,720]	
47 87	194 [0,22]	195 [139,152]	196 [432,451]	197 [617,720]	
48 58	198 [0,720]	
49 52	199 [0,720]	
50 34	200 [0,84]	201 [354,378]	202 [648,720]	
51 56	203 [0,65]	204 [101,240]	205 [282,409]	206 [419,720]	
52 41	207 [0,33]	208 [239,254]	209 [460,720]	
53 67	210 [0,720]	
54 70	211 [0,52]	212 [53,169]	213 [188,292]	214 [350,609]	215 [654,720]	
55 29	216 [0,196]	217 [286,312]	218 [402,720]	
56 54	219 [0,15]	220 [115,182]	221 [316,327]	222 [504,534]	223 [665,667]	224 [697,720]	
57 31	225 [0,720]	
58 57	226 [0,720]	
59 57	227 [0,96]	228 [366,368]	229 [638,720]	
60 18	230 [0,146]	231 [183,213]	232 [322,356]	233 [419,451]	234 [494,720]	
61 0	235 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 118.359110505 14.9666287787
2 	 112.482468019 10.1490070756
3 	 66.2678014054 54.0393096044
4 	 90.3061542231 44.7308193491
5 	 94.7680931783 10.0652600453
6 	 118.359110505 14.9666287787
7 	 14.6378265862 -82.7149072359
8 	 49.6339055233 -66.9122717495
9 	 5.3174758258 -13.4769484652
10 	 20.3237340352 -86.6517711418
11 	 -6.1927938964 -86.5307756215
12 	 14.6378265862 -82.7149072359
13 	 -16.4706154524 -10.3742266156
14 	 -19.6809219632 -6.64358793117
15 	 -1.19749130259 54.7543517531
16 	 -16.4706154524 -10.3742266156
17 	 -59.1271347547 -132.727008389
18 	 -18.6139315077 -58.5677310812
19 	 47.8564993968 -139.18278414
20 	 -59.1271347547 -132.727008389
21 	 -56.2817200291 43.9518798764
22 	 -11.9710882443 75.2985447868
23 	 6.82382929334 73.6382037016
24 	 -113.051221103 59.1991033208
25 	 -57.4024071631 34.8243604457
26 	 -56.2817200291 43.9518798764
27 	 -51.651451509 -87.8501843446
28 	 -9.0558034805 -70.5314668184
29 	 -50.8755818163 -120.711130588
30 	 -93.2628657426 -94.6198049234
31 	 -51.651451509 -87.8501843446
32 	 40.5267582242 49.3168810451
33 	 -140.704565281 76.2004762515
34 	 -70.4602939059 140.574804088
35 	 -140.704565281 76.2004762515
36 	 -14.5843254276 -65.5195895059
37 	 40.3558161262 -122.419514139
38 	 -14.5843254276 -65.5195895059
39 	 165.240766308 -37.108023619
40 	 90.1091553177 -60.5668218142
41 	 165.240766308 -37.108023619
42 	 -115.829556734 2.1916121172
43 	 -117.790523997 -127.307805352
44 	 51.1633477251 10.8256754562
45 	 15.2771983461 -8.24318847443
46 	 51.1633477251 10.8256754562
47 	 60.1838492287 50.5076101395
48 	 101.9042659 92.26015692
49 	 48.932042331 30.4272309783
50 	 5.83695729652 9.35519184132
51 	 70.4249782301 52.0151276803
52 	 60.1838492287 50.5076101395
53 	 -72.3404615274 164.516633163
54 	 -33.647916981 -13.8673766507
55 	 -58.10611543 24.2897380226
56 	 -15.9636832485 11.010548307
57 	 24.897831108 26.4219045364
58 	 2.31758843242 1.08918028114
59 	 -33.647916981 -13.8673766507
60 	 5.16208267749 133.287830768
61 	 0.379946399208 134.866327706
62 	 -6.40788357641 112.068136916
63 	 2.576406553 96.8130058012
64 	 13.0900674147 130.871687026
65 	 5.16208267749 133.287830768
66 	 78.138173162 77.5829330029
67 	 78.6619560391 75.417068844
68 	 82.610288417 109.076840165
69 	 12.7150098595 60.4527443469
70 	 48.3256753347 85.8659673669
71 	 78.138173162 77.5829330029
72 	 16.7796247119 -22.2781315436
73 	 31.4769024554 -11.4363604311
74 	 12.4848880375 9.43464277902
75 	 86.8653971012 -17.9684501829
76 	 18.3101147402 -31.7656659289
77 	 16.7796247119 -22.2781315436
78 	 106.164558007 -112.443609019
79 	 -124.100124728 -48.383502006
80 	 -117.959758251 -118.374328718
81 	 -146.826534535 -14.3310009936
82 	 -92.5260520417 -67.2950111875
83 	 -124.100124728 -48.383502006
84 	 26.9152407876 -136.036107049
85 	 32.1488198943 -135.383350658
86 	 20.8241572716 -141.283310757
87 	 15.2265407861 -142.404635759
88 	 26.9152407876 -136.036107049
89 	 -50.8443052823 39.5531115446
90 	 -52.6517578583 37.0136606113
91 	 -101.567022063 78.2551676483
92 	 -63.9496931391 43.6036693791
93 	 -28.3362926325 62.6135286002
94 	 -50.8443052823 39.5531115446
95 	 -108.336048081 1.08682862249
96 	 -125.583143921 -36.2516408031
97 	 -104.48581438 55.0921111668
98 	 -82.4561080174 -4.43460174808
99 	 -116.984216314 18.236201705
100 	 -108.336048081 1.08682862249
101 	 2.0217201215 -8.78652147985
102 	 24.2145558477 15.3674083889
103 	 -31.5297446383 -17.0958343614
104 	 21.1342919613 -21.9658378318
105 	 2.0217201215 -8.78652147985
106 	 30.3147511477 94.9086225096
107 	 89.9212943412 -40.0580985848
108 	 45.2214921188 -37.5755250078
109 	 119.193091529 -65.2095939901
110 	 73.5098818812 10.0776504149
111 	 67.7424019495 -43.3571011071
112 	 89.9212943412 -40.0580985848
113 	 31.0294308858 -6.34301778046
114 	 -41.4689327053 20.3475929063
115 	 14.7140806788 -37.4733913116
116 	 48.1244159984 39.6768007228
117 	 31.0294308858 -6.34301778046
118 	 -18.5538625644 -93.6596732572
119 	 -14.7782751704 -151.44996428
120 	 20.9696079449 -40.2523425319
121 	 -15.1532203465 -121.206722384
