General parameters 

60 230 720 750


Customer schedules 

0 0	0 [0,720]	
1 60	1 [0,47]	2 [73,175]	3 [235,274]	4 [349,408]	5 [501,515]	6 [588,720]	
2 49	7 [0,177]	8 [183,295]	9 [390,403]	10 [586,604]	11 [698,720]	
3 51	12 [0,167]	13 [302,312]	14 [339,466]	15 [617,720]	
4 44	16 [0,16]	17 [18,70]	18 [202,240]	19 [383,465]	20 [474,491]	21 [504,720]	
5 53	22 [0,69]	23 [182,200]	24 [239,289]	25 [500,559]	26 [668,720]	
6 35	27 [0,720]	
7 52	28 [0,65]	29 [103,204]	30 [341,366]	31 [437,455]	32 [508,521]	33 [542,720]	
8 65	34 [0,720]	
9 64	35 [0,18]	36 [135,142]	37 [209,226]	38 [497,514]	39 [692,720]	
10 33	40 [0,1]	41 [128,145]	42 [286,312]	43 [380,383]	44 [508,543]	45 [671,720]	
11 16	46 [0,14]	47 [64,69]	48 [237,296]	49 [429,438]	50 [456,525]	51 [539,720]	
12 17	52 [0,720]	
13 49	53 [0,33]	54 [154,190]	55 [313,438]	56 [598,720]	
14 50	57 [0,11]	58 [52,109]	59 [317,327]	60 [544,720]	
15 43	61 [0,720]	
16 47	62 [0,720]	
17 46	63 [0,117]	64 [254,285]	65 [373,378]	66 [581,720]	
18 57	67 [0,720]	
19 79	68 [0,720]	
20 75	69 [0,18]	70 [21,186]	71 [189,720]	
21 60	72 [0,5]	73 [22,43]	74 [122,125]	75 [208,307]	76 [404,476]	77 [595,720]	
22 32	78 [0,137]	79 [224,231]	80 [318,720]	
23 50	81 [0,90]	82 [124,169]	83 [268,290]	84 [396,430]	85 [601,720]	
24 35	86 [0,10]	87 [16,39]	88 [106,136]	89 [348,407]	90 [548,720]	
25 69	91 [0,63]	92 [143,302]	93 [382,720]	
26 56	94 [0,91]	95 [162,299]	96 [389,455]	97 [561,569]	98 [635,649]	99 [679,720]	
27 50	100 [0,57]	101 [134,194]	102 [229,359]	103 [381,483]	104 [536,720]	
28 27	105 [0,109]	106 [118,187]	107 [236,245]	108 [327,427]	109 [479,535]	110 [543,720]	
29 60	111 [0,13]	112 [51,55]	113 [256,259]	114 [532,538]	115 [649,720]	
30 46	116 [0,57]	117 [238,386]	118 [567,720]	
31 42	119 [0,172]	120 [403,427]	121 [658,720]	
32 61	122 [0,3]	123 [140,156]	124 [372,438]	125 [491,509]	126 [589,627]	127 [702,720]	
33 60	128 [0,128]	129 [170,253]	130 [295,720]	
34 79	131 [0,125]	132 [128,182]	133 [315,409]	134 [541,720]	
35 47	135 [0,137]	136 [173,300]	137 [413,475]	138 [553,720]	
36 53	139 [0,8]	140 [148,161]	141 [302,317]	142 [334,381]	143 [517,539]	144 [662,720]	
37 63	145 [0,186]	146 [354,355]	147 [523,720]	
38 51	148 [0,18]	149 [56,202]	150 [256,318]	151 [441,540]	152 [662,720]	
39 27	153 [0,10]	154 [138,160]	155 [462,474]	156 [662,685]	157 [698,720]	
40 26	158 [0,720]	
41 47	159 [0,280]	160 [344,431]	161 [495,720]	
42 83	162 [0,151]	163 [227,259]	164 [324,386]	165 [405,498]	166 [558,720]	
43 76	167 [0,28]	168 [81,96]	169 [145,163]	170 [172,217]	171 [242,330]	172 [341,720]	
44 45	173 [0,81]	174 [114,476]	175 [509,720]	
45 34	176 [0,720]	
46 61	177 [0,29]	178 [118,159]	179 [406,440]	180 [664,720]	
47 43	181 [0,56]	182 [71,86]	183 [194,288]	184 [387,558]	185 [591,617]	186 [665,720]	
48 48	187 [0,118]	188 [151,270]	189 [303,720]	
49 42	190 [0,5]	191 [57,61]	192 [154,218]	193 [243,279]	194 [332,375]	195 [439,720]	
50 46	196 [0,26]	197 [138,196]	198 [308,720]	
51 57	199 [0,720]	
52 58	200 [0,25]	201 [97,192]	202 [448,449]	203 [642,720]	
53 52	204 [0,720]	
54 30	205 [0,720]	
55 40	206 [0,83]	207 [87,203]	208 [240,262]	209 [320,528]	210 [567,720]	
56 68	211 [0,98]	212 [104,198]	213 [237,410]	214 [444,508]	215 [511,720]	
57 49	216 [0,2]	217 [223,332]	218 [524,527]	219 [587,720]	
58 40	220 [0,720]	
59 31	221 [0,3]	222 [205,215]	223 [521,522]	224 [712,720]	
60 56	225 [0,172]	226 [341,356]	227 [457,491]	228 [633,720]	
61 0	229 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -98.5096378505 106.68264822
2 	 -110.735730344 111.617598105
3 	 -89.939635045 90.0686917035
4 	 -119.962881993 67.323836897
5 	 -74.8855426148 78.8661898705
6 	 -98.5096378505 106.68264822
7 	 99.5682146822 -44.7960335356
8 	 98.7356956656 -47.7816358383
9 	 76.2066463492 -6.17558987243
10 	 115.05930073 -89.2705374361
11 	 99.5682146822 -44.7960335356
12 	 76.1851947472 127.073346146
13 	 8.92556350039 131.218487014
14 	 0.882654333827 120.490434541
15 	 76.1851947472 127.073346146
16 	 96.3033595639 57.6147466695
17 	 95.5322451306 57.3739241645
18 	 155.850278534 30.2261994165
19 	 88.4233753262 54.7181453066
20 	 92.1580825101 52.487823249
21 	 96.3033595639 57.6147466695
22 	 -18.0400780688 150.414809108
23 	 29.2835521807 119.329892982
24 	 26.1973347393 100.03869572
25 	 -0.120585839447 202.053068156
26 	 -18.0400780688 150.414809108
27 	 -36.2280466474 -10.9988498464
28 	 8.27986319445 62.9307507308
29 	 -5.84385527573 50.098444605
30 	 60.5803250909 33.4748608431
31 	 31.4612225352 54.1953580969
32 	 12.133945059 72.4740918918
33 	 8.27986319445 62.9307507308
34 	 -153.840099924 42.0138596065
35 	 -21.93664637 131.313542245
36 	 -20.5484548092 189.877175806
37 	 3.27399509126 213.382202096
38 	 56.4330549718 88.9681588993
39 	 -21.93664637 131.313542245
40 	 60.5685773805 -67.2335080562
41 	 34.1683522083 -125.01370777
42 	 44.1719617596 -55.1140219105
43 	 59.6434071597 -85.4121169442
44 	 -2.4303210015 -79.2900448396
45 	 60.5685773805 -67.2335080562
46 	 -28.2736823826 107.168905158
47 	 -10.0694339586 89.6804040287
48 	 -93.8713666222 81.9729473093
49 	 -32.1688429953 106.638705197
50 	 -26.8093053342 113.986681297
51 	 -28.2736823826 107.168905158
52 	 100.679395885 -115.547905091
53 	 -30.7431911047 19.2892637513
54 	 -38.582452782 79.2353581764
55 	 -97.8176265444 62.6348004696
56 	 -30.7431911047 19.2892637513
57 	 121.567925356 -19.0111097533
58 	 105.936459284 -32.2973947646
59 	 28.9073409519 37.6333224575
60 	 121.567925356 -19.0111097533
61 	 -85.983405287 23.1329389412
62 	 -100.249106483 -8.86658882212
63 	 116.336238113 -67.020230598
64 	 49.835945458 -82.7164382464
65 	 15.3100821151 -55.3868115093
66 	 116.336238113 -67.020230598
67 	 88.0910684906 108.211426095
68 	 -5.22517299146 11.8669425004
69 	 -113.674266861 -36.9209303703
70 	 -112.322617528 -36.7509489502
71 	 -113.674266861 -36.9209303703
72 	 -17.403750756 94.9569703832
73 	 -21.0937992863 87.4759662248
74 	 -17.6859211133 48.3738175572
75 	 -2.56623592098 86.8866193297
76 	 1.88145665784 38.6284121866
77 	 -17.403750756 94.9569703832
78 	 -94.8285336746 63.7435906062
79 	 -51.4938704813 60.6700983381
80 	 -94.8285336746 63.7435906062
81 	 14.0106244833 -51.7169089948
82 	 11.7479428611 -35.0321196663
83 	 -33.8062541547 -54.7394537362
84 	 -59.6096109145 -8.68859540228
85 	 14.0106244833 -51.7169089948
86 	 -9.78533313049 -94.3901116874
87 	 -7.32980747392 -92.3204537384
88 	 26.1380010384 -94.0227929348
89 	 -79.0146378235 -106.742225607
90 	 -9.78533313049 -94.3901116874
91 	 -20.6251372335 -141.361202478
92 	 -15.8107088225 -101.890732827
93 	 -20.6251372335 -141.361202478
94 	 9.64601954838 2.92325011983
95 	 23.4247749713 35.9400745268
96 	 -20.3648488222 45.9273075428
97 	 -17.4572315095 -6.86533195632
98 	 15.1184076761 -11.1849675865
99 	 9.64601954838 2.92325011983
100 	 -69.5849322275 30.4254902089
101 	 -31.4046796786 25.4442236361
102 	 -35.2444521198 42.5475130689
103 	 -43.5252753135 35.3151066672
104 	 -69.5849322275 30.4254902089
105 	 127.651015783 -64.729783089
106 	 125.825105811 -68.8399602469
107 	 146.144079796 -55.3199736559
108 	 122.924178636 -89.2058486853
109 	 131.563280825 -64.796103975
110 	 127.651015783 -64.729783089
111 	 36.7225972664 35.8345060238
112 	 43.6641903751 18.0821996335
113 	 -20.3184920273 95.5260918096
114 	 62.3337809983 -13.2711272046
115 	 36.7225972664 35.8345060238
116 	 12.5333745751 18.6046329087
117 	 -75.992735766 36.2047150755
118 	 12.5333745751 18.6046329087
119 	 153.270573744 -85.6009644799
