General parameters 

60 235 720 750


Customer schedules 

0 0	0 [0,720]	
1 34	1 [0,10]	2 [96,97]	3 [171,259]	4 [341,413]	5 [558,720]	
2 72	6 [0,720]	
3 59	7 [0,4]	8 [154,157]	9 [366,377]	10 [567,570]	11 [700,720]	
4 60	12 [0,24]	13 [90,162]	14 [325,330]	15 [441,493]	16 [559,720]	
5 83	17 [0,56]	18 [209,350]	19 [537,657]	20 [692,720]	
6 67	21 [0,7]	22 [96,132]	23 [229,260]	24 [323,369]	25 [510,525]	26 [647,720]	
7 56	27 [0,30]	28 [95,117]	29 [292,325]	30 [492,720]	
8 55	31 [0,16]	32 [246,274]	33 [449,500]	34 [616,720]	
9 37	35 [0,4]	36 [5,24]	37 [92,195]	38 [256,448]	39 [503,720]	
10 51	40 [0,143]	41 [252,315]	42 [367,426]	43 [485,496]	44 [507,720]	
11 56	45 [0,720]	
12 43	46 [0,2]	47 [107,183]	48 [322,359]	49 [567,720]	
13 52	50 [0,720]	
14 58	51 [0,205]	52 [357,451]	53 [603,720]	
15 36	54 [0,720]	
16 65	55 [0,74]	56 [181,241]	57 [380,382]	58 [482,516]	59 [592,620]	60 [666,720]	
17 43	61 [0,720]	
18 55	62 [0,8]	63 [166,180]	64 [400,402]	65 [504,504]	66 [669,720]	
19 39	67 [0,720]	
20 33	68 [0,7]	69 [177,227]	70 [320,332]	71 [371,373]	72 [515,720]	
21 46	73 [0,10]	74 [78,117]	75 [299,351]	76 [557,584]	77 [697,720]	
22 75	78 [0,720]	
23 57	79 [0,151]	80 [209,228]	81 [283,401]	82 [404,720]	
24 23	83 [0,58]	84 [135,157]	85 [389,415]	86 [634,720]	
25 47	87 [0,26]	88 [93,191]	89 [231,258]	90 [346,496]	91 [545,584]	92 [598,720]	
26 54	93 [0,31]	94 [151,181]	95 [261,296]	96 [480,515]	97 [635,720]	
27 68	98 [0,37]	99 [233,251]	100 [412,530]	101 [612,720]	
28 34	102 [0,110]	103 [162,216]	104 [282,311]	105 [480,485]	106 [567,587]	107 [604,720]	
29 66	108 [0,720]	
30 64	109 [0,22]	110 [177,226]	111 [387,461]	112 [484,720]	
31 48	113 [0,87]	114 [189,234]	115 [357,379]	116 [503,578]	117 [689,720]	
32 68	118 [0,134]	119 [286,294]	120 [451,535]	121 [546,646]	122 [655,720]	
33 54	123 [0,21]	124 [116,255]	125 [355,584]	126 [589,605]	127 [606,720]	
34 63	128 [0,4]	129 [76,114]	130 [116,140]	131 [264,272]	132 [412,475]	133 [528,720]	
35 38	134 [0,37]	135 [102,224]	136 [322,378]	137 [410,532]	138 [550,720]	
36 39	139 [0,13]	140 [15,214]	141 [356,478]	142 [620,720]	
37 42	143 [0,126]	144 [312,329]	145 [515,720]	
38 41	146 [0,184]	147 [297,390]	148 [503,720]	
39 32	149 [0,43]	150 [253,368]	151 [539,551]	152 [607,720]	
40 47	153 [0,86]	154 [329,401]	155 [644,720]	
41 30	156 [0,109]	157 [125,139]	158 [148,152]	159 [252,286]	160 [480,512]	161 [632,720]	
42 26	162 [0,720]	
43 48	163 [0,2]	164 [122,137]	165 [311,315]	166 [527,528]	167 [627,641]	168 [662,720]	
44 34	169 [0,9]	170 [253,260]	171 [504,720]	
45 24	172 [0,720]	
46 69	173 [0,229]	174 [282,289]	175 [317,327]	176 [352,418]	177 [446,453]	178 [481,720]	
47 66	179 [0,62]	180 [179,189]	181 [300,313]	182 [403,452]	183 [599,630]	184 [681,720]	
48 48	185 [0,49]	186 [200,213]	187 [379,402]	188 [470,522]	189 [648,720]	
49 69	190 [0,209]	191 [340,486]	192 [617,720]	
50 67	193 [0,720]	
51 56	194 [0,71]	195 [126,155]	196 [339,463]	197 [597,720]	
52 35	198 [0,720]	
53 63	199 [0,105]	200 [137,173]	201 [210,394]	202 [451,720]	
54 51	203 [0,720]	
55 45	204 [0,92]	205 [120,197]	206 [355,445]	207 [582,720]	
56 34	208 [0,53]	209 [128,169]	210 [251,430]	211 [486,720]	
57 25	212 [0,18]	213 [77,80]	214 [237,274]	215 [470,720]	
58 37	216 [0,18]	217 [71,109]	218 [286,352]	219 [524,527]	220 [574,580]	221 [616,720]	
59 49	222 [0,47]	223 [72,80]	224 [102,108]	225 [192,285]	226 [289,462]	227 [580,720]	
60 46	228 [0,133]	229 [145,268]	230 [282,342]	231 [372,517]	232 [537,572]	233 [585,720]	
61 0	234 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 75.4721700612 -88.139397569
2 	 32.4035914281 -86.4899016141
3 	 25.271636549 -122.837744124
4 	 3.06837894635 -88.3110662221
5 	 75.4721700612 -88.139397569
6 	 -118.277953147 -77.0705639401
7 	 -51.2308110517 12.3594447888
8 	 -7.79512657453 73.2325938568
9 	 -80.758537395 -1.55695601911
10 	 13.9004277475 8.0799079993
11 	 -51.2308110517 12.3594447888
12 	 -85.6594842211 -57.1796219217
13 	 -117.781546068 -50.3312929219
14 	 -43.4856605441 -16.8515247629
15 	 -55.77474397 -71.0709024618
16 	 -85.6594842211 -57.1796219217
17 	 75.361187812 -54.5197626156
18 	 148.893384733 -34.2585125593
19 	 57.9533429509 -55.7822923209
20 	 75.361187812 -54.5197626156
21 	 135.386834959 45.4117482594
22 	 90.7080782616 44.2089745377
23 	 137.929388746 33.6524235456
24 	 135.122503657 64.8394693477
25 	 79.0802880601 22.3636106887
26 	 135.386834959 45.4117482594
27 	 -39.9625952267 -25.0469155867
28 	 -70.6340165166 -13.7234936928
29 	 -74.5667143516 -101.293424565
30 	 -39.9625952267 -25.0469155867
31 	 90.3369577283 -9.56607225867
32 	 -18.2707266122 28.9932536574
33 	 67.8785244622 43.8786464678
34 	 90.3369577283 -9.56607225867
35 	 -123.398023314 65.4100895732
36 	 -123.704330686 65.4244433474
37 	 -153.679236134 81.6390218399
38 	 -125.398500266 92.9925043101
39 	 -123.398023314 65.4100895732
40 	 32.0869342008 -38.3975370413
41 	 -21.2624445727 -27.3964814904
42 	 4.51456626041 -25.4882935997
43 	 28.4754972667 -42.7295518218
44 	 32.0869342008 -38.3975370413
45 	 20.3175539242 -16.9230403641
46 	 110.68660097 94.4558564676
47 	 120.71056247 43.0340101711
48 	 65.1121039918 1.16406543977
49 	 110.68660097 94.4558564676
50 	 -93.9996387085 -24.4924456074
51 	 36.3368094182 -15.7893790388
52 	 89.7495684288 -69.6152492788
53 	 36.3368094182 -15.7893790388
54 	 17.9098295694 -53.9337913638
55 	 75.712785868 33.573203856
56 	 32.2162951841 64.3018087528
57 	 92.1386512758 28.5845600461
58 	 63.4968666747 69.8122967792
59 	 52.9285686811 33.0548015076
60 	 75.712785868 33.573203856
61 	 -138.230270054 25.170918071
62 	 -47.6360870232 2.36950132621
63 	 -99.9007863712 -56.5580847471
64 	 -55.3087741195 44.1569455756
65 	 -18.3718581633 79.5309405146
66 	 -47.6360870232 2.36950132621
67 	 -92.7132829525 71.6725288442
68 	 -127.716740994 -55.7018353182
69 	 -101.210870659 -136.603929984
70 	 -88.2659381332 -91.8883485775
71 	 -82.1080094505 -110.383883944
72 	 -127.716740994 -55.7018353182
73 	 14.4353276748 20.3365942251
74 	 39.369533656 43.5359681209
75 	 38.483677774 -47.4861463224
76 	 -41.8061007878 17.9135660019
77 	 14.4353276748 20.3365942251
78 	 -25.2523359938 -53.6865127452
79 	 -39.0877077012 -148.045154851
80 	 -31.0586598759 -119.951967571
81 	 -38.2754885353 -146.577712489
82 	 -39.0877077012 -148.045154851
83 	 43.6555562796 -42.9254130992
84 	 57.9181247571 -78.4968516825
85 	 -57.929707337 -83.7856787616
86 	 43.6555562796 -42.9254130992
87 	 2.17795499329 -4.66634671562
88 	 33.1082012389 -18.0375970958
89 	 18.8696014609 -3.80613311156
90 	 -24.745764325 2.23566527315
91 	 -3.07181930174 -9.21119282689
92 	 2.17795499329 -4.66634671562
93 	 13.7771912065 -136.883078805
94 	 -34.5786431659 -172.148179095
95 	 -62.1132845071 -142.977231817
96 	 2.79755186422 -77.9739318141
97 	 13.7771912065 -136.883078805
98 	 -66.2528544038 -58.3569964415
99 	 -67.5383773833 39.4503935921
100 	 -99.5905880118 -34.4690680517
101 	 -66.2528544038 -58.3569964415
102 	 -0.902051120105 -17.2024944116
103 	 -0.346489759238 -43.3300990889
104 	 8.69687849773 -75.3155576293
105 	 18.7324964174 8.97565518981
106 	 -7.53523381801 -22.2426756384
107 	 -0.902051120105 -17.2024944116
108 	 21.723962908 163.102048804
109 	 -52.2061068468 -141.222362484
110 	 -112.826442662 -92.7319808429
111 	 -43.419664071 -133.687736716
112 	 -52.2061068468 -141.222362484
113 	 29.517395114 -8.53221989776
114 	 7.02041137155 -54.569100445
115 	 32.5013630118 1.70450172784
116 	 64.1963997192 -51.7808671039
117 	 29.517395114 -8.53221989776
118 	 42.0637076444 -25.1165653411
119 	 77.3460748445 -92.7535759574
