General parameters 

60 226 720 750


Customer schedules 

0 0	0 [0,720]	
1 47	1 [0,182]	2 [230,277]	3 [325,720]	
2 41	4 [0,266]	5 [341,418]	6 [493,720]	
3 43	7 [0,1]	8 [56,114]	9 [213,241]	10 [372,411]	11 [540,561]	12 [654,720]	
4 64	13 [0,3]	14 [139,143]	15 [409,439]	16 [502,518]	17 [645,720]	
5 24	18 [0,9]	19 [42,83]	20 [182,206]	21 [413,424]	22 [547,622]	23 [658,720]	
6 82	24 [0,15]	25 [103,134]	26 [265,341]	27 [567,568]	28 [678,686]	29 [718,720]	
7 44	30 [0,320]	31 [445,458]	32 [583,720]	
8 60	33 [0,226]	34 [295,479]	35 [587,595]	36 [652,720]	
9 48	37 [0,32]	38 [134,136]	39 [338,339]	40 [583,593]	41 [703,720]	
10 56	42 [0,68]	43 [272,363]	44 [567,720]	
11 55	45 [0,12]	46 [115,118]	47 [231,268]	48 [274,276]	49 [377,412]	50 [520,720]	
12 48	51 [0,720]	
13 95	52 [0,54]	53 [115,129]	54 [347,427]	55 [642,720]	
14 65	56 [0,11]	57 [38,123]	58 [218,293]	59 [353,400]	60 [479,559]	61 [646,720]	
15 41	62 [0,29]	63 [206,233]	64 [436,505]	65 [537,632]	66 [652,720]	
16 36	67 [0,14]	68 [315,329]	69 [630,720]	
17 39	70 [0,720]	
18 61	71 [0,720]	
19 60	72 [0,720]	
20 69	73 [0,720]	
21 29	74 [0,46]	75 [279,420]	76 [653,720]	
22 63	77 [0,11]	78 [34,254]	79 [322,417]	80 [495,720]	
23 60	81 [0,6]	82 [112,242]	83 [367,382]	84 [521,536]	85 [657,720]	
24 28	86 [0,720]	
25 95	87 [0,166]	88 [320,379]	89 [475,488]	90 [658,720]	
26 44	91 [0,86]	92 [219,262]	93 [471,510]	94 [600,618]	95 [679,720]	
27 58	96 [0,279]	97 [286,380]	98 [389,500]	99 [514,720]	
28 30	100 [0,163]	101 [385,458]	102 [680,720]	
29 31	103 [0,720]	
30 78	104 [0,12]	105 [68,90]	106 [357,388]	107 [601,720]	
31 32	108 [0,9]	109 [123,180]	110 [349,368]	111 [448,598]	112 [627,720]	
32 72	113 [0,0]	114 [141,153]	115 [372,375]	116 [574,578]	117 [684,684]	118 [712,720]	
33 28	119 [0,34]	120 [232,236]	121 [429,442]	122 [552,720]	
34 60	123 [0,720]	
35 32	124 [0,21]	125 [194,234]	126 [485,503]	127 [587,720]	
36 22	128 [0,95]	129 [114,343]	130 [453,498]	131 [622,720]	
37 54	132 [0,0]	133 [128,128]	134 [372,373]	135 [580,581]	136 [718,720]	
38 48	137 [0,0]	138 [108,108]	139 [286,287]	140 [524,525]	141 [647,648]	142 [717,720]	
39 53	143 [0,85]	144 [132,155]	145 [202,720]	
40 71	146 [0,19]	147 [32,68]	148 [180,188]	149 [327,342]	150 [566,575]	151 [683,720]	
41 64	152 [0,62]	153 [207,385]	154 [514,532]	155 [567,720]	
42 36	156 [0,158]	157 [200,221]	158 [259,274]	159 [375,380]	160 [496,720]	
43 50	161 [0,13]	162 [116,175]	163 [186,213]	164 [290,365]	165 [528,720]	
44 72	166 [0,720]	
45 42	167 [0,97]	168 [116,158]	169 [178,301]	170 [331,373]	171 [406,720]	
46 14	172 [0,68]	173 [189,205]	174 [326,720]	
47 52	175 [0,63]	176 [110,123]	177 [225,456]	178 [518,720]	
48 63	179 [0,720]	
49 46	180 [0,720]	
50 45	181 [0,720]	
51 64	182 [0,131]	183 [179,264]	184 [362,373]	185 [510,552]	186 [625,635]	187 [690,720]	
52 30	188 [0,171]	189 [180,222]	190 [231,720]	
53 49	191 [0,195]	192 [221,393]	193 [419,720]	
54 60	194 [0,14]	195 [90,144]	196 [243,310]	197 [392,423]	198 [493,516]	199 [612,720]	
55 58	200 [0,16]	201 [144,149]	202 [280,304]	203 [348,356]	204 [512,549]	205 [692,720]	
56 65	206 [0,20]	207 [321,379]	208 [680,720]	
57 59	209 [0,46]	210 [95,100]	211 [171,399]	212 [438,520]	213 [586,720]	
58 47	214 [0,64]	215 [106,182]	216 [442,462]	217 [681,720]	
59 52	218 [0,82]	219 [132,157]	220 [377,387]	221 [625,720]	
60 9	222 [0,115]	223 [239,451]	224 [575,720]	
61 0	225 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 33.0018988103 -54.4101874938
2 	 43.261837186 -76.2417694736
3 	 33.0018988103 -54.4101874938
4 	 -140.285587245 109.186283128
5 	 -139.001191466 71.7613409882
6 	 -140.285587245 109.186283128
7 	 21.7203937619 -21.6579162026
8 	 -5.69137185718 -17.8084937188
9 	 -6.07146239916 -67.1701420808
10 	 -35.5538909862 -8.48558980612
11 	 19.7744992405 25.1299475772
12 	 21.7203937619 -21.6579162026
13 	 37.9321306324 16.2338615295
14 	 -28.326430825 -0.11069878376
15 	 71.8548793588 87.4698991089
16 	 84.8831478557 58.8457615886
17 	 37.9321306324 16.2338615295
18 	 83.5609494692 94.4599551085
19 	 71.050268707 83.4566890549
20 	 29.5004421577 56.5754220515
21 	 50.7559510308 157.817144796
22 	 66.0703399336 98.14350117
23 	 83.5609494692 94.4599551085
24 	 -3.83066256398 -34.1604374829
25 	 -13.4357348508 8.67169052487
26 	 51.9646677736 3.18883831893
27 	 -42.2151047631 -59.5090488418
28 	 9.87767167382 -42.0922249398
29 	 -3.83066256398 -34.1604374829
30 	 66.7234138157 96.6630018015
31 	 91.2370350919 154.169422182
32 	 66.7234138157 96.6630018015
33 	 7.62471622317 -132.103631265
34 	 30.1257104789 -157.930568271
35 	 17.4600400169 -105.331050512
36 	 7.62471622317 -132.103631265
37 	 12.7791718484 151.939865159
38 	 -32.8505229912 129.387178599
39 	 65.8796339393 108.505988267
40 	 -15.4587510297 199.389407859
41 	 12.7791718484 151.939865159
42 	 -69.3762789034 -41.2382321795
43 	 -130.836478212 -122.765086931
44 	 -69.3762789034 -41.2382321795
45 	 79.7924453223 -35.8333167557
46 	 42.8007720271 -71.5323720989
47 	 88.5646937872 -38.1414368124
48 	 89.3051153924 -41.1995470088
49 	 76.4964556577 -89.8764801364
50 	 79.7924453223 -35.8333167557
51 	 0.325434036127 -1.05310784907
52 	 -135.108177941 63.6446504485
53 	 -107.773910196 49.7754114994
54 	 -78.1705815671 154.735715126
55 	 -135.108177941 63.6446504485
56 	 -147.775504596 11.5550334572
57 	 -151.412232151 -1.56470716705
58 	 -132.088947801 42.0738767331
59 	 -148.412203665 17.0368181243
60 	 -122.86639203 47.4377976893
61 	 -147.775504596 11.5550334572
62 	 56.386262808 115.561036348
63 	 142.000301532 138.308664367
64 	 41.0464069664 126.398229329
65 	 47.4835610979 111.553635206
66 	 56.386262808 115.561036348
67 	 -90.9251604881 -17.3237010493
68 	 46.7576308965 -78.2732060549
69 	 -90.9251604881 -17.3237010493
70 	 15.5613513907 30.4988508911
71 	 50.0057108509 -51.4611022644
72 	 1.72828707405 -0.482146479156
73 	 166.427503475 -2.12423076432
74 	 16.4988480308 -5.72496571826
75 	 -10.0934238874 107.93298824
76 	 16.4988480308 -5.72496571826
77 	 55.2492898361 82.0800545455
78 	 66.2869623891 84.8160270861
79 	 66.5975835538 119.21839839
80 	 55.2492898361 82.0800545455
81 	 72.1199195121 -99.1344659583
82 	 33.3689179409 -135.32519787
83 	 79.2525305171 -92.662924124
84 	 47.2094003252 -154.358501243
85 	 72.1199195121 -99.1344659583
86 	 -95.9556234603 -0.0418539759468
87 	 19.9681293667 -3.0058496487
88 	 19.7397188659 74.3651160048
89 	 -27.8663558011 67.758458744
90 	 19.9681293667 -3.0058496487
91 	 52.4251722592 24.9172795597
92 	 44.6006798377 90.7663203316
93 	 106.075884001 6.29527408893
94 	 62.3683680138 -4.09103258758
95 	 52.4251722592 24.9172795597
96 	 24.3102849109 -2.63765612727
97 	 24.0728224801 -6.10651674713
98 	 27.4552889572 -8.94645506348
99 	 24.3102849109 -2.63765612727
100 	 13.911763442 -8.16856914032
101 	 -89.757520606 -47.5495792063
102 	 13.911763442 -8.16856914032
103 	 -36.8232128282 -59.0127150163
104 	 10.6931338193 6.58490224602
105 	 4.73437892782 33.700547402
106 	 58.1694102632 -89.1239431622
107 	 10.6931338193 6.58490224602
108 	 -76.1421716828 -22.8187988664
109 	 -132.197121227 -32.3485924836
110 	 -49.5039442013 -15.7696490326
111 	 -84.231245009 -35.1468194169
112 	 -76.1421716828 -22.8187988664
113 	 103.466584114 8.58298091155
114 	 136.15587917 -53.703184803
115 	 43.5376144004 5.03282855945
116 	 142.787725195 1.4037105384
117 	 90.0992115472 4.15173043717
