General parameters 

60 209 720 750


Customer schedules 

0 0	0 [0,720]	
1 17	1 [0,49]	2 [72,88]	3 [150,166]	4 [409,461]	5 [620,720]	
2 32	6 [0,2]	7 [132,261]	8 [357,403]	9 [537,569]	10 [623,720]	
3 56	11 [0,56]	12 [85,160]	13 [209,314]	14 [407,469]	15 [526,542]	16 [588,720]	
4 69	17 [0,45]	18 [80,102]	19 [198,395]	20 [518,519]	21 [583,720]	
5 68	22 [0,720]	
6 45	23 [0,720]	
7 33	24 [0,0]	25 [20,63]	26 [118,246]	27 [384,499]	28 [569,720]	
8 49	29 [0,720]	
9 52	30 [0,720]	
10 46	31 [0,39]	32 [142,159]	33 [405,409]	34 [568,720]	
11 42	35 [0,243]	36 [282,449]	37 [488,720]	
12 62	38 [0,72]	39 [300,314]	40 [586,614]	41 [684,720]	
13 81	42 [0,720]	
14 33	43 [0,5]	44 [114,119]	45 [357,368]	46 [438,457]	47 [614,644]	48 [685,720]	
15 53	49 [0,2]	50 [179,189]	51 [417,424]	52 [527,535]	53 [692,720]	
16 15	54 [0,720]	
17 58	55 [0,3]	56 [171,219]	57 [386,389]	58 [534,541]	59 [684,720]	
18 49	60 [0,3]	61 [145,146]	62 [313,316]	63 [454,459]	64 [616,619]	65 [716,720]	
19 56	66 [0,3]	67 [116,165]	68 [283,287]	69 [417,500]	70 [641,720]	
20 43	71 [0,31]	72 [167,200]	73 [338,537]	74 [603,603]	75 [675,720]	
21 59	76 [0,26]	77 [134,136]	78 [253,329]	79 [447,456]	80 [537,607]	81 [680,720]	
22 29	82 [0,720]	
23 58	83 [0,22]	84 [36,37]	85 [186,194]	86 [405,476]	87 [598,720]	
24 71	88 [0,1]	89 [139,201]	90 [373,393]	91 [466,474]	92 [595,610]	93 [705,720]	
25 44	94 [0,720]	
26 37	95 [0,720]	
27 47	96 [0,720]	
28 57	97 [0,720]	
29 49	98 [0,95]	99 [271,278]	100 [454,720]	
30 71	101 [0,40]	102 [284,284]	103 [528,720]	
31 43	104 [0,28]	105 [48,132]	106 [214,297]	107 [393,396]	108 [544,545]	109 [628,720]	
32 67	110 [0,720]	
33 60	111 [0,720]	
34 75	112 [0,160]	113 [206,392]	114 [477,566]	115 [611,616]	116 [638,720]	
35 43	117 [0,720]	
36 58	118 [0,720]	
37 20	119 [0,22]	120 [73,149]	121 [247,364]	122 [404,415]	123 [537,549]	124 [656,720]	
38 47	125 [0,195]	126 [323,418]	127 [546,720]	
39 70	128 [0,720]	
40 57	129 [0,720]	
41 36	130 [0,10]	131 [13,66]	132 [194,255]	133 [528,558]	134 [701,720]	
42 55	135 [0,8]	136 [235,241]	137 [468,720]	
43 40	138 [0,6]	139 [48,273]	140 [315,720]	
44 55	141 [0,268]	142 [417,486]	143 [635,720]	
45 46	144 [0,720]	
46 57	145 [0,41]	146 [88,111]	147 [127,322]	148 [409,448]	149 [474,538]	150 [551,720]	
47 22	151 [0,720]	
48 46	152 [0,720]	
49 62	153 [0,115]	154 [190,202]	155 [324,405]	156 [518,522]	157 [676,720]	
50 65	158 [0,101]	159 [140,164]	160 [270,287]	161 [359,720]	
51 37	162 [0,31]	163 [104,176]	164 [232,281]	165 [362,523]	166 [579,581]	167 [635,720]	
52 49	168 [0,70]	169 [197,238]	170 [340,398]	171 [434,454]	172 [514,720]	
53 60	173 [0,44]	174 [70,128]	175 [314,381]	176 [544,720]	
54 51	177 [0,81]	178 [207,208]	179 [354,478]	180 [504,507]	181 [582,582]	182 [681,720]	
55 40	183 [0,39]	184 [212,363]	185 [536,720]	
56 24	186 [0,22]	187 [106,125]	188 [228,256]	189 [363,432]	190 [594,639]	191 [679,720]	
57 24	192 [0,2]	193 [209,209]	194 [416,720]	
58 61	195 [0,720]	
59 43	196 [0,13]	197 [109,127]	198 [270,272]	199 [355,388]	200 [462,543]	201 [578,720]	
60 31	202 [0,148]	203 [277,321]	204 [423,453]	205 [524,527]	206 [560,605]	207 [640,720]	
61 0	208 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -33.4859549373 -26.7942591354
2 	 -25.5630754426 -34.9830645613
3 	 -11.3604533685 -62.6690915693
4 	 -86.2155995431 32.9788211729
5 	 -33.4859549373 -26.7942591354
6 	 147.726984523 73.7296956758
7 	 90.3395061666 43.1934288157
8 	 109.19701369 87.5309953658
9 	 168.556144869 56.5891784315
10 	 147.726984523 73.7296956758
11 	 -15.388346494 -95.9402991072
12 	 -27.3305405999 -87.995507605
13 	 -25.4103195437 -112.382204618
14 	 -31.1903124821 -66.3305809029
15 	 -4.14483965542 -75.8664218692
16 	 -15.388346494 -95.9402991072
17 	 114.85968883 -81.9857905406
18 	 102.812655363 -94.485343654
19 	 134.846981969 -58.5747979666
20 	 87.102250873 -97.7283845844
21 	 114.85968883 -81.9857905406
22 	 -112.668905415 136.968840126
23 	 45.2337539958 -148.259971848
24 	 118.00424123 111.597403349
25 	 125.396520886 117.985705973
26 	 141.967038723 139.842633262
27 	 113.016662807 77.0973647549
28 	 118.00424123 111.597403349
29 	 80.9092588826 -58.7893281666
30 	 8.70336988162 22.8381234179
31 	 31.2951332614 -13.9893701864
32 	 25.0544938274 37.1716135046
33 	 90.1679471991 -67.2804161579
34 	 31.2951332614 -13.9893701864
35 	 -31.7106929424 137.256838511
36 	 -13.0534814718 142.867733588
37 	 -31.7106929424 137.256838511
38 	 -3.62826885927 28.4672565206
39 	 104.011118152 -8.65262208768
40 	 -12.1132077533 62.3536956353
41 	 -3.62826885927 28.4672565206
42 	 -42.5925842637 -142.582025894
43 	 -13.2017082557 122.098874035
44 	 28.5700278929 156.914681953
45 	 -83.2697491026 115.417094369
46 	 -69.7066212431 83.4043731219
47 	 4.15019240644 110.721477373
48 	 -13.2017082557 122.098874035
49 	 -125.860216074 89.9750738589
50 	 -73.6126208699 18.232224563
51 	 -131.834957264 116.201051692
52 	 -139.782310167 167.24243785
53 	 -125.860216074 89.9750738589
54 	 -55.1894288208 -83.3942493814
55 	 126.366837201 -23.2007122931
56 	 134.704335867 60.5643903544
57 	 126.545913432 -22.3937484171
58 	 166.797893125 -82.3968824302
59 	 126.366837201 -23.2007122931
60 	 17.7048716931 -123.654128569
61 	 87.7915407303 -133.925925931
62 	 4.50244780993 -132.265409844
63 	 69.5940530306 -155.624454958
64 	 -8.30380060346 -164.663020116
65 	 17.7048716931 -123.654128569
66 	 11.5954526994 -112.621165525
67 	 22.4059673209 -56.8768569889
68 	 -0.567433248467 -110.990604564
69 	 -14.3136756527 -47.3126239315
70 	 11.5954526994 -112.621165525
71 	 154.866189553 -49.9354802006
72 	 141.885829509 16.8684658058
73 	 146.191581163 -51.8156027834
74 	 133.323731031 -21.3031106973
75 	 154.866189553 -49.9354802006
76 	 -48.4416040616 6.27344633153
77 	 5.6048516202 4.65182164562
78 	 -51.0843140862 -9.41513890645
79 	 -2.04965299202 -41.8047304611
80 	 -40.73025347 -29.4566192774
81 	 -48.4416040616 6.27344633153
82 	 -59.8840418319 -106.801719059
83 	 -74.1556037257 -98.1767147049
84 	 -75.4362116957 -91.2979702773
85 	 -122.733082003 -148.865451524
86 	 -104.443013075 -45.1667724132
87 	 -74.1556037257 -98.1767147049
88 	 1.79772322718 -21.8852853264
89 	 -4.15544081007 47.3996405181
90 	 11.3479493059 -37.2189042356
91 	 -5.29623677074 -4.60950733059
92 	 47.6322062705 -34.2649533936
93 	 1.79772322718 -21.8852853264
94 	 -76.9721212667 52.3255802532
95 	 110.011182371 -1.12875270806
96 	 -89.4126673189 27.6357959174
97 	 -34.3651227039 71.2726440252
98 	 31.8113094278 -82.7634429177
99 	 -42.2347414129 -130.507146819
100 	 31.8113094278 -82.7634429177
101 	 -6.34777815469 -36.1701054425
102 	 -93.6082440867 48.8796240138
103 	 -6.34777815469 -36.1701054425
104 	 -120.1763491 91.9808206568
105 	 -129.988815202 91.7879220819
106 	 -95.4877707909 114.286434626
107 	 -98.2650131158 66.1534224442
108 	 -131.841634913 131.872064406
109 	 -120.1763491 91.9808206568
