General parameters 

60 220 720 750


Customer schedules 

0 0	0 [0,720]	
1 12	1 [0,4]	2 [6,145]	3 [272,361]	4 [486,720]	
2 47	5 [0,55]	6 [203,219]	7 [446,463]	8 [608,720]	
3 39	9 [0,8]	10 [330,330]	11 [652,720]	
4 68	12 [0,182]	13 [335,419]	14 [572,720]	
5 40	15 [0,127]	16 [208,227]	17 [247,313]	18 [470,483]	19 [560,605]	20 [640,720]	
6 35	21 [0,64]	22 [110,129]	23 [172,255]	24 [310,332]	25 [446,468]	26 [608,720]	
7 64	27 [0,32]	28 [171,176]	29 [237,345]	30 [424,720]	
8 15	31 [0,20]	32 [38,156]	33 [238,544]	34 [616,720]	
9 37	35 [0,5]	36 [163,183]	37 [348,367]	38 [560,561]	39 [665,720]	
10 50	40 [0,32]	41 [163,218]	42 [298,299]	43 [511,512]	44 [658,720]	
11 36	45 [0,720]	
12 48	46 [0,30]	47 [166,218]	48 [457,526]	49 [630,720]	
13 72	50 [0,720]	
14 43	51 [0,51]	52 [169,170]	53 [329,371]	54 [453,472]	55 [547,566]	56 [702,720]	
15 45	57 [0,720]	
16 46	58 [0,57]	59 [118,207]	60 [290,329]	61 [453,601]	62 [686,720]	
17 36	63 [0,125]	64 [338,358]	65 [578,582]	66 [599,720]	
18 56	67 [0,36]	68 [327,389]	69 [680,720]	
19 56	70 [0,208]	71 [226,257]	72 [301,492]	73 [521,720]	
20 43	74 [0,37]	75 [131,155]	76 [240,278]	77 [446,459]	78 [634,720]	
21 49	79 [0,3]	80 [266,424]	81 [687,720]	
22 48	82 [0,720]	
23 10	83 [0,720]	
24 37	84 [0,63]	85 [123,132]	86 [297,426]	87 [575,626]	88 [689,720]	
25 25	89 [0,24]	90 [173,203]	91 [412,538]	92 [600,720]	
26 51	93 [0,18]	94 [252,264]	95 [498,720]	
27 26	96 [0,12]	97 [54,145]	98 [194,280]	99 [288,720]	
28 30	100 [0,30]	101 [233,243]	102 [367,445]	103 [552,720]	
29 68	104 [0,14]	105 [158,167]	106 [354,374]	107 [555,574]	108 [706,720]	
30 34	109 [0,17]	110 [147,157]	111 [417,442]	112 [651,720]	
31 47	113 [0,720]	
32 41	114 [0,720]	
33 33	115 [0,720]	
34 34	116 [0,185]	117 [193,523]	118 [531,720]	
35 31	119 [0,16]	120 [58,81]	121 [173,211]	122 [282,292]	123 [342,407]	124 [434,720]	
36 45	125 [0,167]	126 [308,316]	127 [551,609]	128 [710,720]	
37 39	129 [0,720]	
38 57	130 [0,81]	131 [120,255]	132 [330,353]	133 [416,526]	134 [595,720]	
39 55	135 [0,93]	136 [200,315]	137 [363,381]	138 [508,720]	
40 53	139 [0,129]	140 [133,234]	141 [238,720]	
41 57	142 [0,97]	143 [148,179]	144 [230,720]	
42 18	145 [0,43]	146 [172,250]	147 [351,387]	148 [445,490]	149 [588,606]	150 [625,720]	
43 45	151 [0,720]	
44 36	152 [0,1]	153 [76,80]	154 [304,305]	155 [557,577]	156 [717,720]	
45 9	157 [0,1]	158 [315,344]	159 [658,720]	
46 10	160 [0,184]	161 [196,237]	162 [317,363]	163 [445,462]	164 [494,557]	165 [571,720]	
47 43	166 [0,65]	167 [177,311]	168 [400,552]	169 [625,720]	
48 45	170 [0,720]	
49 61	171 [0,46]	172 [110,276]	173 [325,345]	174 [355,552]	175 [571,720]	
50 47	176 [0,62]	177 [138,165]	178 [279,303]	179 [501,507]	180 [659,720]	
51 52	181 [0,13]	182 [115,254]	183 [356,720]	
52 24	184 [0,4]	185 [124,175]	186 [468,477]	187 [671,720]	
53 67	188 [0,40]	189 [191,236]	190 [446,461]	191 [562,604]	192 [680,720]	
54 76	193 [0,44]	194 [132,184]	195 [321,339]	196 [498,508]	197 [619,633]	198 [673,720]	
55 51	199 [0,720]	
56 41	200 [0,273]	201 [423,498]	202 [648,720]	
57 58	203 [0,139]	204 [180,526]	205 [567,720]	
58 63	206 [0,100]	207 [129,152]	208 [290,328]	209 [395,402]	210 [478,720]	
59 68	211 [0,2]	212 [346,359]	213 [703,720]	
60 50	214 [0,21]	215 [125,153]	216 [235,236]	217 [381,407]	218 [543,720]	
61 0	219 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -67.4288068689 -17.0752966603
2 	 -66.9541288275 -15.9432755639
3 	 -122.284009585 -47.0691828857
4 	 -67.4288068689 -17.0752966603
5 	 -4.95770102647 3.304346124
6 	 67.575092898 18.0733213394
7 	 -33.4645238286 69.960563825
8 	 -4.95770102647 3.304346124
9 	 2.08026320496 -10.6047137892
10 	 143.145335963 -88.1958264393
11 	 2.08026320496 -10.6047137892
12 	 10.862328164 19.1456069527
13 	 -4.72962465988 -56.0761909695
14 	 10.862328164 19.1456069527
15 	 29.7840075043 -126.388424101
16 	 -8.53870495983 -113.032837806
17 	 -8.79301652722 -123.085885786
18 	 68.853817556 -134.558816248
19 	 38.3315673884 -110.971416422
20 	 29.7840075043 -126.388424101
21 	 -102.657257445 -41.2862893798
22 	 -103.412964336 -18.2261882974
23 	 -89.7129104947 -34.9680465956
24 	 -115.33460436 -44.5805840509
25 	 -170.910781979 -56.8909467918
26 	 -102.657257445 -41.2862893798
27 	 0.204646842133 0.771580066826
28 	 46.8763408365 52.6660300201
29 	 24.4656268543 31.6608148416
30 	 0.204646842133 0.771580066826
31 	 6.79750957585 14.9934951519
32 	 7.68056854645 23.7856264427
33 	 35.9517556085 -5.97075744003
34 	 6.79750957585 14.9934951519
35 	 -6.11825872261 11.103401472
36 	 40.9692095743 -52.6749109682
37 	 75.9352333582 21.7729487787
38 	 -11.2587487819 62.9602871784
39 	 -6.11825872261 11.103401472
40 	 -71.0589819413 15.3271004211
41 	 -9.67470686893 38.8855182655
42 	 -33.2355358319 6.71206436036
43 	 -116.920516918 71.828316956
44 	 -71.0589819413 15.3271004211
45 	 -24.6425631965 -158.530227344
46 	 -23.546935591 11.8914842494
47 	 -50.0594594556 -50.5951901909
48 	 -9.80478482626 61.9570112555
49 	 -23.546935591 11.8914842494
50 	 -67.7106579344 53.0293276956
51 	 -100.504037073 -131.302312809
52 	 -159.335373619 -135.471845571
53 	 -80.0986683402 -137.807890136
54 	 -53.2901800638 -168.684326914
55 	 -32.8437403086 -137.510999708
56 	 -100.504037073 -131.302312809
57 	 -0.238981815111 -24.7446416206
58 	 38.8367763508 152.129628427
59 	 34.0111057799 121.890001816
60 	 60.1148162711 154.000128142
61 	 3.59806034755 128.290653511
62 	 38.8367763508 152.129628427
63 	 -13.6191843701 45.197443678
64 	 -38.9574316129 148.875738037
65 	 -5.4400011196 44.0231798637
66 	 -13.6191843701 45.197443678
67 	 -36.0866447421 -87.822570322
68 	 -163.859217895 -18.6031608551
69 	 -36.0866447421 -87.822570322
70 	 -13.7417047743 9.95971698998
71 	 -9.75524826322 1.93628023934
72 	 -27.7855345366 14.3373033954
73 	 -13.7417047743 9.95971698998
74 	 46.8181331134 -173.337915269
75 	 20.3475112639 -134.666624973
76 	 47.6820745566 -167.393347647
77 	 -15.5109274747 -112.079587
78 	 46.8181331134 -173.337915269
79 	 -83.8130557147 -56.1873088832
80 	 -156.911793431 52.9959454149
81 	 -83.8130557147 -56.1873088832
82 	 -116.268576295 19.1588113099
83 	 51.4211544131 42.9627418971
84 	 -6.99016245038 -14.4194793821
85 	 22.308442703 -21.910288075
86 	 42.6771172499 57.9285022971
87 	 24.5812820972 -14.1597987081
88 	 -6.99016245038 -14.4194793821
89 	 14.3047020096 -87.7197734595
90 	 -48.7990193136 -47.9891768661
91 	 44.2876488748 -95.2111586236
92 	 14.3047020096 -87.7197734595
93 	 -104.31915456 10.4531177398
94 	 0.937259309918 60.9821764016
95 	 -104.31915456 10.4531177398
96 	 0.247767130519 -11.9803349409
97 	 13.6906168931 4.12158739313
98 	 -0.808763345171 -15.8091661124
99 	 0.247767130519 -11.9803349409
100 	 4.28833529196 -14.9495348612
101 	 95.8519970871 -59.0003318847
102 	 33.9036344246 -59.2095861421
103 	 4.28833529196 -14.9495348612
104 	 -4.16073717281 -13.7736079917
105 	 60.5923315976 -45.2689921925
106 	 -15.2147491971 9.33298922905
107 	 40.9962486312 -61.814038497
108 	 -4.16073717281 -13.7736079917
109 	 -62.8249765393 66.2692049145
110 	 -91.6183709242 124.578568778
111 	 -149.512284731 8.03448349957
112 	 -62.8249765393 66.2692049145
113 	 -117.197608097 19.5997333161
