General parameters 

60 227 720 750


Customer schedules 

0 0	0 [0,720]	
1 55	1 [0,14]	2 [35,40]	3 [205,372]	4 [429,493]	5 [607,720]	
2 52	6 [0,720]	
3 84	7 [0,720]	
4 39	8 [0,16]	9 [65,114]	10 [254,318]	11 [489,497]	12 [608,616]	13 [697,720]	
5 42	14 [0,7]	15 [45,284]	16 [359,504]	17 [573,584]	18 [621,720]	
6 43	19 [0,68]	20 [248,311]	21 [491,720]	
7 65	22 [0,88]	23 [235,243]	24 [499,513]	25 [637,720]	
8 41	26 [0,1]	27 [126,131]	28 [374,376]	29 [572,572]	30 [715,720]	
9 45	31 [0,2]	32 [141,144]	33 [277,282]	34 [423,497]	35 [657,659]	36 [706,720]	
10 52	37 [0,135]	38 [244,263]	39 [372,720]	
11 43	40 [0,39]	41 [85,167]	42 [200,275]	43 [313,334]	44 [414,416]	45 [500,720]	
12 50	46 [0,720]	
13 51	47 [0,0]	48 [20,89]	49 [195,199]	50 [277,309]	51 [478,483]	52 [606,720]	
14 31	53 [0,67]	54 [115,136]	55 [267,321]	56 [528,536]	57 [698,720]	
15 37	58 [0,720]	
16 64	59 [0,83]	60 [310,456]	61 [683,720]	
17 82	62 [0,720]	
18 65	63 [0,111]	64 [219,357]	65 [459,520]	66 [624,642]	67 [698,720]	
19 51	68 [0,116]	69 [135,155]	70 [240,283]	71 [339,393]	72 [482,538]	73 [597,720]	
20 72	74 [0,720]	
21 45	75 [0,182]	76 [214,485]	77 [517,720]	
22 69	78 [0,157]	79 [186,199]	80 [219,265]	81 [374,470]	82 [583,720]	
23 44	83 [0,74]	84 [215,289]	85 [528,542]	86 [671,720]	
24 36	87 [0,70]	88 [98,246]	89 [334,366]	90 [436,720]	
25 65	91 [0,39]	92 [272,372]	93 [636,655]	94 [692,720]	
26 31	95 [0,720]	
27 23	96 [0,92]	97 [169,435]	98 [512,720]	
28 44	99 [0,19]	100 [95,143]	101 [212,221]	102 [429,478]	103 [590,624]	104 [679,720]	
29 38	105 [0,67]	106 [88,114]	107 [135,720]	
30 45	108 [0,86]	109 [279,377]	110 [570,720]	
31 59	111 [0,720]	
32 39	112 [0,720]	
33 55	113 [0,418]	114 [491,523]	115 [596,720]	
34 79	116 [0,4]	117 [53,113]	118 [310,336]	119 [385,391]	120 [501,720]	
35 41	121 [0,12]	122 [34,58]	123 [168,203]	124 [338,357]	125 [499,499]	126 [637,720]	
36 48	127 [0,91]	128 [348,380]	129 [637,720]	
37 43	130 [0,2]	131 [14,62]	132 [201,361]	133 [504,574]	134 [590,720]	
38 50	135 [0,720]	
39 51	136 [0,720]	
40 38	137 [0,7]	138 [152,159]	139 [231,351]	140 [547,720]	
41 18	141 [0,11]	142 [72,123]	143 [275,331]	144 [454,577]	145 [657,720]	
42 63	146 [0,720]	
43 36	147 [0,36]	148 [86,90]	149 [180,188]	150 [317,323]	151 [434,461]	152 [563,720]	
44 49	153 [0,20]	154 [64,66]	155 [132,200]	156 [341,514]	157 [597,641]	158 [647,720]	
45 59	159 [0,59]	160 [324,426]	161 [691,720]	
46 62	162 [0,720]	
47 28	163 [0,21]	164 [84,101]	165 [251,274]	166 [292,320]	167 [507,570]	168 [641,720]	
48 52	169 [0,6]	170 [119,182]	171 [284,309]	172 [385,408]	173 [482,558]	174 [675,720]	
49 60	175 [0,3]	176 [303,341]	177 [641,720]	
50 41	178 [0,720]	
51 56	179 [0,55]	180 [190,203]	181 [426,433]	182 [649,720]	
52 26	183 [0,21]	184 [52,119]	185 [209,335]	186 [406,720]	
53 66	187 [0,45]	188 [166,206]	189 [281,403]	190 [475,526]	191 [620,720]	
54 37	192 [0,44]	193 [87,196]	194 [282,323]	195 [377,720]	
55 27	196 [0,41]	197 [47,73]	198 [157,304]	199 [385,440]	200 [460,510]	201 [526,720]	
56 23	202 [0,5]	203 [17,77]	204 [206,256]	205 [454,513]	206 [595,720]	
57 52	207 [0,17]	208 [151,220]	209 [415,427]	210 [497,720]	
58 39	211 [0,30]	212 [49,50]	213 [167,170]	214 [336,499]	215 [587,616]	216 [629,720]	
59 28	217 [0,114]	218 [275,451]	219 [612,720]	
60 65	220 [0,14]	221 [119,163]	222 [280,309]	223 [396,404]	224 [484,651]	225 [665,720]	
61 0	226 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -87.4186812348 49.0262342627
2 	 -95.5670261212 42.5639974751
3 	 -58.2266621898 -31.2797313189
4 	 -66.4463628586 -3.83998138502
5 	 -87.4186812348 49.0262342627
6 	 -32.5783777853 -35.1720982131
7 	 9.20083164133 1.78407216719
8 	 -9.45666200815 -82.5440347542
9 	 -26.4428660928 -100.217733697
10 	 -39.6821842914 -31.5436831381
11 	 -61.2084636945 -114.248836209
12 	 -6.33620227426 -123.093194039
13 	 -9.45666200815 -82.5440347542
14 	 -138.574751428 23.6707049047
15 	 -132.578773964 41.9260623148
16 	 -167.046491473 27.2943343202
17 	 -135.959797766 42.0185861118
18 	 -138.574751428 23.6707049047
19 	 1.48548705944 35.3673254242
20 	 -81.6458234876 1.36185627469
21 	 1.48548705944 35.3673254242
22 	 -47.0539682353 -93.4445985908
23 	 -33.2623136041 -21.0136499444
24 	 -94.1785225809 -133.838175101
25 	 -47.0539682353 -93.4445985908
26 	 144.941079386 26.3366368759
27 	 180.915921038 77.2621340808
28 	 144.118680558 -38.3524191636
29 	 73.5422244106 29.4324534456
30 	 144.941079386 26.3366368759
31 	 38.7941084463 60.7317178311
32 	 -15.1999101717 104.383816645
33 	 34.7489592785 60.1971108283
34 	 14.5065096706 127.762970749
35 	 19.4680389016 47.6771476439
36 	 38.7941084463 60.7317178311
37 	 98.7255892816 26.3610807177
38 	 142.776868406 -6.13733804842
39 	 98.7255892816 26.3610807177
40 	 74.5373306141 -21.6917836112
41 	 95.5807684137 -30.8903449034
42 	 80.6273466743 -37.7133492211
43 	 65.1475270915 -27.0960909962
44 	 42.8585227788 5.87782026509
45 	 74.5373306141 -21.6917836112
46 	 -87.9207339916 -88.3629748318
47 	 -37.8675724878 31.9173974965
48 	 -42.0274370137 40.9049511521
49 	 -80.4824622298 77.7682335215
50 	 -48.8499775778 54.9036131806
51 	 -44.3935328609 -29.4350397503
52 	 -37.8675724878 31.9173974965
53 	 150.175373586 58.9745064377
54 	 159.063099647 81.499940724
55 	 134.0428699 20.8371456077
56 	 230.936475396 58.2903594784
57 	 150.175373586 58.9745064377
58 	 -63.4024095302 -123.099607939
59 	 -49.4668578161 -47.9478158216
60 	 -72.1625674857 63.0819286459
61 	 -49.4668578161 -47.9478158216
62 	 2.74435179316 4.82758269068
63 	 11.0013651579 20.191942332
64 	 -42.8045587365 18.8238084665
65 	 -47.7708281637 -32.306671201
66 	 -13.9017095902 7.47789490233
67 	 11.0013651579 20.191942332
68 	 -61.0848737456 51.2494182749
69 	 -60.0319857096 60.7014249245
70 	 -98.1074748628 41.7666658995
71 	 -83.0911312458 65.6488144308
72 	 -38.8808411388 70.5349677556
73 	 -61.0848737456 51.2494182749
74 	 3.25854540254 9.79403349313
75 	 -91.4089989421 -38.8732654328
76 	 -76.3583394952 -44.8302292181
77 	 -91.4089989421 -38.8732654328
78 	 76.292514932 19.5852772862
79 	 90.7120764191 21.9820586094
80 	 87.9962457342 31.7618519259
81 	 47.2857960887 68.053140732
82 	 76.292514932 19.5852772862
83 	 -25.2268100667 9.65722025635
84 	 33.3502735337 -29.7866853614
85 	 -25.9506898135 73.9497732933
86 	 -25.2268100667 9.65722025635
87 	 34.3273144388 40.2460428569
88 	 37.8423794856 26.7817249186
89 	 57.7533611811 66.169552016
90 	 34.3273144388 40.2460428569
91 	 -30.9697270126 92.1048039699
92 	 21.1591765163 -12.018176305
93 	 -28.4547780848 110.20910297
94 	 -30.9697270126 92.1048039699
95 	 -17.8071054425 -85.1952085971
96 	 156.666585183 -80.7645899949
97 	 146.927327878 -43.302486372
98 	 156.666585183 -80.7645899949
99 	 -32.2502418734 31.8803996073
100 	 -38.1495793169 69.5496569467
101 	 -20.6155667243 99.1315603452
102 	 -22.4371060859 -5.09495487908
103 	 -59.1460309667 37.3114749343
104 	 -32.2502418734 31.8803996073
105 	 -21.029367992 164.139778599
106 	 -27.6013942572 172.374689953
107 	 -21.029367992 164.139778599
108 	 122.943686808 29.9704955181
109 	 111.047266567 125.607477417
110 	 122.943686808 29.9704955181
111 	 -7.88085478134 105.627675679
112 	 6.61012850847 -144.887628191
113 	 -32.1397957807 72.9928115491
114 	 -59.237788359 48.4289411129
115 	 -32.1397957807 72.9928115491
116 	 -18.6442862412 -62.7310190957
117 	 -41.396332391 -54.2677114768
118 	 55.6096878382 -70.9989655256
119 	 35.9872593909 -56.0919051531
120 	 -18.6442862412 -62.7310190957
121 	 -61.7096772881 -81.1672159911
122 	 -51.3024244548 -84.297482447
123 	 -4.195877173 -113.111850188
124 	 -64.0275869371 -81.5402959033
125 	 -9.02325688841 -36.394141426
126 	 -61.7096772881 -81.1672159911
127 	 33.0123982865 -8.0845877739
128 	 -94.185808344 -27.1731911981
129 	 33.0123982865 -8.0845877739
130 	 3.95263286094 -6.03695914264
131 	 1.94257299873 -11.7295684436
132 	 -47.7685321008 -60.8226453061
133 	 6.07775369729 -13.7736874582
134 	 3.95263286094 -6.03695914264
135 	 -81.7795203193 67.7112734863
136 	 -159.288682363 72.5264627042
137 	 1.70490907164 -46.755246709
138 	 46.6387752165 -103.465185042
139 	 36.8275397385 -138.330763606
140 	 1.70490907164 -46.755246709
141 	 2.24661530346 -0.978152016026
142 	 -25.4987904039 -13.8890181645
143 	 48.8138778453 -29.2484103634
144 	 -11.9274433406 -38.4085737756
145 	 2.24661530346 -0.978152016026
146 	 -58.8775716452 55.0431761297
147 	 -159.910364594 -62.5371102635
148 	 -152.03964649 -86.4770973479
149 	 -195.623703194 -75.8893051099
150 	 -131.016909276 -71.7071988929
151 	 -167.878215634 -113.082121158
152 	 -159.910364594 -62.5371102635
153 	 -84.62782307 72.8100931759
154 	 -65.3410518366 83.4225652494
155 	 -43.418701264 58.5366924117
156 	 -110.478021617 36.7251955731
157 	 -84.98069706 69.67577357
158 	 -84.62782307 72.8100931759
159 	 3.21464708101 102.110234358
160 	 123.69262064 47.1522535808
161 	 3.21464708101 102.110234358
162 	 -152.59745412 87.9917569527
163 	 -145.887298078 51.3659175269
164 	 -176.535411619 45.0957422394
165 	 -103.918046148 25.3835525492
166 	 -96.9374230141 19.981139485
167 	 -175.080169349 71.2601534035
168 	 -145.887298078 51.3659175269
169 	 -25.9480624234 173.207351735
170 	 -82.2712804069 168.586099533
171 	 -43.6496048927 134.991403824
172 	 -50.3091498567 172.256552803
173 	 -79.8484799441 150.072283073
174 	 -25.9480624234 173.207351735
175 	 -34.5252124595 -93.2974905754
176 	 -54.6384049784 55.4259991233
177 	 -34.5252124595 -93.2974905754
178 	 78.3810151679 71.9555047743
179 	 37.9495874484 73.2827047872
180 	 88.5273495156 28.6297904662
181 	 -10.1226371932 -23.5360321242
182 	 37.9495874484 73.2827047872
183 	 -2.80955874185 138.730324252
184 	 9.96833623626 129.780024886
185 	 -34.3439735533 122.256209572
186 	 -2.80955874185 138.730324252
187 	 -3.99812127236 -64.2575318134
188 	 10.6916654138 -123.008072898
189 	 -3.45850135753 -88.1326641157
190 	 31.978874494 -94.3719730553
191 	 -3.99812127236 -64.2575318134
192 	 20.2132938916 46.6812433137
193 	 38.6109919884 35.5687263026
194 	 18.0925216036 73.5373205143
195 	 20.2132938916 46.6812433137
196 	 -42.8368175809 7.09508581182
197 	 -44.24009412 9.50572890677
198 	 -82.9074724952 -7.47255555437
199 	 -44.7830038844 5.75115721857
200 	 -41.2072704811 15.0054639273
201 	 -42.8368175809 7.09508581182
202 	 28.0632267126 15.3688395836
203 	 33.0802450716 12.0443887896
204 	 -28.4007937732 32.1370122601
