General parameters 

60 239 720 750


Customer schedules 

0 0	0 [0,720]	
1 67	1 [0,34]	2 [178,388]	3 [519,540]	4 [640,720]	
2 32	5 [0,68]	6 [248,322]	7 [453,488]	8 [605,720]	
3 46	9 [0,259]	10 [417,542]	11 [700,720]	
4 54	12 [0,169]	13 [251,260]	14 [294,624]	15 [673,720]	
5 50	16 [0,44]	17 [115,189]	18 [240,329]	19 [491,504]	20 [617,720]	
6 52	21 [0,120]	22 [281,333]	23 [500,579]	24 [603,653]	25 [676,720]	
7 53	26 [0,84]	27 [100,115]	28 [175,181]	29 [286,305]	30 [459,554]	31 [682,720]	
8 57	32 [0,720]	
9 35	33 [0,720]	
10 60	34 [0,2]	35 [110,110]	36 [338,342]	37 [558,559]	38 [637,637]	39 [720,720]	
11 68	40 [0,720]	
12 27	41 [0,59]	42 [68,138]	43 [170,231]	44 [240,627]	45 [667,720]	
13 47	46 [0,1]	47 [116,118]	48 [215,260]	49 [335,470]	50 [504,720]	
14 42	51 [0,82]	52 [319,324]	53 [563,597]	54 [602,720]	
15 20	55 [0,46]	56 [133,157]	57 [240,288]	58 [375,399]	59 [422,720]	
16 68	60 [0,22]	61 [120,177]	62 [334,367]	63 [496,499]	64 [568,601]	65 [602,720]	
17 46	66 [0,29]	67 [166,282]	68 [417,452]	69 [565,671]	70 [712,720]	
18 50	71 [0,12]	72 [187,234]	73 [278,292]	74 [521,570]	75 [661,720]	
19 34	76 [0,15]	77 [29,33]	78 [108,122]	79 [293,540]	80 [657,720]	
20 46	81 [0,104]	82 [217,277]	83 [317,342]	84 [455,509]	85 [541,720]	
21 60	86 [0,24]	87 [48,78]	88 [162,224]	89 [314,720]	
22 51	90 [0,720]	
23 17	91 [0,720]	
24 55	92 [0,100]	93 [214,231]	94 [306,308]	95 [335,365]	96 [541,566]	97 [706,720]	
25 50	98 [0,63]	99 [172,205]	100 [238,246]	101 [403,547]	102 [617,622]	103 [651,720]	
26 19	104 [0,135]	105 [137,329]	106 [374,376]	107 [422,720]	
27 73	108 [0,64]	109 [102,137]	110 [188,253]	111 [353,472]	112 [506,520]	113 [549,720]	
28 52	114 [0,66]	115 [223,259]	116 [334,436]	117 [566,590]	118 [601,720]	
29 68	119 [0,41]	120 [162,217]	121 [352,381]	122 [446,720]	
30 22	123 [0,58]	124 [149,179]	125 [375,397]	126 [510,576]	127 [606,720]	
31 46	128 [0,720]	
32 43	129 [0,30]	130 [95,183]	131 [298,358]	132 [533,561]	133 [602,720]	
33 50	134 [0,13]	135 [143,318]	136 [468,525]	137 [592,620]	138 [666,720]	
34 82	139 [0,24]	140 [168,196]	141 [340,720]	
35 47	142 [0,319]	143 [370,601]	144 [652,720]	
36 60	145 [0,53]	146 [60,140]	147 [193,249]	148 [345,571]	149 [632,720]	
37 63	150 [0,720]	
38 50	151 [0,203]	152 [248,565]	153 [610,720]	
39 55	154 [0,68]	155 [92,376]	156 [400,720]	
40 59	157 [0,720]	
41 42	158 [0,46]	159 [129,541]	160 [628,655]	161 [711,720]	
42 41	162 [0,29]	163 [42,116]	164 [130,224]	165 [357,468]	166 [552,605]	167 [655,720]	
43 20	168 [0,141]	169 [240,260]	170 [360,367]	171 [482,493]	172 [671,720]	
44 29	173 [0,720]	
45 22	174 [0,720]	
46 29	175 [0,19]	176 [84,95]	177 [188,289]	178 [328,373]	179 [509,564]	180 [614,720]	
47 45	181 [0,35]	182 [119,124]	183 [311,314]	184 [542,543]	185 [702,720]	
48 46	186 [0,164]	187 [212,253]	188 [391,404]	189 [475,479]	190 [641,720]	
49 51	191 [0,39]	192 [120,157]	193 [309,354]	194 [537,580]	195 [700,701]	196 [702,720]	
50 51	197 [0,11]	198 [59,173]	199 [327,363]	200 [469,720]	
51 59	201 [0,5]	202 [81,109]	203 [133,172]	204 [355,391]	205 [542,576]	206 [630,720]	
52 31	207 [0,3]	208 [139,139]	209 [314,323]	210 [495,548]	211 [580,720]	
53 47	212 [0,52]	213 [161,330]	214 [439,720]	
54 66	215 [0,7]	216 [356,360]	217 [709,720]	
55 58	218 [0,720]	
56 55	219 [0,58]	220 [133,161]	221 [394,416]	222 [539,568]	223 [610,720]	
57 32	224 [0,720]	
58 45	225 [0,28]	226 [169,172]	227 [319,330]	228 [361,374]	229 [466,471]	230 [560,720]	
59 69	231 [0,720]	
60 51	232 [0,2]	233 [92,92]	234 [138,138]	235 [330,335]	236 [582,583]	237 [711,720]	
61 0	238 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 84.7163944282 -134.986503881
2 	 18.793527823 -164.024964935
3 	 45.2674988346 -103.920876486
4 	 84.7163944282 -134.986503881
5 	 -60.672882366 -23.9000356775
6 	 -18.044136773 55.2210785717
7 	 -4.10952256497 -9.01131608388
8 	 -60.672882366 -23.9000356775
9 	 -17.5824685659 -69.8061149379
10 	 -54.9786042197 0.0212404098578
11 	 -17.5824685659 -69.8061149379
12 	 167.098690334 38.6411867634
13 	 141.185423467 7.08505455304
14 	 153.765709542 18.3601103631
15 	 167.098690334 38.6411867634
16 	 79.6087172576 -33.4786424847
17 	 106.51894441 -9.88341573438
18 	 128.862959663 -22.2895521716
19 	 83.7311251362 -89.7052871378
20 	 79.6087172576 -33.4786424847
21 	 -120.868912904 -129.648419902
22 	 -115.252170614 -49.2442760238
23 	 -122.989927318 -132.553229456
24 	 -112.228766799 -137.398925653
25 	 -120.868912904 -129.648419902
26 	 2.5331266903 -23.3100279906
27 	 10.0724412352 -25.3620640582
28 	 33.8394671884 -7.04531507295
29 	 -17.7875087858 -16.3191250343
30 	 14.1802519714 -86.2346164574
31 	 2.5331266903 -23.3100279906
32 	 90.241468684 124.356761146
33 	 30.2690363474 16.5923686952
34 	 -11.7241476734 6.99063813578
35 	 -40.4571095098 52.9076022682
36 	 -33.9895759854 -61.1388480598
37 	 -76.3246104915 38.1720472738
38 	 -53.0863169131 6.87158928722
39 	 -11.7241476734 6.99063813578
40 	 73.5384489758 -4.30977386807
41 	 58.5128849243 54.823942711
42 	 62.8062981958 56.147680368
43 	 66.4517013468 71.4810018468
44 	 63.2818690307 74.3858147505
45 	 58.5128849243 54.823942711
46 	 18.3523522074 -149.845751412
47 	 -35.9710629982 -130.441715116
48 	 0.544955710097 -162.696086372
49 	 35.167067825 -147.698983433
50 	 18.3523522074 -149.845751412
51 	 151.919058235 81.9785323275
52 	 44.803107243 132.660121762
53 	 153.745697205 83.4497520556
54 	 151.919058235 81.9785323275
55 	 3.08152702028 -46.0581120044
56 	 45.3598280428 -35.1322890807
57 	 27.2021033768 -72.5387971294
58 	 -8.15744089917 -47.0173447269
59 	 3.08152702028 -46.0581120044
60 	 69.9382782032 10.3917890349
61 	 85.7658421308 -36.252840319
62 	 115.864456336 36.172894942
63 	 51.4545863552 40.304243548
64 	 69.8431559432 11.0907216872
65 	 69.9382782032 10.3917890349
66 	 -14.7297518018 2.60547392112
67 	 33.898206455 50.8649086351
68 	 -32.7340205551 38.6296888781
69 	 5.20144153754 -3.00265329866
70 	 -14.7297518018 2.60547392112
71 	 -68.9296402999 -14.8841414582
72 	 6.85519018191 -58.7407073145
73 	 -15.283579331 -58.4278516986
74 	 -102.271586942 15.839880134
75 	 -68.9296402999 -14.8841414582
76 	 -58.3688365719 120.82134475
77 	 -57.6460055037 127.785899128
78 	 -95.161575336 129.021190358
79 	 -15.2304697422 160.061314516
80 	 -58.3688365719 120.82134475
81 	 41.1932300008 -76.3347711276
82 	 53.9077783137 -21.3027128801
83 	 39.3294820836 -7.43934478005
84 	 32.0827113814 -63.3709557487
85 	 41.1932300008 -76.3347711276
86 	 -85.9835055098 37.2742718093
87 	 -96.0152079757 44.1678766098
88 	 -76.5756243138 81.216034528
89 	 -85.9835055098 37.2742718093
90 	 3.48104464441 14.7807912848
91 	 44.3695585159 60.9786119238
92 	 -63.9448001652 -91.820755088
93 	 -14.8780172799 -121.259727306
94 	 -51.5388244382 -113.360936085
95 	 -44.43056083 -124.722060986
96 	 -14.8070235991 -42.0557493467
97 	 -63.9448001652 -91.820755088
98 	 88.5175474826 -138.715407268
99 	 134.764164235 -109.456003495
100 	 120.071806469 -117.265596819
101 	 41.9069832417 -126.617102437
102 	 74.0230644575 -140.69049122
103 	 88.5175474826 -138.715407268
104 	 -77.3869425351 21.764052189
105 	 -76.6079315537 21.5175647585
106 	 -66.0052576308 41.5807308669
107 	 -77.3869425351 21.764052189
108 	 1.59400820505 4.02802676321
109 	 17.4555210569 -6.68516285698
110 	 31.0818202825 -28.4369802858
111 	 -1.26935574307 9.60525876815
112 	 -10.3230905706 -4.65823053166
113 	 1.59400820505 4.02802676321
114 	 -35.3611864955 -11.773747277
115 	 -104.452717525 -49.4110304818
116 	 -95.0672944399 -13.1140034112
117 	 -29.6887380913 -12.5534519451
118 	 -35.3611864955 -11.773747277
119 	 -45.7274270636 -102.899426654
120 	 -2.82397987624 -145.729346167
121 	 -67.3888728619 -126.86342085
122 	 -45.7274270636 -102.899426654
123 	 27.9262565773 -158.153024551
124 	 60.0582049158 -190.675753847
125 	 33.8691114447 -96.3693041551
126 	 41.5052049635 -152.381563218
127 	 27.9262565773 -158.153024551
128 	 -124.164001155 122.244443999
129 	 -26.6683852405 6.16492304347
130 	 -17.1984384854 37.0038514555
131 	 -71.0843400504 57.1033261643
132 	 -16.4438636176 -11.4653517207
133 	 -26.6683852405 6.16492304347
134 	 -63.026627376 10.1427873458
135 	 -109.273907401 -35.5781024776
136 	 -59.2209028825 20.3204346838
137 	 -78.0470560367 -7.22256261061
138 	 -63.026627376 10.1427873458
139 	 -77.4702528739 120.388900544
140 	 -100.835122319 52.290900144
141 	 -77.4702528739 120.388900544
142 	 -78.0768638485 -128.337052834
143 	 -103.14828272 -132.134062711
144 	 -78.0768638485 -128.337052834
145 	 103.4541877 8.10426365018
146 	 107.032729575 7.08224164063
147 	 88.3470554977 -11.4962432141
148 	 133.810826954 3.71581948954
149 	 103.4541877 8.10426365018
150 	 76.5237543912 98.9964889388
151 	 -77.2129034495 91.0237664728
152 	 -69.4794274658 70.0563793536
153 	 -77.2129034495 91.0237664728
154 	 24.4515483882 -153.659408092
155 	 25.8665414039 -165.803194436
156 	 24.4515483882 -153.659408092
157 	 2.93574108394 75.6291943439
158 	 6.79807117498 135.786798845
159 	 36.1782281975 106.128072896
160 	 31.4275673173 149.353948742
161 	 6.79807117498 135.786798845
162 	 133.053275268 37.1593744151
163 	 128.46889266 32.7181911833
164 	 133.648005073 37.4962957707
165 	 74.4976238211 6.22635645752
166 	 113.224664198 21.9433366001
167 	 133.053275268 37.1593744151
168 	 -33.4943069047 -11.6312275111
169 	 -7.18533735953 -54.0307540826
170 	 9.75952844571 -6.95563066742
171 	 36.0013296042 44.3443079865
172 	 -33.4943069047 -11.6312275111
173 	 14.3522692208 39.9358268815
174 	 138.495657856 -76.7728173064
175 	 43.488254837 -37.9114093779
176 	 51.2273249807 -6.17268779296
177 	 94.8660489361 -22.2140834273
178 	 87.3097499306 -40.3470462634
