General parameters 

40 143 720 750


Customer schedules 

0 0	0 [0,720]	
1 47	1 [0,44]	2 [79,88]	3 [138,214]	4 [236,287]	5 [316,344]	6 [370,720]	
2 69	7 [0,166]	8 [176,205]	9 [218,366]	10 [386,649]	11 [672,720]	
3 49	12 [0,39]	13 [56,156]	14 [162,182]	15 [209,535]	16 [573,720]	
4 35	17 [0,207]	18 [220,339]	19 [354,502]	20 [504,720]	
5 67	21 [0,126]	22 [180,303]	23 [357,720]	
6 80	24 [0,70]	25 [119,447]	26 [487,547]	27 [587,720]	
7 41	28 [0,294]	29 [315,324]	30 [375,400]	31 [444,720]	
8 38	32 [0,128]	33 [149,166]	34 [223,303]	35 [343,720]	
9 33	36 [0,720]	
10 69	37 [0,720]	
11 40	38 [0,720]	
12 45	39 [0,109]	40 [141,221]	41 [244,351]	42 [390,410]	43 [418,720]	
13 49	44 [0,19]	45 [76,265]	46 [366,515]	47 [558,720]	
14 21	48 [0,210]	49 [232,234]	50 [256,720]	
15 53	51 [0,90]	52 [123,157]	53 [185,354]	54 [399,421]	55 [465,720]	
16 44	56 [0,720]	
17 58	57 [0,720]	
18 41	58 [0,334]	59 [390,396]	60 [471,519]	61 [547,720]	
19 55	62 [0,225]	63 [264,301]	64 [349,498]	65 [548,575]	66 [616,720]	
20 21	67 [0,55]	68 [61,142]	69 [148,720]	
21 34	70 [0,50]	71 [63,169]	72 [179,259]	73 [290,328]	74 [363,413]	75 [413,720]	
22 59	76 [0,720]	
23 51	77 [0,84]	78 [118,132]	79 [186,273]	80 [321,720]	
24 48	81 [0,283]	82 [311,365]	83 [435,495]	84 [550,720]	
25 63	85 [0,64]	86 [85,259]	87 [293,416]	88 [470,720]	
26 39	89 [0,106]	90 [141,319]	91 [346,374]	92 [381,462]	93 [466,720]	
27 31	94 [0,30]	95 [45,208]	96 [223,720]	
28 56	97 [0,61]	98 [87,446]	99 [450,456]	100 [470,483]	101 [513,720]	
29 83	102 [0,720]	
30 89	103 [0,413]	104 [481,539]	105 [607,720]	
31 40	106 [0,52]	107 [76,145]	108 [176,365]	109 [387,399]	110 [414,720]	
32 78	111 [0,720]	
33 22	112 [0,720]	
34 47	113 [0,4]	114 [62,91]	115 [206,294]	116 [352,720]	
35 40	117 [0,720]	
36 40	118 [0,311]	119 [322,402]	120 [432,642]	121 [662,720]	
37 56	122 [0,155]	123 [173,178]	124 [185,357]	125 [378,495]	126 [512,720]	
38 48	127 [0,32]	128 [46,127]	129 [154,192]	130 [228,430]	131 [438,675]	132 [696,720]	
39 48	133 [0,140]	134 [179,439]	135 [467,513]	136 [563,572]	137 [580,720]	
40 33	138 [0,96]	139 [132,303]	140 [340,568]	141 [579,720]	
41 0	142 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -3.52097209371 104.261858128
2 	 13.7316071618 104.04645643
3 	 -8.8764074379 114.239388424
4 	 -5.89119637685 103.672186092
5 	 1.27465153299 116.291362935
6 	 -3.52097209371 104.261858128
7 	 128.101123489 40.6225377739
8 	 123.032783267 41.2218377928
9 	 128.526715344 37.7921378191
10 	 120.304913279 32.5116861655
11 	 128.101123489 40.6225377739
12 	 5.60308553107 -39.8340526054
13 	 -2.52564353499 -37.3832889726
14 	 0.36387462694 -37.7853036007
15 	 -13.127547837 -35.951008399
16 	 5.60308553107 -39.8340526054
17 	 62.2744437941 -33.0428268423
18 	 61.1093022361 -39.5064207181
19 	 62.5312316165 -32.1993580988
20 	 62.2744437941 -33.0428268423
21 	 27.091452594 -172.618351511
22 	 3.5988452805 -159.781493599
23 	 27.091452594 -172.618351511
24 	 -40.7245412836 -131.501626831
25 	 -32.8056426419 -108.174555321
26 	 -21.9902045428 -125.207906242
27 	 -40.7245412836 -131.501626831
28 	 3.81663460521 4.26719104163
29 	 13.3074066539 8.1825410135
30 	 -7.20832368802 23.1723560737
31 	 3.81663460521 4.26719104163
32 	 14.7983377107 -26.257700825
33 	 8.391266879 -34.3503261411
34 	 34.5915815504 -22.6873978314
35 	 14.7983377107 -26.257700825
36 	 9.77688528866 -36.6563166367
37 	 -29.0932392195 17.9838462021
38 	 2.06782957621 -123.013994332
39 	 -90.3921234595 -2.14466032523
40 	 -105.756552804 -6.12069121939
41 	 -109.192524261 4.76892249622
42 	 -89.9920161545 1.69304144679
43 	 -90.3921234595 -2.14466032523
44 	 47.5354317458 -22.3243157471
45 	 45.2753686881 -50.9711416033
46 	 45.8753340812 -0.654063061772
47 	 47.5354317458 -22.3243157471
48 	 -29.8544319938 -39.3464423415
49 	 -28.5314956273 -50.0284896984
50 	 -29.8544319938 -39.3464423415
51 	 -42.3370053526 -21.2129901352
52 	 -52.5859505268 -8.46382229677
53 	 -44.3454558335 -19.8980939944
54 	 -28.8464652698 -3.87875686749
55 	 -42.3370053526 -21.2129901352
56 	 -31.4149759505 -28.4550429797
57 	 23.5051098272 8.77493265839
58 	 -16.416529103 154.315055018
59 	 -41.1625734587 141.262001717
60 	 -4.20739022293 147.773016899
61 	 -16.416529103 154.315055018
62 	 -18.1112673521 -76.2825566171
63 	 -24.2869602939 -57.705148542
64 	 -23.5582964085 -81.9195152063
65 	 -23.8744537512 -56.7409857968
66 	 -18.1112673521 -76.2825566171
67 	 25.6818110136 -73.9074712624
68 	 27.9993525565 -72.1357254534
69 	 25.6818110136 -73.9074712624
70 	 130.302336556 -8.65130379596
71 	 130.588876398 -2.01423736726
72 	 130.475374677 -6.79793725007
73 	 137.796915518 6.84378004893
74 	 130.094396382 -8.72756332273
75 	 130.302336556 -8.65130379596
