General parameters 

40 146 720 750


Customer schedules 

0 0	0 [0,720]	
1 51	1 [0,56]	2 [67,106]	3 [117,720]	
2 65	4 [0,37]	5 [65,229]	6 [257,274]	7 [316,486]	8 [528,720]	
3 69	9 [0,23]	10 [53,110]	11 [136,298]	12 [318,350]	13 [375,539]	14 [568,720]	
4 62	15 [0,123]	16 [124,145]	17 [171,213]	18 [238,366]	19 [400,543]	20 [562,720]	
5 37	21 [0,55]	22 [87,216]	23 [249,344]	24 [372,389]	25 [434,587]	26 [602,720]	
6 58	27 [0,720]	
7 36	28 [0,720]	
8 50	29 [0,113]	30 [167,400]	31 [428,596]	32 [629,720]	
9 14	33 [0,11]	34 [74,415]	35 [478,720]	
10 30	36 [0,720]	
11 28	37 [0,97]	38 [119,149]	39 [198,373]	40 [426,472]	41 [502,720]	
12 29	42 [0,130]	43 [141,155]	44 [166,720]	
13 66	45 [0,720]	
14 56	46 [0,101]	47 [171,361]	48 [431,720]	
15 57	49 [0,720]	
16 57	50 [0,25]	51 [80,353]	52 [408,720]	
17 65	53 [0,95]	54 [115,129]	55 [183,238]	56 [265,524]	57 [550,720]	
18 54	58 [0,720]	
19 64	59 [0,111]	60 [119,298]	61 [311,403]	62 [420,451]	63 [458,720]	
20 29	64 [0,129]	65 [182,227]	66 [271,283]	67 [292,720]	
21 73	68 [0,148]	69 [157,202]	70 [213,388]	71 [411,449]	72 [490,578]	73 [609,720]	
22 56	74 [0,720]	
23 58	75 [0,720]	
24 53	76 [0,4]	77 [18,119]	78 [132,228]	79 [251,356]	80 [383,409]	81 [417,720]	
25 70	82 [0,19]	83 [23,233]	84 [236,439]	85 [473,484]	86 [547,551]	87 [586,720]	
26 39	88 [0,720]	
27 40	89 [0,134]	90 [138,236]	91 [240,720]	
28 39	92 [0,164]	93 [197,262]	94 [289,295]	95 [309,353]	96 [361,720]	
29 57	97 [0,108]	98 [133,254]	99 [279,720]	
30 36	100 [0,170]	101 [171,174]	102 [207,253]	103 [293,324]	104 [330,424]	105 [431,720]	
31 69	106 [0,224]	107 [269,295]	108 [340,720]	
32 46	109 [0,9]	110 [11,31]	111 [90,338]	112 [396,720]	
33 35	113 [0,720]	
34 63	114 [0,720]	
35 63	115 [0,137]	116 [153,382]	117 [399,519]	118 [524,623]	119 [627,720]	
36 82	120 [0,231]	121 [233,261]	122 [284,388]	123 [411,720]	
37 50	124 [0,244]	125 [277,361]	126 [394,399]	127 [434,498]	128 [532,587]	129 [595,720]	
38 52	130 [0,79]	131 [84,94]	132 [117,171]	133 [181,205]	134 [271,420]	135 [454,720]	
39 60	136 [0,53]	137 [97,115]	138 [169,437]	139 [456,720]	
40 78	140 [0,86]	141 [109,167]	142 [186,222]	143 [244,250]	144 [291,720]	
41 0	145 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 85.0813282028 -149.416014556
2 	 90.5065099632 -147.530289323
3 	 85.0813282028 -149.416014556
4 	 51.8428718578 79.7418469844
5 	 63.4771677588 87.8094070203
6 	 51.8669794774 79.6575072209
7 	 51.6695464762 58.7127145781
8 	 51.8428718578 79.7418469844
9 	 28.6747164307 0.673964001719
10 	 43.6433235383 -0.653935213898
11 	 30.4660027101 -0.907735531884
12 	 35.0782786368 7.81874574083
13 	 42.9270756679 -1.80787878211
14 	 28.6747164307 0.673964001719
15 	 58.441695506 37.9357036671
16 	 58.596316339 38.1500792696
17 	 58.9404320534 24.9686740501
18 	 47.5583572735 30.276894704
19 	 64.5325323887 30.940368884
20 	 58.441695506 37.9357036671
21 	 7.30091725929 28.2730794595
22 	 -4.12673050185 39.3773501997
23 	 9.24441208631 29.5792774863
24 	 16.7555166373 41.1732413374
25 	 0.510686561146 25.6414497584
26 	 7.30091725929 28.2730794595
27 	 77.1776558204 -44.0217846128
28 	 -3.07549024228 -19.3605578503
29 	 141.424624063 -0.909621987103
30 	 166.363472019 -10.9028424615
31 	 152.474505158 -12.8919355254
32 	 141.424624063 -0.909621987103
33 	 5.76538719858 53.7197366389
34 	 35.0751073285 41.5833579426
35 	 5.76538719858 53.7197366389
36 	 -64.0861424064 -37.0441338699
37 	 -0.178861923507 4.1729344394
38 	 7.63243938521 12.0871040423
39 	 -5.75043416618 -8.14879689671
40 	 14.1931050616 9.21919920853
41 	 -0.178861923507 4.1729344394
42 	 19.0607337334 -154.943649259
43 	 13.9866049982 -156.594407552
44 	 19.0607337334 -154.943649259
45 	 -153.701243281 -49.7429586258
46 	 -77.2154327805 -89.9409077027
47 	 -107.09231695 -108.343759037
48 	 -77.2154327805 -89.9409077027
49 	 27.1039200616 174.666566955
50 	 90.1644432419 12.5704454434
51 	 69.512702336 30.6408228617
52 	 90.1644432419 12.5704454434
53 	 -20.7264931969 22.0249031335
54 	 -29.1380770669 16.3060797163
55 	 -7.86622738772 32.8358205656
56 	 -8.14977994263 19.2634890812
57 	 -20.7264931969 22.0249031335
58 	 96.0743944393 -87.7636225918
59 	 84.2440435895 136.137192827
60 	 88.1217011348 135.384834105
61 	 84.1028888044 130.410473116
62 	 81.4889177334 138.632795636
63 	 84.2440435895 136.137192827
64 	 8.88012759034 6.40046912064
65 	 18.1668306559 31.0738426528
66 	 9.59809724424 10.7585298872
67 	 8.88012759034 6.40046912064
68 	 90.1039937545 -62.3332846178
69 	 85.9969418477 -64.0294646847
70 	 91.7242607238 -63.8507932787
71 	 100.991142222 -57.2149152915
72 	 81.7824475389 -49.4282016907
73 	 90.1039937545 -62.3332846178
74 	 -45.1323941769 60.0229534246
75 	 28.5317030287 -1.58084447386
76 	 55.4079711428 43.0874934155
77 	 50.6184504598 37.9501424704
