General parameters 

40 175 720 750


Customer schedules 

0 0	0 [0,720]	
1 45	1 [0,14]	2 [36,117]	3 [180,481]	4 [527,565]	5 [597,720]	
2 55	6 [0,121]	7 [150,180]	8 [197,212]	9 [269,300]	10 [344,720]	
3 63	11 [0,101]	12 [120,263]	13 [269,291]	14 [315,386]	15 [421,720]	
4 41	16 [0,25]	17 [28,285]	18 [290,418]	19 [424,477]	20 [486,549]	21 [564,720]	
5 43	22 [0,110]	23 [146,165]	24 [242,325]	25 [367,720]	
6 24	26 [0,117]	27 [155,156]	28 [221,242]	29 [287,720]	
7 56	30 [0,151]	31 [153,343]	32 [371,417]	33 [446,586]	34 [594,720]	
8 32	35 [0,398]	36 [419,620]	37 [641,720]	
9 41	38 [0,78]	39 [88,128]	40 [153,216]	41 [280,517]	42 [543,570]	43 [578,720]	
10 58	44 [0,113]	45 [124,442]	46 [479,537]	47 [568,616]	48 [631,720]	
11 52	49 [0,107]	50 [107,128]	51 [181,550]	52 [603,720]	
12 70	53 [0,45]	54 [81,343]	55 [361,576]	56 [633,657]	57 [695,720]	
13 66	58 [0,149]	59 [164,251]	60 [268,363]	61 [379,459]	62 [483,567]	63 [579,720]	
14 37	64 [0,58]	65 [65,159]	66 [169,241]	67 [262,431]	68 [447,516]	69 [550,720]	
15 45	70 [0,32]	71 [60,172]	72 [209,343]	73 [387,456]	74 [494,720]	
16 42	75 [0,213]	76 [237,337]	77 [359,468]	78 [474,720]	
17 56	79 [0,21]	80 [47,212]	81 [237,408]	82 [411,720]	
18 41	83 [0,249]	84 [310,355]	85 [416,720]	
19 50	86 [0,191]	87 [269,406]	88 [484,720]	
20 52	89 [0,64]	90 [74,96]	91 [129,131]	92 [152,257]	93 [277,720]	
21 60	94 [0,720]	
22 70	95 [0,720]	
23 44	96 [0,31]	97 [58,368]	98 [395,720]	
24 42	99 [0,82]	100 [155,358]	101 [431,720]	
25 34	102 [0,110]	103 [167,181]	104 [238,720]	
26 51	105 [0,15]	106 [24,167]	107 [186,231]	108 [246,553]	109 [554,720]	
27 43	110 [0,384]	111 [392,426]	112 [467,486]	113 [541,561]	114 [582,720]	
28 62	115 [0,720]	
29 59	116 [0,14]	117 [51,63]	118 [108,141]	119 [151,190]	120 [230,720]	
30 24	121 [0,56]	122 [100,310]	123 [347,389]	124 [445,720]	
31 55	125 [0,186]	126 [219,251]	127 [306,362]	128 [386,409]	129 [434,540]	130 [564,720]	
32 86	131 [0,231]	132 [248,402]	133 [419,720]	
33 29	134 [0,38]	135 [96,152]	136 [199,518]	137 [534,720]	
34 34	138 [0,196]	139 [232,354]	140 [399,587]	141 [604,666]	142 [676,720]	
35 34	143 [0,33]	144 [64,68]	145 [87,219]	146 [272,419]	147 [450,551]	148 [564,720]	
36 75	149 [0,114]	150 [178,566]	151 [630,720]	
37 59	152 [0,153]	153 [157,365]	154 [391,442]	155 [472,486]	156 [506,659]	157 [679,720]	
38 52	158 [0,203]	159 [230,302]	160 [331,338]	161 [358,471]	162 [516,582]	163 [597,720]	
39 37	164 [0,105]	165 [141,156]	166 [192,218]	167 [227,720]	
40 44	168 [0,25]	169 [45,185]	170 [221,246]	171 [269,415]	172 [430,604]	173 [617,720]	
41 0	174 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -2.63991661373 -83.2888369047
2 	 -12.3320070827 -88.5763754061
3 	 19.1276857268 -88.0113108998
4 	 -1.10788183593 -99.0560259371
5 	 -2.63991661373 -83.2888369047
6 	 125.823113084 -48.6645048086
7 	 132.292811453 -61.4679584556
8 	 124.076801695 -59.1423432485
9 	 108.391753766 -35.3423599905
10 	 125.823113084 -48.6645048086
11 	 13.4151937012 -14.5346830324
12 	 7.68802565442 -6.75530007875
13 	 5.99305185242 -9.36269490347
14 	 8.51408948363 2.43575922583
15 	 13.4151937012 -14.5346830324
16 	 -40.5773335746 -142.266948813
17 	 -41.9063655668 -141.971916623
18 	 -40.1999208862 -143.72984103
19 	 -37.7321118679 -145.375621495
20 	 -33.527377605 -144.043844602
21 	 -40.5773335746 -142.266948813
22 	 19.3039983707 -13.2218294729
23 	 22.5205708415 -30.7749348486
24 	 11.1074130523 6.20378882039
25 	 19.3039983707 -13.2218294729
26 	 135.860778529 95.2864723585
27 	 139.69813783 76.8561322468
28 	 156.249652748 104.808312667
29 	 135.860778529 95.2864723585
30 	 -0.0422352864853 -1.49406491068
31 	 -0.301711161095 -0.413507561884
32 	 13.4532261678 -2.380726799
33 	 -0.810593779833 -5.52071210923
34 	 -0.0422352864853 -1.49406491068
35 	 -94.0405822811 2.62313271126
36 	 -103.838523758 6.28916779135
37 	 -94.0405822811 2.62313271126
38 	 107.750829116 20.4051121639
39 	 104.676094797 24.0834944737
40 	 110.919313584 34.7076199239
41 	 105.831505933 3.22234232784
42 	 107.550206152 16.20487391
43 	 107.750829116 20.4051121639
44 	 -18.6156767179 73.5312549026
45 	 -12.8665333071 73.4831131216
46 	 -31.1387908237 77.3473679503
47 	 -16.1867015 80.6162402769
48 	 -18.6156767179 73.5312549026
49 	 -70.105908172 -40.7408784988
50 	 -70.0577155057 -40.5614658631
51 	 -69.0242053805 -67.1416973942
52 	 -70.105908172 -40.7408784988
53 	 -43.0361100613 23.7448425949
54 	 -60.7311724174 25.4347690607
55 	 -54.4913856101 18.8344739847
56 	 -38.7941138417 42.4881063796
57 	 -43.0361100613 23.7448425949
58 	 76.4651132975 102.590461035
59 	 80.2040492856 108.835175558
60 	 76.4177675299 101.186825144
61 	 84.1393312464 102.321996444
62 	 73.5372370218 107.567819127
63 	 76.4651132975 102.590461035
64 	 -119.261446257 -85.5500256863
65 	 -117.13553369 -82.8641574322
66 	 -120.940436904 -86.2658138422
67 	 -110.425775813 -88.0530990313
68 	 -103.316027014 -91.6659863825
69 	 -119.261446257 -85.5500256863
70 	 11.0847048952 21.2619977779
71 	 24.1572559978 16.0352481567
72 	 7.43468536723 23.9710483554
73 	 29.541704677 25.5731367246
74 	 11.0847048952 21.2619977779
75 	 86.3353907495 -26.4320256022
76 	 76.0865814849 -20.5012087572
77 	 86.7557276173 -23.3274936038
78 	 86.3353907495 -26.4320256022
79 	 23.5834367244 2.35528429535
80 	 12.0789141209 8.7599698062
81 	 23.660662591 4.10174632408
82 	 23.5834367244 2.35528429535
83 	 -42.0555889393 31.943269377
84 	 -49.6265854284 2.34531252346
85 	 -42.0555889393 31.943269377
86 	 -1.51597859442 -3.83006580382
87 	 28.6697569246 21.0982710656
88 	 -1.51597859442 -3.83006580382
89 	 -148.408668903 -72.871547394
