General parameters 

40 169 720 750


Customer schedules 

0 0	0 [0,720]	
1 69	1 [0,37]	2 [88,320]	3 [375,394]	4 [440,720]	
2 60	5 [0,16]	6 [49,86]	7 [119,241]	8 [242,672]	9 [673,720]	
3 90	10 [0,195]	11 [217,260]	12 [315,316]	13 [350,622]	14 [625,720]	
4 49	15 [0,104]	16 [125,162]	17 [189,268]	18 [295,452]	19 [487,720]	
5 29	20 [0,70]	21 [106,201]	22 [248,299]	23 [331,388]	24 [409,720]	
6 60	25 [0,45]	26 [82,89]	27 [120,354]	28 [384,720]	
7 43	29 [0,53]	30 [79,156]	31 [220,276]	32 [324,343]	33 [352,720]	
8 78	34 [0,106]	35 [152,199]	36 [250,373]	37 [392,720]	
9 71	38 [0,149]	39 [192,302]	40 [364,411]	41 [444,720]	
10 64	42 [0,37]	43 [40,44]	44 [76,145]	45 [177,437]	46 [468,537]	47 [570,720]	
11 27	48 [0,116]	49 [142,233]	50 [304,350]	51 [403,720]	
12 53	52 [0,68]	53 [142,292]	54 [366,720]	
13 69	55 [0,178]	56 [231,334]	57 [387,720]	
14 41	58 [0,33]	59 [46,73]	60 [78,296]	61 [312,425]	62 [466,547]	63 [581,720]	
15 59	64 [0,210]	65 [254,301]	66 [345,720]	
16 39	67 [0,192]	68 [196,262]	69 [291,399]	70 [412,474]	71 [486,496]	72 [505,720]	
17 11	73 [0,311]	74 [362,530]	75 [581,720]	
18 44	76 [0,84]	77 [121,136]	78 [168,295]	79 [320,390]	80 [435,720]	
19 79	81 [0,720]	
20 35	82 [0,84]	83 [123,235]	84 [291,362]	85 [386,421]	86 [465,720]	
21 45	87 [0,265]	88 [277,386]	89 [426,533]	90 [574,621]	91 [623,720]	
22 42	92 [0,147]	93 [183,356]	94 [391,616]	95 [621,720]	
23 67	96 [0,132]	97 [161,207]	98 [243,249]	99 [286,720]	
24 60	100 [0,51]	101 [125,201]	102 [275,720]	
25 50	103 [0,12]	104 [47,160]	105 [203,332]	106 [391,413]	107 [451,474]	108 [489,720]	
26 70	109 [0,10]	110 [55,80]	111 [111,178]	112 [207,720]	
27 58	113 [0,212]	114 [248,298]	115 [345,582]	116 [611,621]	117 [639,720]	
28 40	118 [0,720]	
29 47	119 [0,139]	120 [198,455]	121 [559,576]	122 [627,720]	
30 45	123 [0,120]	124 [191,445]	125 [516,720]	
31 43	126 [0,346]	127 [375,495]	128 [524,720]	
32 41	129 [0,90]	130 [119,130]	131 [161,320]	132 [368,426]	133 [453,720]	
33 39	134 [0,86]	135 [107,377]	136 [407,514]	137 [543,574]	138 [614,631]	139 [645,720]	
34 61	140 [0,81]	141 [95,272]	142 [293,399]	143 [440,486]	144 [526,645]	145 [658,720]	
35 39	146 [0,720]	
36 53	147 [0,193]	148 [263,300]	149 [370,720]	
37 35	150 [0,82]	151 [88,290]	152 [312,323]	153 [378,460]	154 [496,720]	
38 62	155 [0,227]	156 [230,257]	157 [310,313]	158 [368,720]	
39 22	159 [0,218]	160 [257,375]	161 [424,526]	162 [534,541]	163 [553,720]	
40 72	164 [0,27]	165 [63,339]	166 [371,381]	167 [386,720]	
41 0	168 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 75.4094853128 -85.9650565955
2 	 63.5849749267 -63.5483498431
3 	 90.5772367301 -68.642885217
4 	 75.4094853128 -85.9650565955
5 	 -4.55830604813 166.01098412
6 	 10.9343984505 159.744456659
7 	 -4.56319525365 166.010658548
8 	 -4.52054676623 165.477357654
9 	 -4.55830604813 166.01098412
10 	 46.762484461 -79.8026793167
11 	 36.2011889188 -77.1936198789
12 	 58.4114788387 -93.1003908295
13 	 48.1329395795 -79.776032397
14 	 46.762484461 -79.8026793167
15 	 10.2704881124 -5.14869310638
16 	 5.07478490796 3.96496249649
17 	 2.84989600528 -9.11076517618
18 	 -5.77642283279 1.44915826242
19 	 10.2704881124 -5.14869310638
20 	 65.7416394572 -8.70471054994
21 	 81.632090282 -17.281805722
22 	 61.9847543431 -4.30890858913
23 	 67.5510453872 -19.2534699114
24 	 65.7416394572 -8.70471054994
25 	 -31.0629238727 -75.9936394155
26 	 -17.1170874412 -64.038955593
27 	 -16.4396269448 -79.5420594511
28 	 -31.0629238727 -75.9936394155
29 	 -17.1403334885 -10.3106599742
30 	 -6.96190120512 -2.29931104568
31 	 -35.7571103968 -16.3974099467
32 	 -12.7701981554 -9.61624855877
33 	 -17.1403334885 -10.3106599742
34 	 -20.9697403117 20.8998841498
35 	 -10.4130758569 0.233871112539
36 	 -29.5507448347 17.2898244051
37 	 -20.9697403117 20.8998841498
38 	 77.828980641 -20.5703458109
39 	 87.5110650546 -1.52639425294
40 	 61.3407371211 -18.4388167972
41 	 77.828980641 -20.5703458109
42 	 134.708713453 -59.6544996172
43 	 134.794271821 -58.0520123599
44 	 118.694557578 -56.0946510552
45 	 134.509184908 -58.9534636807
46 	 134.500236015 -43.373869513
47 	 134.708713453 -59.6544996172
48 	 -14.5388918632 117.886508681
49 	 -2.13142729853 114.13549814
50 	 -35.7683227121 102.245770987
51 	 -14.5388918632 117.886508681
52 	 42.6555692334 119.033314
53 	 74.6164331498 138.096163004
54 	 42.6555692334 119.033314
55 	 57.7102351638 -66.7769535765
56 	 83.1889133199 -73.2704741269
57 	 57.7102351638 -66.7769535765
58 	 -140.899419977 -66.2227556532
59 	 -145.620905252 -70.5765042647
60 	 -144.298620473 -68.6894137157
61 	 -140.696558555 -61.6512825558
62 	 -153.502816514 -77.7745160635
63 	 -140.899419977 -66.2227556532
64 	 -111.207912231 -26.4916655857
65 	 -104.768310858 -47.4537294593
66 	 -111.207912231 -26.4916655857
67 	 -2.72899757328 56.0810732518
68 	 -2.14627578164 54.0629708744
69 	 -15.879897172 49.7328442402
70 	 -10.6550806049 53.5259779048
71 	 -4.71791521445 52.2237885845
72 	 -2.72899757328 56.0810732518
73 	 -41.0050656669 -11.6475470442
74 	 -15.5895417402 -12.8275554058
75 	 -41.0050656669 -11.6475470442
76 	 15.7108806206 172.645906961
77 	 16.3429855012 191.307189876
78 	 31.2605763352 185.497756313
79 	 37.9474079276 174.716239389
80 	 15.7108806206 172.645906961
81 	 -20.3248865352 -45.8102121124
82 	 146.674245759 18.4028938925
83 	 127.444744206 16.7398893954
84 	 155.043620017 12.9239672456
85 	 165.607886394 7.50305482227
86 	 146.674245759 18.4028938925
