General parameters 

40 155 720 750


Customer schedules 

0 0	0 [0,720]	
1 37	1 [0,126]	2 [138,243]	3 [253,585]	4 [590,720]	
2 54	5 [0,720]	
3 72	6 [0,421]	7 [433,602]	8 [620,622]	9 [633,720]	
4 46	10 [0,161]	11 [183,223]	12 [245,493]	13 [521,720]	
5 42	14 [0,219]	15 [264,457]	16 [483,506]	17 [538,639]	18 [647,720]	
6 24	19 [0,720]	
7 59	20 [0,102]	21 [105,344]	22 [385,408]	23 [448,720]	
8 45	24 [0,322]	25 [327,418]	26 [439,443]	27 [445,534]	28 [560,720]	
9 35	29 [0,30]	30 [41,202]	31 [233,563]	32 [593,612]	33 [623,720]	
10 70	34 [0,20]	35 [33,218]	36 [257,448]	37 [478,720]	
11 77	38 [0,94]	39 [126,147]	40 [192,338]	41 [362,720]	
12 47	42 [0,222]	43 [255,319]	44 [363,533]	45 [545,579]	46 [593,600]	47 [622,720]	
13 54	48 [0,5]	49 [11,255]	50 [261,720]	
14 39	51 [0,24]	52 [28,277]	53 [313,343]	54 [408,448]	55 [481,510]	56 [510,720]	
15 32	57 [0,265]	58 [302,378]	59 [447,458]	60 [501,548]	61 [554,720]	
16 23	62 [0,720]	
17 52	63 [0,5]	64 [48,75]	65 [80,122]	66 [163,720]	
18 60	67 [0,45]	68 [99,195]	69 [249,720]	
19 49	70 [0,33]	71 [89,474]	72 [518,621]	73 [635,720]	
20 19	74 [0,44]	75 [62,157]	76 [187,230]	77 [250,495]	78 [532,611]	79 [646,720]	
21 48	80 [0,13]	81 [75,219]	82 [281,720]	
22 49	83 [0,307]	84 [333,335]	85 [380,465]	86 [486,720]	
23 59	87 [0,37]	88 [48,311]	89 [339,442]	90 [458,509]	91 [540,566]	92 [576,720]	
24 73	93 [0,104]	94 [139,144]	95 [177,203]	96 [229,291]	97 [305,720]	
25 70	98 [0,720]	
26 57	99 [0,121]	100 [132,153]	101 [183,260]	102 [304,304]	103 [354,538]	104 [562,720]	
27 44	105 [0,720]	
28 64	106 [0,10]	107 [26,37]	108 [45,197]	109 [218,246]	110 [255,434]	111 [440,720]	
29 49	112 [0,155]	113 [172,208]	114 [222,321]	115 [332,347]	116 [375,405]	117 [436,720]	
30 45	118 [0,61]	119 [64,99]	120 [116,162]	121 [182,495]	122 [521,543]	123 [569,720]	
31 66	124 [0,720]	
32 31	125 [0,3]	126 [20,50]	127 [75,135]	128 [164,275]	129 [308,313]	130 [316,720]	
33 73	131 [0,83]	132 [156,289]	133 [362,720]	
34 68	134 [0,720]	
35 36	135 [0,29]	136 [76,175]	137 [274,279]	138 [335,720]	
36 60	139 [0,720]	
37 50	140 [0,3]	141 [76,148]	142 [221,720]	
38 40	143 [0,142]	144 [150,161]	145 [169,720]	
39 29	146 [0,25]	147 [61,264]	148 [300,720]	
40 56	149 [0,68]	150 [82,197]	151 [217,270]	152 [281,465]	153 [487,720]	
41 0	154 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -107.841070345 -66.3503094239
2 	 -113.767107465 -66.0842590442
3 	 -108.855502512 -64.3132845674
4 	 -107.841070345 -66.3503094239
5 	 55.0341399555 159.2109749
6 	 -131.727707422 38.4823022014
7 	 -127.538586339 33.8616503845
8 	 -136.286330563 35.291882317
9 	 -131.727707422 38.4823022014
10 	 27.4210499741 78.8747997595
11 	 17.8912908662 83.9300413058
12 	 24.5384929644 92.5719389675
13 	 27.4210499741 78.8747997595
14 	 66.2061342781 -97.3026870433
15 	 87.140993799 -89.240909412
16 	 74.4125444908 -87.8449075697
17 	 62.0553506317 -98.0197675977
18 	 66.2061342781 -97.3026870433
19 	 -98.075474744 14.6645025199
20 	 132.350573379 54.6421957078
21 	 131.172411807 55.1194909853
22 	 147.205281469 68.011508296
23 	 132.350573379 54.6421957078
24 	 -65.8185305763 53.1026630996
25 	 -68.2746065908 53.0418431358
26 	 -76.4057173657 46.5256424075
27 	 -77.2305366845 46.4811017395
28 	 -65.8185305763 53.1026630996
29 	 -4.88121500459 20.3681066861
30 	 -9.65453546112 23.3698072073
31 	 2.08717132436 33.2937793776
32 	 -9.09829338153 23.5577100172
33 	 -4.88121500459 20.3681066861
34 	 -92.4669839018 -128.563468629
35 	 -86.3180868458 -130.826593481
36 	 -104.599353504 -137.005162794
37 	 -92.4669839018 -128.563468629
38 	 -137.464993898 -22.1670190452
39 	 -130.614060299 -36.4924086214
40 	 -149.36350016 -24.5099703695
41 	 -137.464993898 -22.1670190452
42 	 85.3205606535 -142.601439144
43 	 101.464532276 -138.313622997
44 	 80.2796078333 -145.019530554
45 	 84.4305130808 -149.284841504
46 	 91.172379656 -151.661262207
47 	 85.3205606535 -142.601439144
48 	 -59.1507525754 151.065376554
49 	 -61.4387469151 149.374365748
50 	 -59.1507525754 151.065376554
51 	 -24.2004453078 -169.585216609
52 	 -22.3461796318 -170.58264254
53 	 -32.7425421298 -156.035598172
54 	 -14.0201428948 -182.807096071
55 	 -24.1635936823 -169.7231253
56 	 -24.2004453078 -169.585216609
57 	 3.99845288438 8.51958603149
58 	 22.4606701648 9.6910649478
59 	 -8.18020568 -6.54142690761
60 	 3.50151158268 11.2488390816
61 	 3.99845288438 8.51958603149
62 	 -155.427345821 -40.2392335115
63 	 4.76640341641 -13.8729454145
64 	 -16.4641941354 -17.1543340742
65 	 -15.5178041686 -14.8484735195
66 	 4.76640341641 -13.8729454145
67 	 -151.708760853 7.03712628475
68 	 -135.688607888 28.4978065577
69 	 -151.708760853 7.03712628475
70 	 33.4471901234 -126.383758924
71 	 48.0385765172 -102.606526453
72 	 39.638226464 -123.006184462
73 	 33.4471901234 -126.383758924
74 	 -4.94004733849 122.384317078
75 	 2.75978655701 127.482371226
76 	 -11.9098200581 124.62165854
77 	 -2.23136788122 121.48241278
78 	 -5.54626495823 139.929341335
79 	 -4.94004733849 122.384317078
80 	 -20.3506912469 138.958879549
81 	 -24.7090668563 169.646176688
