General parameters 

40 163 720 750


Customer schedules 

0 0	0 [0,720]	
1 101	1 [0,212]	2 [242,424]	3 [444,470]	4 [495,550]	5 [566,614]	6 [627,720]	
2 62	7 [0,201]	8 [229,328]	9 [387,390]	10 [436,502]	11 [536,720]	
3 51	12 [0,217]	13 [248,476]	14 [504,559]	15 [577,611]	16 [624,646]	17 [651,720]	
4 48	18 [0,3]	19 [10,147]	20 [185,231]	21 [265,720]	
5 55	22 [0,24]	23 [29,45]	24 [50,720]	
6 42	25 [0,234]	26 [272,483]	27 [497,612]	28 [648,720]	
7 51	29 [0,720]	
8 84	30 [0,61]	31 [72,92]	32 [127,161]	33 [178,219]	34 [257,720]	
9 38	35 [0,26]	36 [43,79]	37 [121,302]	38 [316,447]	39 [469,720]	
10 55	40 [0,209]	41 [236,324]	42 [337,460]	43 [475,720]	
11 41	44 [0,29]	45 [60,237]	46 [290,317]	47 [362,720]	
12 40	48 [0,65]	49 [94,371]	50 [377,400]	51 [454,487]	52 [526,720]	
13 42	53 [0,98]	54 [140,422]	55 [510,559]	56 [606,720]	
14 62	57 [0,276]	58 [308,405]	59 [437,445]	60 [458,487]	61 [526,537]	62 [562,720]	
15 27	63 [0,720]	
16 46	64 [0,66]	65 [86,192]	66 [194,372]	67 [410,478]	68 [520,720]	
17 75	69 [0,149]	70 [172,199]	71 [222,260]	72 [283,323]	73 [345,358]	74 [380,720]	
18 70	75 [0,81]	76 [89,120]	77 [149,357]	78 [410,488]	79 [530,659]	80 [669,720]	
19 31	81 [0,49]	82 [81,237]	83 [269,375]	84 [441,442]	85 [477,597]	86 [602,720]	
20 57	87 [0,720]	
21 92	88 [0,720]	
22 64	89 [0,55]	90 [91,105]	91 [138,183]	92 [229,308]	93 [345,720]	
23 56	94 [0,98]	95 [123,218]	96 [237,477]	97 [517,612]	98 [613,631]	99 [646,720]	
24 68	100 [0,50]	101 [80,135]	102 [165,282]	103 [324,334]	104 [375,720]	
25 50	105 [0,70]	106 [98,263]	107 [310,379]	108 [398,720]	
26 57	109 [0,223]	110 [267,394]	111 [438,720]	
27 44	112 [0,69]	113 [104,133]	114 [186,312]	115 [352,443]	116 [469,720]	
28 78	117 [0,1]	118 [4,68]	119 [122,245]	120 [297,720]	
29 56	121 [0,189]	122 [210,342]	123 [390,434]	124 [467,720]	
30 84	125 [0,720]	
31 69	126 [0,290]	127 [331,355]	128 [408,466]	129 [483,505]	130 [507,720]	
32 39	131 [0,720]	
33 39	132 [0,68]	133 [75,150]	134 [193,382]	135 [424,720]	
34 46	136 [0,4]	137 [33,222]	138 [251,543]	139 [567,599]	140 [626,720]	
35 28	141 [0,136]	142 [184,440]	143 [490,586]	144 [605,720]	
36 60	145 [0,11]	146 [36,48]	147 [103,124]	148 [154,374]	149 [397,428]	150 [451,720]	
37 59	151 [0,62]	152 [98,124]	153 [160,720]	
38 40	154 [0,101]	155 [189,317]	156 [405,720]	
39 38	157 [0,720]	
40 68	158 [0,145]	159 [201,293]	160 [362,491]	161 [528,720]	
41 0	162 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 38.333133169 -39.6509687728
2 	 48.1377300867 -50.7230482852
3 	 47.7180729747 -40.8426486734
4 	 35.4995053954 -43.8032592919
5 	 43.6526090285 -43.6945175565
6 	 38.333133169 -39.6509687728
7 	 96.1528932282 144.531121171
8 	 109.39688742 148.607512035
9 	 83.6922070052 133.904217136
10 	 84.8800336543 157.024517714
11 	 96.1528932282 144.531121171
12 	 -18.9729090425 -5.42218611235
13 	 -5.17875990456 -12.2653047648
14 	 -15.9249024446 -21.4847345504
15 	 -15.2154520169 -12.3343616589
16 	 -19.8509656145 -7.50990799312
17 	 -18.9729090425 -5.42218611235
18 	 2.60589097071 -0.725516265955
19 	 -0.794592793112 0.597020364831
20 	 4.89447584035 -17.7090555133
21 	 2.60589097071 -0.725516265955
22 	 -167.633391414 19.1762319081
23 	 -169.775586606 17.7610044298
24 	 -167.633391414 19.1762319081
25 	 50.3982871166 55.6812313452
26 	 54.1438450614 74.1063200274
27 	 47.0219300038 73.2584988421
28 	 50.3982871166 55.6812313452
29 	 -131.201211426 64.1510589287
30 	 -29.9306823601 30.292319018
31 	 -25.1306586071 32.8862591352
32 	 -29.1480592598 15.6642505944
33 	 -21.0769478418 13.64021198
34 	 -29.9306823601 30.292319018
35 	 20.0560141182 -18.8183234645
36 	 21.4806335972 -10.5001368414
37 	 8.36995310002 -26.9165140483
38 	 9.07694308734 -20.1657338932
39 	 20.0560141182 -18.8183234645
40 	 -28.5147105408 -13.6307205195
41 	 -21.8179615486 -1.77733533703
42 	 -25.1485003394 -7.06854703868
43 	 -28.5147105408 -13.6307205195
44 	 -30.7273657938 -19.6361817887
45 	 -45.3448357687 -15.0795260231
46 	 -39.0170082103 -40.8147675698
47 	 -30.7273657938 -19.6361817887
48 	 78.3531137654 -31.3352088091
49 	 92.5114112849 -33.2986237363
50 	 91.1329041706 -36.126468721
51 	 79.95279712 -11.7926175909
52 	 78.3531137654 -31.3352088091
53 	 2.65147839625 16.9694541095
54 	 9.37787831358 36.6461966726
55 	 -7.27744904205 -4.21751932136
56 	 2.65147839625 16.9694541095
57 	 33.3944868847 -133.337498959
58 	 18.765535221 -140.176513893
59 	 30.7740623484 -129.724487522
60 	 26.5885758875 -134.837548889
61 	 45.9752630412 -132.422453873
62 	 33.3944868847 -133.337498959
63 	 7.65859864643 -40.9087295035
64 	 -16.4741014031 -13.0757645492
65 	 -23.0080882616 -5.53992457698
66 	 -23.8558155677 -4.98401305714
67 	 -36.6879036403 -18.7022439923
68 	 -16.4741014031 -13.0757645492
69 	 141.662563611 106.407688199
70 	 131.801526199 100.706714115
71 	 141.554049096 94.7506180688
72 	 134.689086857 103.872671841
73 	 141.228750689 95.2945509809
74 	 141.662563611 106.407688199
75 	 -46.2109675018 65.2729306916
76 	 -44.2473868996 61.8949503098
77 	 -56.2796095569 69.888944057
78 	 -29.8755644199 65.7241110795
79 	 -50.9870801728 67.3067869541
80 	 -46.2109675018 65.2729306916
81 	 81.0609469376 -71.0361178517
82 	 88.6203349145 -84.9920558949
83 	 98.7969513694 -72.351174001
