General parameters 

40 161 720 750


Customer schedules 

0 0	0 [0,720]	
1 50	1 [0,720]	
2 44	2 [0,261]	3 [289,332]	4 [360,720]	
3 39	5 [0,42]	6 [78,371]	7 [443,451]	8 [556,720]	
4 68	9 [0,720]	
5 60	10 [0,10]	11 [15,53]	12 [75,111]	13 [146,149]	14 [187,402]	15 [451,720]	
6 39	16 [0,720]	
7 66	17 [0,37]	18 [123,147]	19 [220,388]	20 [426,515]	21 [554,720]	
8 60	22 [0,6]	23 [102,112]	24 [181,424]	25 [462,720]	
9 54	26 [0,56]	27 [99,102]	28 [116,297]	29 [314,503]	30 [545,720]	
10 61	31 [0,720]	
11 25	32 [0,103]	33 [157,170]	34 [183,480]	35 [523,720]	
12 47	36 [0,116]	37 [164,272]	38 [289,381]	39 [409,469]	40 [542,720]	
13 55	41 [0,225]	42 [258,382]	43 [391,417]	44 [433,440]	45 [449,506]	46 [535,720]	
14 88	47 [0,720]	
15 84	48 [0,32]	49 [80,128]	50 [151,287]	51 [311,330]	52 [406,720]	
16 36	53 [0,156]	54 [213,331]	55 [399,410]	56 [442,512]	57 [587,720]	
17 32	58 [0,36]	59 [60,179]	60 [192,304]	61 [336,362]	62 [404,425]	63 [496,720]	
18 46	64 [0,720]	
19 17	65 [0,157]	66 [196,256]	67 [275,331]	68 [359,497]	69 [506,581]	70 [599,720]	
20 44	71 [0,102]	72 [177,353]	73 [372,477]	74 [533,720]	
21 46	75 [0,63]	76 [148,340]	77 [425,720]	
22 53	78 [0,31]	79 [68,80]	80 [84,187]	81 [198,498]	82 [542,720]	
23 61	83 [0,150]	84 [221,226]	85 [289,362]	86 [475,720]	
24 48	87 [0,206]	88 [240,299]	89 [331,384]	90 [423,533]	91 [544,609]	92 [644,720]	
25 66	93 [0,58]	94 [73,188]	95 [244,393]	96 [423,477]	97 [479,598]	98 [634,720]	
26 62	99 [0,146]	100 [227,338]	101 [362,389]	102 [446,720]	
27 50	103 [0,330]	104 [386,398]	105 [423,436]	106 [492,720]	
28 53	107 [0,302]	108 [345,374]	109 [414,575]	110 [579,720]	
29 50	111 [0,167]	112 [212,361]	113 [397,449]	114 [524,527]	115 [563,720]	
30 34	116 [0,198]	117 [227,227]	118 [246,360]	119 [371,373]	120 [407,439]	121 [460,720]	
31 56	122 [0,252]	123 [340,342]	124 [430,720]	
32 58	125 [0,120]	126 [165,207]	127 [227,249]	128 [308,720]	
33 79	129 [0,720]	
34 19	130 [0,146]	131 [268,464]	132 [586,720]	
35 54	133 [0,138]	134 [185,320]	135 [367,720]	
36 62	136 [0,720]	
37 50	137 [0,17]	138 [46,115]	139 [141,198]	140 [228,277]	141 [307,633]	142 [681,720]	
38 38	143 [0,29]	144 [111,241]	145 [278,337]	146 [378,529]	147 [580,720]	
39 53	148 [0,77]	149 [114,168]	150 [177,237]	151 [255,399]	152 [432,501]	153 [552,720]	
40 73	154 [0,29]	155 [82,137]	156 [143,335]	157 [355,528]	158 [576,674]	159 [683,720]	
41 0	160 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 15.619653595 -1.04632746805
2 	 -14.1146778606 29.1684361917
3 	 -0.400565107899 30.7590061988
4 	 -14.1146778606 29.1684361917
5 	 37.952106248 -47.8040071395
6 	 37.8950904234 -29.6952062431
7 	 19.3255146369 1.42562508848
8 	 37.952106248 -47.8040071395
9 	 -131.449110849 -101.513929737
10 	 71.3097063159 68.2555170764
11 	 69.5180158458 69.6957603845
12 	 65.3145551043 59.3550561381
13 	 58.5930941705 43.004201076
14 	 48.5089096612 59.1443537241
15 	 71.3097063159 68.2555170764
16 	 87.3510775401 43.3279873381
17 	 -102.921370183 -32.0428896265
18 	 -59.9007893227 -28.608935903
19 	 -90.7672404711 -9.59318546661
20 	 -84.2091576336 -27.5105680744
21 	 -102.921370183 -32.0428896265
22 	 -68.8784189478 -83.9970781334
23 	 -35.1417768731 -50.1894289274
24 	 -66.0419429654 -65.375734354
25 	 -68.8784189478 -83.9970781334
26 	 -60.8960458326 164.848398044
27 	 -55.852927562 144.06290684
28 	 -61.7800248012 148.008846123
29 	 -53.5192954599 145.327740884
30 	 -60.8960458326 164.848398044
31 	 76.5992377182 60.2022957382
32 	 12.2425736482 163.478415348
33 	 15.6316247628 136.875867536
34 	 17.6100332855 142.807050818
35 	 12.2425736482 163.478415348
36 	 78.8065312527 127.274017778
37 	 75.4357026666 103.263134015
38 	 68.0866786807 107.204856508
39 	 62.5930348176 94.4692507165
40 	 78.8065312527 127.274017778
41 	 -147.540344467 13.3109634515
42 	 -132.701160086 20.4601023318
43 	 -137.373132819 20.0518635815
44 	 -129.255405338 18.8747600675
45 	 -133.624632361 17.8940325473
46 	 -147.540344467 13.3109634515
47 	 -112.478385309 93.9432924315
48 	 18.5438585521 56.5323455337
49 	 18.0758953234 32.7495178234
50 	 6.61794093211 31.6691424115
51 	 8.49407624315 19.902724242
52 	 18.5438585521 56.5323455337
53 	 -72.0794278364 -106.287196937
54 	 -72.7211239127 -78.0181752381
55 	 -47.1605955028 -100.097684229
56 	 -41.3839935194 -85.1751969356
57 	 -72.0794278364 -106.287196937
58 	 63.2844602156 5.31907644728
59 	 54.8446507919 -3.40591925008
60 	 57.0890357897 -9.55372310816
61 	 48.7510836844 4.32691621772
62 	 28.3537042608 0.220904891722
63 	 63.2844602156 5.31907644728
64 	 -8.15555639854 67.2958700704
65 	 -4.86988064947 -28.3092970538
66 	 -1.76287437344 -9.02116169119
67 	 4.44174069316 -16.1820658221
68 	 -7.49611192703 -23.912555157
69 	 -11.3116214002 -21.8173077476
70 	 -4.86988064947 -28.3092970538
71 	 -34.1000505948 83.4422712068
72 	 -20.0050412683 48.8244158916
73 	 -24.586870163 57.2600098758
74 	 -34.1000505948 83.4422712068
75 	 -23.3831671371 -5.80165927946
76 	 6.76586820394 -35.8784170615
77 	 -23.3831671371 -5.80165927946
78 	 58.6101949592 5.17484201622
79 	 40.2737815344 6.10371828785
80 	 40.96099044 4.07669046812
81 	 36.9034958854 7.49782857576
82 	 58.6101949592 5.17484201622
83 	 35.8418934186 -149.723783126
