General parameters 

40 164 720 750


Customer schedules 

0 0	0 [0,720]	
1 57	1 [0,5]	2 [10,27]	3 [57,66]	4 [96,239]	5 [272,498]	6 [533,720]	
2 37	7 [0,125]	8 [171,319]	9 [344,372]	10 [393,502]	11 [578,720]	
3 45	12 [0,229]	13 [281,292]	14 [344,720]	
4 33	15 [0,89]	16 [104,209]	17 [224,291]	18 [320,413]	19 [439,720]	
5 83	20 [0,134]	21 [205,334]	22 [388,515]	23 [606,720]	
6 75	24 [0,133]	25 [169,235]	26 [263,289]	27 [326,609]	28 [653,720]	
7 35	29 [0,106]	30 [141,217]	31 [246,269]	32 [295,720]	
8 55	33 [0,122]	34 [178,289]	35 [347,614]	36 [672,720]	
9 37	37 [0,720]	
10 64	38 [0,49]	39 [94,267]	40 [312,720]	
11 84	41 [0,6]	42 [162,398]	43 [554,720]	
12 54	44 [0,152]	45 [185,248]	46 [289,325]	47 [388,720]	
13 48	48 [0,223]	49 [272,331]	50 [344,354]	51 [365,436]	52 [449,458]	53 [497,720]	
14 53	54 [0,134]	55 [245,286]	56 [397,720]	
15 39	57 [0,2]	58 [44,340]	59 [374,443]	60 [505,539]	61 [553,563]	62 [617,720]	
16 68	63 [0,41]	64 [134,324]	65 [417,720]	
17 36	66 [0,285]	67 [351,413]	68 [460,521]	69 [551,660]	70 [703,720]	
18 54	71 [0,720]	
19 34	72 [0,176]	73 [189,218]	74 [231,720]	
20 57	75 [0,8]	76 [65,318]	77 [338,432]	78 [438,530]	79 [550,573]	80 [631,720]	
21 82	81 [0,145]	82 [172,187]	83 [207,430]	84 [442,511]	85 [546,635]	86 [657,720]	
22 28	87 [0,2]	88 [39,74]	89 [122,325]	90 [338,541]	91 [562,611]	92 [640,720]	
23 60	93 [0,51]	94 [105,198]	95 [245,351]	96 [389,499]	97 [545,720]	
24 47	98 [0,30]	99 [57,57]	100 [89,135]	101 [152,211]	102 [229,484]	103 [501,720]	
25 67	104 [0,4]	105 [81,222]	106 [288,481]	107 [542,720]	
26 61	108 [0,24]	109 [92,151]	110 [186,445]	111 [487,593]	112 [639,720]	
27 38	113 [0,8]	114 [45,102]	115 [109,490]	116 [504,570]	117 [576,636]	118 [663,720]	
28 37	119 [0,64]	120 [86,169]	121 [191,325]	122 [355,424]	123 [444,483]	124 [500,720]	
29 16	125 [0,148]	126 [187,268]	127 [272,431]	128 [474,489]	129 [508,533]	130 [590,720]	
30 69	131 [0,77]	132 [124,228]	133 [273,351]	134 [437,720]	
31 60	135 [0,52]	136 [124,241]	137 [313,720]	
32 12	138 [0,32]	139 [113,412]	140 [493,720]	
33 38	141 [0,720]	
34 38	142 [0,720]	
35 80	143 [0,251]	144 [342,486]	145 [536,571]	146 [623,720]	
36 29	147 [0,90]	148 [131,178]	149 [193,384]	150 [387,421]	151 [471,549]	152 [586,720]	
37 56	153 [0,329]	154 [406,408]	155 [447,545]	156 [591,720]	
38 74	157 [0,340]	158 [446,480]	159 [570,633]	160 [703,720]	
39 64	161 [0,720]	
40 25	162 [0,720]	
41 0	163 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 142.181504986 -68.2881114167
2 	 139.707457286 -69.0898897068
3 	 138.151012921 -54.0858624799
4 	 124.502670148 -48.4912637262
5 	 125.004513009 -65.1423533099
6 	 142.181504986 -68.2881114167
7 	 37.6896258306 -167.243635582
8 	 33.1300080369 -144.479762953
9 	 25.6941356327 -134.289170418
10 	 15.6571005174 -136.532875619
11 	 37.6896258306 -167.243635582
12 	 52.592674244 101.061257724
13 	 26.8386746899 99.9770291946
14 	 52.592674244 101.061257724
15 	 13.6061475492 14.1729876081
16 	 7.24421830416 10.5372372685
17 	 12.4027883539 15.7338642772
18 	 24.4874022699 7.45219706427
19 	 13.6061475492 14.1729876081
20 	 -13.1934359627 75.6894269724
21 	 -31.1975099021 45.2324345657
22 	 -8.88023929556 30.3065861006
23 	 -13.1934359627 75.6894269724
24 	 25.917676088 84.190133495
25 	 21.5888682502 66.620482047
26 	 9.13865589953 72.8340485387
27 	 24.3475315232 62.2074875646
28 	 25.917676088 84.190133495
29 	 -34.7692044922 12.6370372941
30 	 -19.9401254636 3.54983500512
31 	 -23.0903406953 17.8751016293
32 	 -34.7692044922 12.6370372941
33 	 -121.115372616 80.6218129701
34 	 -93.446883607 75.7319361287
35 	 -111.679217927 53.3358568907
36 	 -121.115372616 80.6218129701
37 	 -160.025766052 -60.9649324445
38 	 14.6352054605 -13.0636310023
39 	 -2.5049382862 1.83270373733
40 	 14.6352054605 -13.0636310023
41 	 -27.9038515516 65.0314639319
42 	 -14.6007227397 -12.0668371319
43 	 -27.9038515516 65.0314639319
44 	 22.8531148523 60.1765062776
45 	 22.1106593034 43.4565398001
46 	 3.11872475303 35.4354540229
47 	 22.8531148523 60.1765062776
48 	 -92.9449973518 87.8928295533
49 	 -74.6295190013 71.5866499823
50 	 -79.3382419185 76.3803852263
51 	 -74.1506268687 74.4393255553
52 	 -80.5954503197 72.8966643202
53 	 -92.9449973518 87.8928295533
54 	 24.3961323593 74.0589822916
55 	 -26.9424351611 52.7272294075
56 	 24.3961323593 74.0589822916
57 	 39.9666189137 -103.866754767
58 	 31.4751808046 -84.7986476434
59 	 27.4999521578 -101.12290951
60 	 43.2701057095 -74.5892674932
61 	 48.9889928684 -78.4953197482
62 	 39.9666189137 -103.866754767
63 	 -42.6810842989 -50.1108132934
64 	 3.2727565807 -43.5336932409
65 	 -42.6810842989 -50.1108132934
66 	 19.7770200303 32.0010598602
67 	 0.818488476792 4.7547625249
68 	 3.27479270891 28.0517872472
69 	 8.34071256119 13.6777643503
70 	 19.7770200303 32.0010598602
71 	 4.89777977328 -127.677400313
72 	 -7.65353781797 23.977677146
73 	 -14.0713885265 24.3301780533
74 	 -7.65353781797 23.977677146
75 	 50.7409038202 5.9956732805
76 	 22.2736894699 7.9195216984
77 	 32.2976125675 7.57504486471
78 	 29.4484647694 7.01929610331
79 	 22.8671147023 14.7658372275
80 	 50.7409038202 5.9956732805
81 	 19.5916564615 -33.0117052207
82 	 18.4898324006 -19.4215065465
83 	 10.338575585 -13.2122286243
84 	 15.2124347185 -16.640101985
85 	 8.39945703729 -32.8669188325
86 	 19.5916564615 -33.0117052207
87 	 -1.9356187902 4.0613642581
88 	 7.32113695318 -12.08890485
89 	 -8.16224298713 5.94356504606
90 	 -2.16443115373 9.00975729392
91 	 4.71456607606 16.9108601111
92 	 -1.9356187902 4.0613642581
93 	 -7.3632077259 47.4612458449
94 	 4.81108798298 23.5192228114
95 	 -16.7675482486 33.2921779656
96 	 0.58664354272 25.9860137019
97 	 -7.3632077259 47.4612458449
98 	 -15.8323078162 5.01396245944
99 	 -2.1572128912 5.90528466354
100 	 -17.968623814 4.74016250537
101 	 -11.6097650658 10.4841024306
102 	 -7.94514297716 2.5272062134
103 	 -15.8323078162 5.01396245944
104 	 64.5528012399 -30.6128285661
105 	 28.0617246901 -42.5295412451
106 	 40.2411986768 -11.9492386531
107 	 64.5528012399 -30.6128285661
108 	 -25.9194900976 118.280889361
109 	 -12.2523824923 87.2423584698
110 	 0.118845545517 99.8677912231
111 	 -20.2236154646 95.7717467893
112 	 -25.9194900976 118.280889361
113 	 19.4425443526 143.510341695
114 	 20.4243845769 124.835378194
115 	 17.213908044 125.665794722
116 	 23.6281112069 128.308603788
117 	 20.7983001581 129.874929508
118 	 19.4425443526 143.510341695
119 	 -63.2037986768 -76.1792584421
120 	 -52.0141556503 -75.7818653486
121 	 -47.481574146 -65.6952494571
122 	 -58.2773705016 -75.9734139787
123 	 -63.9960857992 -67.5089997244
124 	 -63.2037986768 -76.1792584421
125 	 -86.2660187357 12.0538452129
126 	 -67.4535370608 6.7416890064
127 	 -67.3932209956 4.6238369969
128 	 -57.1859425148 23.5179069807
129 	 -58.0459230429 14.0610119482
130 	 -86.2660187357 12.0538452129
131 	 61.2267712414 120.520402993
132 	 42.0564766624 106.540448343
133 	 38.6607293921 84.1489161605
134 	 61.2267712414 120.520402993
135 	 152.747804406 14.6397638965
136 	 118.759799349 2.87692079143
137 	 152.747804406 14.6397638965
138 	 85.4490327151 -15.0601610726
139 	 45.7239834509 -6.82287469446
140 	 85.4490327151 -15.0601610726
141 	 6.08337370802 70.3149884211
142 	 -25.8644124642 0.802868609438
143 	 20.5136690992 -112.952582176
144 	 3.93720929909 -70.6220572371
145 	 1.46361590889 -95.4747074725
146 	 20.5136690992 -112.952582176
147 	 -73.4468823351 94.7753887161
148 	 -58.6452240205 80.7853227422
149 	 -55.2128531028 87.528106252
150 	 -53.8343818951 87.3684002748
151 	 -76.3274872211 76.4237673465
152 	 -73.4468823351 94.7753887161
153 	 -68.1533963019 103.279305284
154 	 -69.7124552483 64.7132462234
155 	 -60.5618937882 81.7336092995
156 	 -68.1533963019 103.279305284
157 	 130.022677779 34.6874961194
158 	 76.9966050754 32.3369016666
159 	 112.476123347 4.41732470004
160 	 130.022677779 34.6874961194
161 	 13.1803959116 -69.9735816242
162 	 48.585412478 28.3962203926
163 	 0.0 0.0


Travel time matrix 

(104, 115) 326
(67, 137) 304
(90, 42) 49
(143, 36) 480
(9, 0) 273
(80, 155) 269
(119, 90) 209
(66, 66) 0
(52, 17) 218
(15, 143) 255
(143, 146) 0
(8, 87) 305
(160, 114) 284
(95, 98) 57
(118, 129) 301
(65, 11) 284
(122, 63) 60
(157, 23) 298
(108, 126) 238
(71, 138) 277
(94, 57) 263
