General parameters 

40 143 720 750


Customer schedules 

0 0	0 [0,720]	
1 47	1 [0,44]	2 [88,97]	3 [121,196]	4 [227,277]	5 [311,338]	6 [373,720]	
2 69	7 [0,148]	8 [157,183]	9 [228,360]	10 [375,609]	11 [676,720]	
3 49	12 [0,33]	13 [85,169]	14 [207,224]	15 [245,519]	16 [597,720]	
4 35	17 [0,171]	18 [238,336]	19 [349,471]	20 [541,720]	
5 67	21 [0,120]	22 [190,306]	23 [376,720]	
6 80	24 [0,67]	25 [132,446]	26 [459,516]	27 [593,720]	
7 41	28 [0,313]	29 [351,360]	30 [397,423]	31 [426,720]	
8 38	32 [0,140]	33 [170,189]	34 [191,279]	35 [308,720]	
9 33	36 [0,720]	
10 69	37 [0,720]	
11 40	38 [0,720]	
12 45	39 [0,102]	40 [137,212]	41 [267,367]	42 [386,404]	43 [437,720]	
13 49	44 [0,19]	45 [113,307]	46 [340,493]	47 [554,720]	
14 21	48 [0,203]	49 [235,237]	50 [269,720]	
15 53	51 [0,95]	52 [127,163]	53 [195,374]	54 [385,408]	55 [452,720]	
16 44	56 [0,720]	
17 58	57 [0,720]	
18 41	58 [0,331]	59 [400,406]	60 [425,473]	61 [549,720]	
19 55	62 [0,237]	63 [293,332]	64 [363,520]	65 [535,563]	66 [610,720]	
20 21	67 [0,50]	68 [88,162]	69 [200,720]	
21 34	70 [0,47]	71 [81,180]	72 [188,263]	73 [301,337]	74 [351,398]	75 [433,720]	
22 59	76 [0,720]	
23 51	77 [0,102]	78 [103,120]	79 [123,229]	80 [232,720]	
24 48	81 [0,321]	82 [356,417]	83 [446,514]	84 [527,720]	
25 63	85 [0,58]	86 [115,273]	87 [311,423]	88 [493,720]	
26 39	89 [0,88]	90 [163,311]	91 [348,371]	92 [386,454]	93 [508,720]	
27 31	94 [0,19]	95 [156,261]	96 [398,720]	
28 56	97 [0,51]	98 [126,423]	99 [449,454]	100 [476,487]	101 [548,720]	
29 83	102 [0,720]	
30 89	103 [0,381]	104 [472,525]	105 [616,720]	
31 40	106 [0,42]	107 [82,139]	108 [187,342]	109 [389,399]	110 [469,720]	
32 78	111 [0,720]	
33 22	112 [0,720]	
34 47	113 [0,6]	114 [13,53]	115 [61,186]	116 [198,720]	
35 40	117 [0,720]	
36 40	118 [0,254]	119 [280,345]	120 [410,582]	121 [672,720]	
37 56	122 [0,137]	123 [184,189]	124 [215,367]	125 [384,488]	126 [536,720]	
38 48	127 [0,29]	128 [59,133]	129 [143,178]	130 [216,401]	131 [438,656]	132 [696,720]	
39 48	133 [0,116]	134 [193,409]	135 [483,521]	136 [551,558]	137 [603,720]	
40 33	138 [0,77]	139 [176,313]	140 [404,586]	141 [607,720]	
41 0	142 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -3.52097209371 104.261858128
2 	 -10.4184924661 83.4383454404
3 	 -16.0539626449 94.1469475937
4 	 -6.44383232495 81.9961591977
5 	 7.79043005159 91.1810006535
6 	 -3.52097209371 104.261858128
7 	 128.101123489 40.6225377739
8 	 123.598945813 40.6001133115
9 	 103.543327625 30.795188651
10 	 96.1372960266 31.0635636015
11 	 128.101123489 40.6225377739
12 	 5.60308553107 -39.8340526054
13 	 -16.6549519487 -26.2276976315
14 	 -15.3851817932 -7.3760395845
15 	 -6.12588856723 -2.77471883876
16 	 5.60308553107 -39.8340526054
17 	 62.2744437941 -33.0428268423
18 	 30.5337966993 -22.8716611165
19 	 27.3386893678 -28.4061706669
20 	 62.2744437941 -33.0428268423
21 	 27.091452594 -172.618351511
22 	 11.6565039979 -141.140545104
23 	 27.091452594 -172.618351511
24 	 -40.7245412836 -131.501626831
25 	 -23.3640767507 -104.228195378
26 	 -18.9310391353 -99.6465803575
27 	 -40.7245412836 -131.501626831
28 	 3.81663460521 4.26719104163
29 	 -5.34555702646 20.8669014227
30 	 2.38984722978 3.8738354123
31 	 3.81663460521 4.26719104163
32 	 14.7983377107 -26.257700825
33 	 6.97957703816 -13.3695607237
34 	 7.1349184432 -14.1533236667
35 	 14.7983377107 -26.257700825
36 	 9.77688528866 -36.6563166367
37 	 -29.0932392195 17.9838462021
38 	 2.06782957621 -123.013994332
39 	 -90.3921234595 -2.14466032523
40 	 -74.6128757182 -9.41456485504
41 	 -78.029109767 17.761731778
42 	 -77.9592556608 8.45797721265
43 	 -90.3921234595 -2.14466032523
44 	 47.5354317458 -22.3243157471
45 	 9.87425911641 5.55500077107
46 	 21.6002917099 -6.18729506351
47 	 47.5354317458 -22.3243157471
48 	 -29.8544319938 -39.3464423415
49 	 -21.1983265239 -52.865139715
50 	 -29.8544319938 -39.3464423415
51 	 -42.3370053526 -21.2129901352
52 	 -26.6233136085 -23.4176776312
53 	 -17.5515392418 -10.0676849753
54 	 -22.8599015507 -11.4860536283
55 	 -42.3370053526 -21.2129901352
56 	 -31.4149759505 -28.4550429797
57 	 23.5051098272 8.77493265839
58 	 -16.416529103 154.315055018
59 	 -19.6893182996 119.746175074
60 	 -28.9121049533 118.228733935
61 	 -16.416529103 154.315055018
62 	 -18.1112673521 -76.2825566171
63 	 6.52704337435 -63.3798548426
64 	 -7.65590121547 -57.2797523473
65 	 -14.0016340475 -53.2462783458
66 	 -18.1112673521 -76.2825566171
67 	 25.6818110136 -73.9074712624
68 	 27.9479122128 -54.9544830902
69 	 25.6818110136 -73.9074712624
70 	 130.302336556 -8.65130379596
71 	 122.450514157 6.30282440709
72 	 121.408961615 2.20538989669
73 	 112.917235547 -14.8623803515
74 	 112.640246766 -8.07015653481
