General parameters 

40 146 720 750


Customer schedules 

0 0	0 [0,720]	
1 51	1 [0,34]	2 [183,206]	3 [355,720]	
2 65	4 [0,38]	5 [67,238]	6 [271,289]	7 [295,473]	8 [519,720]	
3 69	9 [0,22]	10 [78,133]	11 [162,318]	12 [338,369]	13 [376,533]	14 [575,720]	
4 62	15 [0,99]	16 [147,164]	17 [198,232]	18 [263,366]	19 [414,529]	20 [591,720]	
5 37	21 [0,58]	22 [65,202]	23 [236,337]	24 [357,375]	25 [396,559]	26 [594,720]	
6 58	27 [0,720]	
7 36	28 [0,720]	
8 50	29 [0,106]	30 [179,399]	31 [435,594]	32 [634,720]	
9 14	33 [0,11]	34 [68,416]	35 [473,720]	
10 30	36 [0,720]	
11 28	37 [0,103]	38 [126,158]	39 [205,391]	40 [400,449]	41 [488,720]	
12 29	42 [0,97]	43 [198,209]	44 [310,720]	
13 66	45 [0,720]	
14 56	46 [0,88]	47 [194,360]	48 [466,720]	
15 57	49 [0,720]	
16 57	50 [0,24]	51 [95,354]	52 [425,720]	
17 65	53 [0,85]	54 [117,129]	55 [184,233]	56 [263,495]	57 [566,720]	
18 54	58 [0,720]	
19 64	59 [0,95]	60 [147,301]	61 [332,411]	62 [427,453]	63 [496,720]	
20 29	64 [0,138]	65 [170,218]	66 [244,257]	67 [263,720]	
21 73	68 [0,141]	69 [195,238]	70 [248,415]	71 [436,473]	72 [512,595]	73 [615,720]	
22 56	74 [0,720]	
23 58	75 [0,720]	
24 53	76 [0,4]	77 [47,145]	78 [162,254]	79 [266,367]	80 [371,396]	81 [426,720]	
25 70	82 [0,19]	83 [26,234]	84 [267,468]	85 [504,515]	86 [535,539]	87 [586,720]	
26 39	88 [0,720]	
27 40	89 [0,88]	90 [216,280]	91 [408,720]	
28 39	92 [0,151]	93 [160,220]	94 [256,262]	95 [294,335]	96 [390,720]	
29 57	97 [0,83]	98 [187,280]	99 [384,720]	
30 36	100 [0,155]	101 [182,184]	102 [199,241]	103 [251,280]	104 [299,385]	105 [455,720]	
31 69	106 [0,213]	107 [273,298]	108 [358,720]	
32 46	109 [0,8]	110 [68,87]	111 [146,377]	112 [419,720]	
33 35	113 [0,720]	
34 63	114 [0,720]	
35 63	115 [0,115]	116 [161,353]	117 [398,498]	118 [525,608]	119 [642,720]	
36 82	120 [0,169]	121 [257,278]	122 [358,434]	123 [493,720]	
37 50	124 [0,218]	125 [258,333]	126 [338,342]	127 [370,427]	128 [488,538]	129 [608,720]	
38 52	130 [0,71]	131 [104,113]	132 [144,193]	133 [251,272]	134 [314,447]	135 [482,720]	
39 60	136 [0,40]	137 [90,104]	138 [205,409]	139 [518,720]	
40 78	140 [0,84]	141 [101,158]	142 [197,232]	143 [276,282]	144 [302,720]	
41 0	145 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 85.0813282028 -149.416014556
2 	 25.2267921579 -104.988830927
3 	 85.0813282028 -149.416014556
4 	 51.8428718578 79.7418469844
5 	 55.2665949601 65.6138966506
6 	 38.7127667677 63.8202865648
7 	 35.7960132911 63.1221028524
8 	 51.8428718578 79.7418469844
9 	 28.6747164307 0.673964001719
10 	 5.0090594779 15.4802429437
11 	 13.4555620526 3.53117640442
12 	 7.49289319792 -4.40012198058
13 	 9.39595405137 -7.27975272877
14 	 28.6747164307 0.673964001719
15 	 58.441695506 37.9357036671
16 	 35.0883064483 43.0884720797
17 	 45.5224757037 29.9189693263
18 	 57.9057249719 20.2590843589
19 	 33.9934892676 19.1214503235
20 	 58.441695506 37.9357036671
21 	 7.30091725929 28.2730794595
22 	 9.65717051634 25.7833368771
23 	 3.60281149061 9.93605450337
24 	 -6.07529982782 11.2437594653
25 	 4.45425602265 11.2291058468
26 	 7.30091725929 28.2730794595
27 	 77.1776558204 -44.0217846128
28 	 -3.07549024228 -19.3605578503
29 	 141.424624063 -0.909621987103
30 	 107.87908247 -15.4678388371
31 	 121.757185908 -4.25765691801
32 	 141.424624063 -0.909621987103
33 	 5.76538719858 53.7197366389
34 	 8.46099762786 25.4062929823
35 	 5.76538719858 53.7197366389
36 	 -64.0861424064 -37.0441338699
37 	 -0.178861923507 4.1729344394
38 	 9.71011227962 9.96388660027
39 	 12.7516907027 -13.4667631435
40 	 8.08646091843 -13.2757799641
41 	 -0.178861923507 4.1729344394
42 	 19.0607337334 -154.943649259
43 	 13.0285895483 -104.606877109
44 	 19.0607337334 -154.943649259
45 	 -153.701243281 -49.7429586258
46 	 -77.2154327805 -89.9409077027
47 	 -32.3183895836 -62.2129737794
48 	 -77.2154327805 -89.9409077027
49 	 27.1039200616 174.666566955
50 	 90.1644432419 12.5704454434
51 	 59.0409612262 -4.75875869666
52 	 90.1644432419 12.5704454434
53 	 -20.7264931969 22.0249031335
54 	 -5.65259077844 27.6003139385
55 	 -11.493916456 0.832357464882
56 	 2.54174280279 -4.97889110935
57 	 -20.7264931969 22.0249031335
58 	 96.0743944393 -87.7636225918
59 	 84.2440435895 136.137192827
60 	 59.3526451095 128.029095715
61 	 71.1297601687 118.103816217
62 	 66.0879922362 124.390461665
63 	 84.2440435895 136.137192827
64 	 8.88012759034 6.40046912064
65 	 -5.82822466816 -0.210190617639
66 	 6.03817831162 5.31742726085
67 	 8.88012759034 6.40046912064
68 	 90.1039937545 -62.3332846178
69 	 70.3290579363 -44.0220949968
70 	 66.0096720411 -46.1029085521
71 	 73.3354914576 -53.6776039633
72 	 92.6449123315 -52.6423401421
73 	 90.1039937545 -62.3332846178
74 	 -45.1323941769 60.0229534246
75 	 28.5317030287 -1.58084447386
76 	 55.4079711428 43.0874934155
77 	 41.9696131573 26.1495158738
