General parameters 

40 175 720 750


Customer schedules 

0 0	0 [0,720]	
1 45	1 [0,13]	2 [47,124]	3 [191,478]	4 [501,537]	5 [603,720]	
2 55	6 [0,123]	7 [160,191]	8 [231,247]	9 [257,288]	10 [335,720]	
3 63	11 [0,85]	12 [96,217]	13 [279,297]	14 [378,437]	15 [468,720]	
4 41	16 [0,21]	17 [51,264]	18 [291,397]	19 [428,472]	20 [483,535]	21 [589,720]	
5 43	22 [0,103]	23 [174,192]	24 [265,343]	25 [388,720]	
6 24	26 [0,100]	27 [199,200]	28 [222,240]	29 [352,720]	
7 56	30 [0,145]	31 [156,339]	32 [351,396]	33 [429,564]	34 [598,720]	
8 32	35 [0,290]	36 [403,549]	37 [662,720]	
9 41	38 [0,69]	39 [121,156]	40 [197,253]	41 [272,482]	42 [521,545]	43 [594,720]	
10 58	44 [0,92]	45 [148,406]	46 [449,496]	47 [535,574]	48 [648,720]	
11 52	49 [0,82]	50 [151,167]	51 [230,513]	52 [630,720]	
12 70	53 [0,44]	54 [99,353]	55 [406,614]	56 [656,679]	57 [696,720]	
13 66	58 [0,125]	59 [186,259]	60 [268,348]	61 [390,457]	62 [484,555]	63 [600,720]	
14 37	64 [0,51]	65 [62,145]	66 [171,235]	67 [262,412]	68 [458,519]	69 [571,720]	
15 45	70 [0,32]	71 [43,154]	72 [179,311]	73 [373,441]	74 [498,720]	
16 42	75 [0,156]	76 [213,287]	77 [346,426]	78 [539,720]	
17 56	79 [0,18]	80 [68,214]	81 [269,421]	82 [445,720]	
18 41	83 [0,239]	84 [312,355]	85 [428,720]	
19 50	86 [0,209]	87 [261,410]	88 [462,720]	
20 52	89 [0,52]	90 [102,120]	91 [142,144]	92 [217,302]	93 [366,720]	
21 60	94 [0,720]	
22 70	95 [0,720]	
23 44	96 [0,27]	97 [101,368]	98 [442,720]	
24 42	99 [0,80]	100 [157,358]	101 [435,720]	
25 34	102 [0,99]	103 [187,200]	104 [288,720]	
26 51	105 [0,12]	106 [82,199]	107 [222,258]	108 [280,530]	109 [584,720]	
27 43	110 [0,355]	111 [394,425]	112 [475,492]	113 [506,525]	114 [591,720]	
28 62	115 [0,720]	
29 59	116 [0,13]	117 [44,55]	118 [87,117]	119 [171,207]	120 [275,720]	
30 24	121 [0,56]	122 [110,320]	123 [379,421]	124 [446,720]	
31 55	125 [0,210]	126 [250,286]	127 [295,358]	128 [374,400]	129 [409,528]	130 [546,720]	
32 86	131 [0,212]	132 [257,398]	133 [443,720]	
33 29	134 [0,34]	135 [100,151]	136 [201,493]	137 [550,720]	
34 34	138 [0,189]	139 [219,337]	140 [376,557]	141 [571,631]	142 [679,720]	
35 34	143 [0,31]	144 [89,93]	145 [134,258]	146 [298,436]	147 [452,547]	148 [576,720]	
36 75	149 [0,121]	150 [168,578]	151 [625,720]	
37 59	152 [0,145]	153 [184,380]	154 [409,457]	155 [474,488]	156 [501,645]	157 [682,720]	
38 52	158 [0,200]	159 [232,303]	160 [311,318]	161 [355,466]	162 [500,565]	163 [600,720]	
39 37	164 [0,96]	165 [165,179]	166 [200,223]	167 [272,720]	
40 44	168 [0,23]	169 [63,191]	170 [203,226]	171 [264,398]	172 [453,612]	173 [626,720]	
41 0	174 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -2.63991661373 -83.2888369047
2 	 -10.7890643986 -68.3709229247
3 	 15.8676037064 -48.3604974972
4 	 4.64712510237 -51.3104486089
5 	 -2.63991661373 -83.2888369047
6 	 125.823113084 -48.6645048086
7 	 124.559313443 -30.172116516
8 	 108.052057716 -41.4661353409
9 	 103.254862725 -41.7945770528
10 	 125.823113084 -48.6645048086
11 	 13.4151937012 -14.5346830324
12 	 18.4900828529 -12.0930651801
13 	 -11.8314732179 -18.6629654386
14 	 27.1051481513 -7.28826153778
15 	 13.4151937012 -14.5346830324
16 	 -40.5773335746 -142.266948813
17 	 -36.8716291663 -127.895100246
18 	 -37.8110471927 -114.377319429
19 	 -25.1298785602 -123.078474479
20 	 -20.0972130774 -124.752280319
21 	 -40.5773335746 -142.266948813
22 	 19.3039983707 -13.2218294729
23 	 6.70326860519 20.1189642659
24 	 -2.98852559594 -14.9619563974
25 	 19.3039983707 -13.2218294729
26 	 135.860778529 95.2864723585
27 	 99.7313317617 61.2197585578
28 	 89.0940618644 64.5160702493
29 	 135.860778529 95.2864723585
30 	 -0.0422352864853 -1.49406491068
31 	 5.45423273303 -1.71088531842
32 	 -0.762388503746 -1.39008691672
33 	 -15.0477358741 6.46988959206
34 	 -0.0422352864853 -1.49406491068
35 	 -94.0405822811 2.62313271126
36 	 -47.4284443014 34.8251870903
37 	 -94.0405822811 2.62313271126
38 	 107.750829116 20.4051121639
39 	 85.8811222789 6.37418770281
40 	 98.3231826011 22.7149451467
41 	 96.1079777034 13.4805377134
42 	 84.6845937476 28.9760832693
43 	 107.750829116 20.4051121639
44 	 -18.6156767179 73.5312549026
45 	 -8.55530893094 47.463355506
46 	 -27.5228513661 37.8761404387
47 	 -7.84826627662 38.1990530167
48 	 -18.6156767179 73.5312549026
49 	 -70.105908172 -40.7408784988
50 	 -55.1737699434 -9.42573836524
51 	 -23.981462627 -4.61582169949
52 	 -70.105908172 -40.7408784988
53 	 -43.0361100613 23.7448425949
54 	 -27.0857039605 1.22590625265
55 	 -13.4401582923 24.1742121157
56 	 -34.5155343505 24.7905196938
57 	 -43.0361100613 23.7448425949
58 	 76.4651132975 102.590461035
59 	 60.1091362441 77.0275605043
60 	 63.2044658286 74.0154964132
61 	 66.0438413477 94.9064525262
62 	 69.1354057421 81.5755478984
63 	 76.4651132975 102.590461035
64 	 -119.261446257 -85.5500256863
65 	 -114.637450453 -82.7183096126
66 	 -104.158952027 -74.7940362233
67 	 -117.290367692 -78.7918741467
68 	 -94.5198113238 -77.7762578892
69 	 -119.261446257 -85.5500256863
70 	 11.0847048952 21.2619977779
71 	 8.83607916718 26.1207021322
72 	 -0.880808562808 18.0626350021
73 	 17.894879395 -6.63150812778
74 	 11.0847048952 21.2619977779
75 	 86.3353907495 -26.4320256022
76 	 59.2842340564 -17.5861940438
77 	 29.8564263966 -21.7080742342
78 	 86.3353907495 -26.4320256022
79 	 23.5834367244 2.35528429535
80 	 14.4195469684 25.7092322894
81 	 11.9549483029 -1.46205481302
82 	 23.5834367244 2.35528429535
83 	 -42.0555889393 31.943269377
84 	 -16.5078028026 5.86998411357
85 	 -42.0555889393 31.943269377
86 	 -1.51597859442 -3.83006580382
87 	 23.4630544039 -10.1586092548
88 	 -1.51597859442 -3.83006580382
