General parameters 

40 169 720 750


Customer schedules 

0 0	0 [0,720]	
1 69	1 [0,39]	2 [78,323]	3 [344,364]	4 [424,720]	
2 60	5 [0,13]	6 [80,111]	7 [153,255]	8 [285,643]	9 [681,720]	
3 90	10 [0,182]	11 [226,266]	12 [309,310]	13 [312,565]	14 [632,720]	
4 49	15 [0,106]	16 [137,175]	17 [195,276]	18 [298,458]	19 [483,720]	
5 29	20 [0,63]	21 [87,172]	22 [234,279]	23 [336,387]	24 [443,720]	
6 60	25 [0,42]	26 [102,109]	27 [137,357]	28 [406,720]	
7 43	29 [0,56]	30 [80,161]	31 [203,262]	32 [303,323]	33 [331,720]	
8 78	34 [0,94]	35 [167,209]	36 [270,379]	37 [432,720]	
9 71	38 [0,152]	39 [210,322]	40 [357,405]	41 [439,720]	
10 64	42 [0,37]	43 [49,53]	44 [86,156]	45 [174,437]	46 [464,533]	47 [568,720]	
11 27	48 [0,116]	49 [187,278]	50 [281,327]	51 [402,720]	
12 53	52 [0,63]	53 [160,298]	54 [395,720]	
13 69	55 [0,139]	56 [259,340]	57 [460,720]	
14 41	58 [0,29]	59 [50,74]	60 [102,296]	61 [358,458]	62 [478,551]	63 [596,720]	
15 59	64 [0,182]	65 [268,309]	66 [395,720]	
16 39	67 [0,149]	68 [196,248]	69 [297,381]	70 [420,468]	71 [491,499]	72 [553,720]	
17 11	73 [0,352]	74 [362,553]	75 [563,720]	
18 44	76 [0,88]	77 [117,132]	78 [160,294]	79 [315,388]	80 [421,720]	
19 79	81 [0,720]	
20 35	82 [0,93]	83 [138,262]	84 [268,347]	85 [355,393]	86 [437,720]	
21 45	87 [0,257]	88 [309,414]	89 [428,532]	90 [557,603]	91 [625,720]	
22 42	92 [0,121]	93 [202,344]	94 [396,581]	95 [638,720]	
23 67	96 [0,113]	97 [208,248]	98 [286,291]	99 [350,720]	
24 60	100 [0,47]	101 [143,213]	102 [309,720]	
25 50	103 [0,12]	104 [23,136]	105 [181,310]	106 [362,384]	107 [413,436]	108 [488,720]	
26 70	109 [0,8]	110 [89,109]	111 [200,253]	112 [322,720]	
27 58	113 [0,205]	114 [253,302]	115 [313,543]	116 [584,594]	117 [642,720]	
28 40	118 [0,720]	
29 47	119 [0,172]	120 [199,516]	121 [557,578]	122 [606,720]	
30 45	123 [0,110]	124 [204,438]	125 [532,720]	
31 43	126 [0,297]	127 [373,476]	128 [552,720]	
32 41	129 [0,98]	130 [126,138]	131 [150,324]	132 [343,406]	133 [426,720]	
33 39	134 [0,90]	135 [115,396]	136 [403,515]	137 [542,574]	138 [608,626]	139 [642,720]	
34 61	140 [0,72]	141 [138,297]	142 [324,419]	143 [452,493]	144 [520,627]	145 [664,720]	
35 39	146 [0,720]	
36 53	147 [0,200]	148 [260,299]	149 [359,720]	
37 35	150 [0,88]	151 [117,334]	152 [350,362]	153 [386,475]	154 [481,720]	
38 62	155 [0,217]	156 [274,300]	157 [319,322]	158 [383,720]	
39 22	159 [0,196]	160 [225,331]	161 [386,477]	162 [532,538]	163 [570,720]	
40 72	164 [0,26]	165 [46,315]	166 [341,351]	167 [395,720]	
41 0	168 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 75.4094853128 -85.9650565955
2 	 60.773368926 -73.0050287649
3 	 55.5407436646 -63.7786358602
4 	 75.4094853128 -85.9650565955
5 	 -4.55830604813 166.01098412
6 	 -15.5446744405 134.56893728
7 	 -17.9968641664 155.509822262
8 	 -5.65631475192 147.175502962
9 	 -4.55830604813 166.01098412
10 	 46.762484461 -79.8026793167
11 	 28.4944937853 -67.3391117486
12 	 37.0440946474 -47.3640524662
13 	 38.0364702205 -47.4913760462
14 	 46.762484461 -79.8026793167
15 	 10.2704881124 -5.14869310638
16 	 10.4511581549 -20.7587179312
17 	 3.00984357955 -14.2099996324
18 	 13.5403574322 -17.3288283698
19 	 10.2704881124 -5.14869310638
20 	 65.7416394572 -8.70471054994
21 	 55.167785205 -3.39732256335
22 	 29.9443938052 -21.1722585786
23 	 41.5780421328 4.96815985942
24 	 65.7416394572 -8.70471054994
25 	 -31.0629238727 -75.9936394155
26 	 -8.79908029921 -56.1610006881
27 	 -22.3810395189 -53.1928710617
28 	 -31.0629238727 -75.9936394155
29 	 -17.1403334885 -10.3106599742
30 	 -6.1710744889 -5.10053503712
31 	 -8.71310383595 -25.9282955105
32 	 -15.778836575 -6.77262775658
33 	 -17.1403334885 -10.3106599742
34 	 -20.9697403117 20.8998841498
35 	 11.6627646475 4.65366422402
36 	 2.07108678114 33.8036351971
37 	 -20.9697403117 20.8998841498
38 	 77.828980641 -20.5703458109
39 	 49.2296626601 -15.2833152229
40 	 65.2969294907 -8.92089279776
41 	 77.828980641 -20.5703458109
42 	 134.708713453 -59.6544996172
43 	 131.453821917 -54.8090700424
44 	 117.641796181 -45.4422732806
45 	 126.230970533 -42.940454717
46 	 118.168753514 -53.5560790142
47 	 134.708713453 -59.6544996172
48 	 -14.5388918632 117.886508681
49 	 -26.8798625535 84.3755120891
50 	 -27.3677505199 82.8266906358
51 	 -14.5388918632 117.886508681
52 	 42.6555692334 119.033314
53 	 15.5290736897 79.1166807443
54 	 42.6555692334 119.033314
55 	 57.7102351638 -66.7769535765
56 	 11.7771319455 -28.0725510926
57 	 57.7102351638 -66.7769535765
58 	 -140.899419977 -66.2227556532
59 	 -136.588136857 -56.5056693871
60 	 -136.02089318 -70.622484229
61 	 -116.22142118 -46.4983624853
62 	 -125.19455571 -50.3734563948
63 	 -140.899419977 -66.2227556532
64 	 -111.207912231 -26.4916655857
65 	 -69.4940857087 -37.6109562863
66 	 -111.207912231 -26.4916655857
67 	 -2.72899757328 56.0810732518
68 	 4.73529129499 33.665114488
69 	 -15.7121489676 46.842891209
70 	 -1.7002005541 32.9618481563
71 	 -13.2709487389 31.1052403005
72 	 -2.72899757328 56.0810732518
73 	 -41.0050656669 -11.6475470442
74 	 -36.1660155745 -12.3836241264
75 	 -41.0050656669 -11.6475470442
76 	 15.7108806206 172.645906961
77 	 4.009023017 164.269330608
78 	 17.7804733606 160.947323162
79 	 7.60273861343 158.281510552
80 	 15.7108806206 172.645906961
81 	 -20.3248865352 -45.8102121124
82 	 146.674245759 18.4028938925
83 	 124.087458131 15.9664348907
84 	 121.357609229 17.1096268338
85 	 124.84671363 15.7205485276
86 	 146.674245759 18.4028938925
87 	 -87.8511016413 149.932973247
88 	 -75.523136299 127.218486125
89 	 -82.4391582623 128.292229085
