General parameters 

40 155 720 750


Customer schedules 

0 0	0 [0,720]	
1 37	1 [0,90]	2 [185,260]	3 [298,535]	4 [627,720]	
2 54	5 [0,720]	
3 72	6 [0,326]	7 [373,504]	8 [558,560]	9 [653,720]	
4 46	10 [0,122]	11 [201,231]	12 [303,491]	13 [568,720]	
5 42	14 [0,198]	15 [232,406]	16 [466,487]	17 [520,612]	18 [655,720]	
6 24	19 [0,720]	
7 59	20 [0,98]	21 [151,382]	22 [397,420]	23 [459,720]	
8 45	24 [0,296]	25 [320,403]	26 [434,437]	27 [455,537]	28 [573,720]	
9 35	29 [0,28]	30 [52,202]	31 [246,554]	32 [592,609]	33 [630,720]	
10 70	34 [0,16]	35 [61,212]	36 [269,425]	37 [521,720]	
11 77	38 [0,84]	39 [141,160]	40 [207,339]	41 [397,720]	
12 47	42 [0,206]	43 [243,303]	44 [333,490]	45 [524,555]	46 [574,581]	47 [629,720]	
13 54	48 [0,4]	49 [114,286]	50 [396,720]	
14 39	51 [0,22]	52 [81,314]	53 [351,380]	54 [407,444]	55 [466,493]	56 [523,720]	
15 32	57 [0,259]	58 [298,373]	59 [424,435]	60 [480,526]	61 [558,720]	
16 23	62 [0,720]	
17 52	63 [0,5]	64 [17,43]	65 [83,124]	66 [176,720]	
18 60	67 [0,28]	68 [198,257]	69 [427,720]	
19 49	70 [0,28]	71 [64,396]	72 [462,551]	73 [646,720]	
20 19	74 [0,45]	75 [87,184]	76 [196,240]	77 [252,502]	78 [528,608]	79 [644,720]	
21 48	80 [0,11]	81 [137,250]	82 [376,720]	
22 49	83 [0,333]	84 [346,348]	85 [367,459]	86 [465,720]	
23 59	87 [0,34]	88 [78,318]	89 [352,446]	90 [468,514]	91 [526,549]	92 [588,720]	
24 73	93 [0,94]	94 [162,167]	95 [212,235]	96 [259,316]	97 [345,720]	
25 70	98 [0,720]	
26 57	99 [0,127]	100 [155,177]	101 [185,266]	102 [270,270]	103 [301,493]	104 [555,720]	
27 44	105 [0,720]	
28 64	106 [0,8]	107 [51,60]	108 [101,221]	109 [255,277]	110 [312,454]	111 [499,720]	
29 49	112 [0,137]	113 [195,227]	114 [251,339]	115 [348,362]	116 [382,408]	117 [471,720]	
30 45	118 [0,58]	119 [101,135]	120 [157,201]	121 [204,503]	122 [542,563]	123 [576,720]	
31 66	124 [0,720]	
32 31	125 [0,2]	126 [37,63]	127 [96,150]	128 [178,277]	129 [308,312]	130 [357,720]	
33 73	131 [0,63]	132 [206,307]	133 [450,720]	
34 68	134 [0,720]	
35 36	135 [0,33]	136 [88,200]	137 [225,231]	138 [290,720]	
36 60	139 [0,720]	
37 50	140 [0,4]	141 [32,115]	142 [143,720]	
38 40	143 [0,104]	144 [207,215]	145 [318,720]	
39 29	146 [0,25]	147 [65,265]	148 [305,720]	
40 56	149 [0,67]	150 [73,185]	151 [219,270]	152 [304,483]	153 [494,720]	
41 0	154 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 -107.841070345 -66.3503094239
2 	 -74.5510692398 -32.1979328505
3 	 -91.4378750151 -23.1303627297
4 	 -107.841070345 -66.3503094239
5 	 55.0341399555 159.2109749
6 	 -131.727707422 38.4823022014
7 	 -109.929677974 30.0096751158
8 	 -85.4693474801 41.5808135157
9 	 -131.727707422 38.4823022014
10 	 27.4210499741 78.8747997595
11 	 0.245987327729 50.3382259184
12 	 35.2626456178 41.4206754825
13 	 27.4210499741 78.8747997595
14 	 66.2061342781 -97.3026870433
15 	 71.7660122494 -81.3765382629
16 	 42.2827717615 -87.2133642305
17 	 56.4954114196 -78.3975571125
18 	 66.2061342781 -97.3026870433
19 	 -98.075474744 14.6645025199
20 	 132.350573379 54.6421957078
21 	 106.590820055 48.6322519535
22 	 112.726304672 53.3499779421
23 	 132.350573379 54.6421957078
24 	 -65.8185305763 53.1026630996
25 	 -63.9295844251 41.0560134627
26 	 -51.013640842 32.5500882771
27 	 -58.9265745756 36.5901277593
28 	 -65.8185305763 53.1026630996
29 	 -4.88121500459 20.3681066861
30 	 -2.56551201996 8.66473373767
31 	 18.8410237797 3.11015473771
32 	 2.06586308223 12.3478884591
33 	 -4.88121500459 20.3681066861
34 	 -92.4669839018 -128.563468629
35 	 -70.1819139519 -126.435878994
36 	 -50.1983912485 -105.982747284
37 	 -92.4669839018 -128.563468629
38 	 -137.464993898 -22.1670190452
39 	 -123.794711137 3.12096428177
40 	 -109.094591072 -15.093165362
41 	 -137.464993898 -22.1670190452
42 	 85.3205606535 -142.601439144
43 	 75.0593010415 -127.323076581
44 	 60.2664622709 -125.836921563
45 	 77.3177535079 -126.728368411
46 	 67.8931268667 -125.928754679
47 	 85.3205606535 -142.601439144
48 	 -59.1507525754 151.065376554
49 	 -64.0358722138 96.3553348741
50 	 -59.1507525754 151.065376554
51 	 -24.2004453078 -169.585216609
52 	 -25.8854140793 -140.239050393
53 	 -14.6626944069 -155.18598683
54 	 -21.7034389899 -143.428369831
55 	 -23.5664793706 -154.464238948
56 	 -24.2004453078 -169.585216609
57 	 3.99845288438 8.51958603149
58 	 -14.3164304287 15.1050597027
59 	 8.05258907079 2.55189281028
60 	 2.91573022498 24.3143787541
61 	 3.99845288438 8.51958603149
62 	 -155.427345821 -40.2392335115
63 	 4.76640341641 -13.8729454145
64 	 -1.20131072293 -15.6118284065
65 	 -20.1582160255 -21.4008724418
66 	 4.76640341641 -13.8729454145
67 	 -151.708760853 7.03712628475
68 	 -70.6058883882 -18.669625765
69 	 -151.708760853 7.03712628475
70 	 33.4471901234 -126.383758924
71 	 37.6613185243 -109.088494938
72 	 21.1057658235 -80.4420021371
73 	 33.4471901234 -126.383758924
74 	 -4.94004733849 122.384317078
75 	 6.96657477278 105.26468179
76 	 0.889077795215 106.1649046
77 	 -4.61621535395 103.262731145
78 	 7.20220677634 109.113376556
79 	 -4.94004733849 122.384317078
80 	 -20.3506912469 138.958879549
