General parameters 

40 154 720 750


Customer schedules 

0 0	0 [0,720]	
1 50	1 [0,6]	2 [48,261]	3 [277,322]	4 [338,357]	5 [387,391]	6 [436,720]	
2 56	7 [0,77]	8 [130,198]	9 [239,313]	10 [370,399]	11 [477,720]	
3 22	12 [0,53]	13 [127,319]	14 [393,720]	
4 53	15 [0,51]	16 [109,229]	17 [287,720]	
5 45	18 [0,14]	19 [116,300]	20 [402,720]	
6 31	21 [0,26]	22 [182,417]	23 [573,720]	
7 62	24 [0,163]	25 [225,450]	26 [503,510]	27 [551,720]	
8 47	28 [0,102]	29 [149,292]	30 [350,407]	31 [472,720]	
9 66	32 [0,48]	33 [185,256]	34 [393,720]	
10 46	35 [0,27]	36 [120,224]	37 [282,469]	38 [514,720]	
11 45	39 [0,77]	40 [156,237]	41 [275,332]	42 [347,488]	43 [543,720]	
12 59	44 [0,2]	45 [178,250]	46 [426,720]	
13 66	47 [0,71]	48 [128,196]	49 [253,720]	
14 33	50 [0,7]	51 [83,275]	52 [351,720]	
15 43	53 [0,720]	
16 33	54 [0,31]	55 [51,251]	56 [266,316]	57 [339,720]	
17 82	58 [0,5]	59 [107,150]	60 [252,720]	
18 56	61 [0,80]	62 [147,175]	63 [209,352]	64 [409,410]	65 [446,720]	
19 52	66 [0,720]	
20 86	67 [0,183]	68 [238,354]	69 [418,425]	70 [444,720]	
21 52	71 [0,123]	72 [167,212]	73 [265,292]	74 [327,407]	75 [443,507]	76 [558,720]	
22 72	77 [0,168]	78 [207,216]	79 [251,296]	80 [343,503]	81 [513,565]	82 [630,720]	
23 70	83 [0,53]	84 [110,173]	85 [209,389]	86 [409,494]	87 [534,720]	
24 47	88 [0,28]	89 [77,214]	90 [241,272]	91 [289,527]	92 [584,720]	
25 30	93 [0,89]	94 [166,353]	95 [430,720]	
26 64	96 [0,42]	97 [78,515]	98 [545,584]	99 [636,638]	100 [657,720]	
27 53	101 [0,720]	
28 41	102 [0,43]	103 [131,213]	104 [301,720]	
29 44	105 [0,720]	
30 45	106 [0,720]	
31 59	107 [0,154]	108 [298,326]	109 [470,720]	
32 57	110 [0,157]	111 [207,215]	112 [260,532]	113 [614,720]	
33 45	114 [0,11]	115 [62,128]	116 [141,415]	117 [430,548]	118 [596,720]	
34 59	119 [0,245]	120 [292,325]	121 [382,393]	122 [467,470]	123 [484,720]	
35 43	124 [0,74]	125 [135,199]	126 [230,350]	127 [370,488]	128 [507,534]	129 [585,720]	
36 40	130 [0,2]	131 [59,103]	132 [165,453]	133 [471,720]	
37 50	134 [0,62]	135 [87,108]	136 [132,230]	137 [250,289]	138 [291,376]	139 [412,720]	
38 50	140 [0,1]	141 [123,187]	142 [309,720]	
39 29	143 [0,3]	144 [34,250]	145 [281,327]	146 [340,720]	
40 48	147 [0,26]	148 [55,128]	149 [149,247]	150 [291,480]	151 [520,630]	152 [660,720]	
41 0	153 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 96.8447389141 -100.846673765
2 	 86.8675983852 -82.3218778452
3 	 89.6326291332 -74.9121033393
4 	 97.2301096688 -78.0329906655
5 	 83.3396638498 -83.0522272655
6 	 96.8447389141 -100.846673765
7 	 -5.09131737398 168.104915058
8 	 -6.54716125625 141.556078037
9 	 13.270253797 136.629221267
10 	 -14.3838091927 130.473798552
11 	 -5.09131737398 168.104915058
12 	 -74.8851088139 142.700130881
13 	 -51.5726092081 113.732219144
14 	 -74.8851088139 142.700130881
15 	 -77.1796947086 16.5885919511
16 	 -48.5711265908 13.2573892661
17 	 -77.1796947086 16.5885919511
18 	 97.9439717369 -20.3445546911
19 	 68.4344553218 20.9516775743
20 	 97.9439717369 -20.3445546911
21 	 130.252972913 73.0654340523
22 	 52.503343447 73.9638372223
23 	 130.252972913 73.0654340523
24 	 -137.608537172 60.1146697241
25 	 -130.157195987 30.0498172608
26 	 -117.894308853 53.7600731472
27 	 -137.608537172 60.1146697241
28 	 -35.6667168879 -31.0351496596
29 	 -46.2478993942 -9.77265751612
30 	 -18.0522251297 -3.98931445082
31 	 -35.6667168879 -31.0351496596
32 	 -84.2785221516 -125.128527455
33 	 -43.2050419725 -70.3927759794
34 	 -84.2785221516 -125.128527455
35 	 -44.0640451668 84.7297466957
36 	 -36.1201898931 38.8684678321
37 	 -29.4672255625 67.3455171456
38 	 -44.0640451668 84.7297466957
39 	 149.154822065 -49.1818670904
40 	 112.040479258 -35.2217667632
41 	 129.902177348 -41.9238239256
42 	 124.336230027 -37.0774966526
43 	 149.154822065 -49.1818670904
44 	 -151.513105903 15.9550444151
45 	 -67.147955013 -8.3794435463
46 	 -151.513105903 15.9550444151
47 	 92.3614599276 75.1905599561
48 	 65.0294860747 83.1189217684
49 	 92.3614599276 75.1905599561
50 	 117.988820446 -23.6779761954
51 	 83.9991087144 -40.4850839111
52 	 117.988820446 -23.6779761954
53 	 -11.2887354265 -3.45538660024
54 	 -27.1108560025 2.74655917859
55 	 -17.7697701573 -1.04688883481
56 	 -16.4229928669 6.43409785665
57 	 -27.1108560025 2.74655917859
58 	 -60.6953357291 -61.3182046521
59 	 -19.8562711439 -30.6803737823
60 	 -60.6953357291 -61.3182046521
61 	 -54.9936696008 -27.0899552698
62 	 -22.3713031656 -35.0088295003
63 	 -16.7627661966 -19.0018928804
64 	 -44.5487434614 -12.3152377067
65 	 -54.9936696008 -27.0899552698
66 	 100.938581612 9.79302360401
67 	 8.56874230889 17.5785277731
68 	 -14.6928000247 3.14054162462
69 	 6.93717536759 26.9914154229
70 	 8.56874230889 17.5785277731
71 	 50.9932076006 -33.5137998833
72 	 44.5807829481 -12.6599920891
73 	 18.9619316995 -18.6970361618
74 	 30.0665374262 -32.1300091199
75 	 33.9099605188 -14.3539011278
76 	 50.9932076006 -33.5137998833
77 	 -65.3195600545 -23.8883497795
78 	 -46.0566954758 -20.4023862789
79 	 -53.0670684743 -4.25719541378
80 	 -32.747522265 -16.2477777917
81 	 -34.885002943 -11.9802061386
82 	 -65.3195600545 -23.8883497795
83 	 3.0646427874 -38.4093531419
