General parameters 

40 163 720 750


Customer schedules 

0 0	0 [0,720]	
1 101	1 [0,211]	2 [249,430]	3 [440,466]	4 [478,533]	5 [544,592]	6 [627,720]	
2 62	7 [0,179]	8 [243,331]	9 [388,390]	10 [447,506]	11 [556,720]	
3 51	12 [0,201]	13 [230,441]	14 [456,507]	15 [538,570]	16 [609,629]	17 [656,720]	
4 48	18 [0,3]	19 [10,153]	20 [174,222]	21 [245,720]	
5 55	22 [0,18]	23 [117,129]	24 [228,720]	
6 42	25 [0,202]	26 [281,463]	27 [508,607]	28 [659,720]	
7 51	29 [0,720]	
8 84	30 [0,54]	31 [96,114]	32 [158,189]	33 [223,259]	34 [304,720]	
9 38	35 [0,25]	36 [46,80]	37 [113,288]	38 [323,450]	39 [476,720]	
10 55	40 [0,178]	41 [250,325]	42 [341,445]	43 [512,720]	
11 41	44 [0,30]	45 [93,271]	46 [294,321]	47 [362,720]	
12 40	48 [0,60]	49 [114,369]	50 [378,399]	51 [435,466]	52 [543,720]	
13 42	53 [0,93]	54 [146,415]	55 [515,562]	56 [610,720]	
14 62	57 [0,286]	58 [297,398]	59 [441,449]	60 [468,499]	61 [509,521]	62 [557,720]	
15 27	63 [0,720]	
16 46	64 [0,65]	65 [116,221]	66 [245,421]	67 [442,509]	68 [524,720]	
17 75	69 [0,121]	70 [171,193]	71 [234,265]	72 [331,364]	73 [401,412]	74 [444,720]	
18 70	75 [0,80]	76 [112,142]	77 [161,368]	78 [387,465]	79 [504,632]	80 [668,720]	
19 31	81 [0,52]	82 [78,244]	83 [258,370]	84 [388,389]	85 [414,542]	86 [593,720]	
20 57	87 [0,720]	
21 92	88 [0,720]	
22 64	89 [0,56]	90 [88,103]	91 [151,197]	92 [231,312]	93 [333,720]	
23 56	94 [0,81]	95 [111,189]	96 [251,450]	97 [491,570]	98 [601,616]	99 [659,720]	
24 68	100 [0,48]	101 [131,183]	102 [228,339]	103 [375,384]	104 [394,720]	
25 50	105 [0,57]	106 [146,280]	107 [340,396]	108 [459,720]	
26 57	109 [0,207]	110 [274,391]	111 [458,720]	
27 44	112 [0,71]	113 [127,157]	114 [186,316]	115 [353,447]	116 [461,720]	
28 78	117 [0,1]	118 [70,129]	119 [143,256]	120 [335,720]	
29 56	121 [0,160]	122 [220,331]	123 [370,407]	124 [505,720]	
30 84	125 [0,720]	
31 69	126 [0,234]	127 [306,325]	128 [359,405]	129 [447,465]	130 [547,720]	
32 39	131 [0,720]	
33 39	132 [0,57]	133 [94,158]	134 [226,386]	135 [469,720]	
34 46	136 [0,4]	137 [18,197]	138 [229,505]	139 [571,601]	140 [631,720]	
35 28	141 [0,123]	142 [209,441]	143 [470,557]	144 [615,720]	
36 60	145 [0,11]	146 [28,40]	147 [79,98]	148 [144,351]	149 [393,422]	150 [467,720]	
37 59	151 [0,61]	152 [101,127]	153 [167,720]	
38 40	154 [0,99]	155 [193,318]	156 [412,720]	
39 38	157 [0,720]	
40 68	158 [0,145]	159 [218,311]	160 [352,481]	161 [528,720]	
41 0	162 [0,720]	


Location coordinates

0 	 0.0 0.0
1 	 38.333133169 -39.6509687728
2 	 24.0501563568 -26.8320396396
3 	 28.2728873563 -24.1069177772
4 	 22.1684936456 -23.7064661084
5 	 26.1141130074 -27.2190694324
6 	 38.333133169 -39.6509687728
7 	 96.1528932282 144.531121171
8 	 72.6449239129 123.0380937
9 	 89.3604523298 145.884609546
10 	 101.638187176 120.237860457
11 	 96.1528932282 144.531121171
12 	 -18.9729090425 -5.42218611235
13 	 -5.24419197176 -0.546178454598
14 	 -11.1401352327 -5.25806438104
15 	 0.926522558462 4.54533799305
16 	 -18.3827429067 8.07718283527
17 	 -18.9729090425 -5.42218611235
18 	 2.60589097071 -0.725516265955
19 	 -0.272301271234 0.944234199884
20 	 -6.32380289904 -7.79796781796
21 	 2.60589097071 -0.725516265955
22 	 -167.633391414 19.1762319081
23 	 -118.812825889 11.9945466197
24 	 -167.633391414 19.1762319081
25 	 50.3982871166 55.6812313452
26 	 21.5928290292 28.4008874179
27 	 44.0095315427 30.5157308089
28 	 50.3982871166 55.6812313452
29 	 -131.201211426 64.1510589287
30 	 -29.9306823601 30.292319018
31 	 -14.6325415636 16.2271581682
32 	 -32.6357510229 3.37222941731
33 	 -17.7743614073 11.4098853441
34 	 -29.9306823601 30.292319018
35 	 20.0560141182 -18.8183234645
36 	 14.9470288144 -9.8078623671
37 	 19.9414340929 -25.3631456708
38 	 9.18876206755 -11.6707216696
39 	 20.0560141182 -18.8183234645
40 	 -28.5147105408 -13.6307205195
41 	 7.31923171671 -17.7521374291
42 	 3.17704560818 -24.6751190217
43 	 -28.5147105408 -13.6307205195
44 	 -30.7273657938 -19.6361817887
45 	 0.0683146023422 -12.4662240332
46 	 -11.0737257586 -14.3860169292
47 	 -30.7273657938 -19.6361817887
48 	 78.3531137654 -31.3352088091
49 	 52.8312548297 -23.3052828584
50 	 56.8966255553 -24.9862917752
51 	 39.8028527858 -29.8063730812
52 	 78.3531137654 -31.3352088091
53 	 2.65147839625 16.9694541095
54 	 28.8944623436 15.2825146008
55 	 -21.0791015442 15.9794788674
56 	 2.65147839625 16.9694541095
57 	 33.3944868847 -133.337498959
58 	 28.1411342271 -132.163552892
59 	 26.7839624433 -110.54201771
60 	 27.0330331675 -120.286841794
61 	 28.9966848467 -115.897459644
62 	 33.3944868847 -133.337498959
63 	 7.65859864643 -40.9087295035
64 	 -16.4741014031 -13.0757645492
65 	 8.14327518549 -20.4482269538
66 	 -2.19758446531 -13.8952939652
67 	 -11.492697961 -18.4351969901
68 	 -16.4741014031 -13.0757645492
69 	 141.662563611 106.407688199
70 	 122.700170964 90.4156025243
71 	 142.902540344 92.8148658889
72 	 109.866378631 95.7630758578
73 	 128.399155372 97.8957521535
74 	 141.662563611 106.407688199
75 	 -46.2109675018 65.2729306916
76 	 -33.0057000559 56.2481265147
77 	 -42.2975746339 56.6089620445
78 	 -33.0784330273 59.0133566175
79 	 -48.6700364817 47.3284082601
80 	 -46.2109675018 65.2729306916
81 	 81.0609469376 -71.0361178517
82 	 69.7483471669 -64.8743598051
83 	 66.0595748757 -58.9965302844
